Contour,Area,testModel (normalized mode 1),testModel (normalized mode 2)
UID_16_11_1_all-13,42421.6,-0.827106,-0.635094
UID_16_12_1_all-6,40416.3,-0.74036,-0.519745
UID_16_12_2_all-15,42734.3,-0.821088,-0.675686
UID_16_12_3_all-19,37561.7,-0.665366,-0.255296
UID_16_12_4_all-10,45260.3,-0.554779,-1.86358
UID_16_13_1_all-3,2494.1,2.90668,-2.78301
UID_16_13_2_all-20,49199,-1.02114,-1.1947
UID_16_15_1_all-11,7785.97,2.53757,-2.07453
UID_16_16_1_all-2,37919.9,-0.713869,-0.174285
UID_16_17_1_all-2,39476.6,-0.798116,-0.195547
UID_16_17_2_all,5409.38,2.64936,-2.3546
UID_16_18_1_all-5,5002.76,2.75431,-2.28102
UID_16_19_1_all-6,41974,-0.803293,-0.606953
UID_16_1_1_all-19,46203.5,-0.904378,-1.02504
UID_16_1_2_all-20,44748.1,-0.788952,-1.07388
UID_16_1_3_all-11,35047.6,-0.552628,-0.0805629
UID_16_20_1_all-10,40843.5,-0.78617,-0.468251
UID_16_21_1_all-12,44574.7,-0.751167,-1.17733
UID_16_22_1_all-16,44887,-0.890478,-0.819285
UID_16_23_1_all-21,37912.5,-0.163781,-1.47765
UID_16_23_2_all-28,37900.1,-0.71447,-0.170541
UID_16_24_1_all-15,44717.6,-0.847391,-0.842211
UID_16_26_1_all-10,6219.02,1.59469,-1.97858
UID_16_27_1_all-18,39588,-0.480908,-0.930196
UID_16_27_2_all-12,36113.5,-0.602202,-0.185989
UID_16_28_1_all-13,46639.6,-0.945835,-0.946187
UID_16_28_2_all-7,43492,-0.70373,-1.21447
UID_16_29_1_all-14,47093.1,-0.558165,-2.0693
UID_16_2_1_all-19,48881.8,-0.966071,-1.22267
UID_16_2_2_all-7,34341,-0.554438,0.000727491
UID_16_30_1_all-15,44095,-0.812755,-0.94485
UID_16_30_2_all-8,24549.3,3.11888,-1.27131
UID_16_34_1_all-13,43084.7,-0.683537,-1.51116
UID_16_34_2_all-8,33011.8,0.0581559,-1.47603
UID_16_34_3_all-2,39657.3,0.383863,-2.01126
UID_16_34_4_all-5,38204.3,1.04611,-1.63583
UID_16_36_1_all-15,15130.6,2.31239,-1.29542
UID_16_37_1_all-23,46705.9,-0.932045,-1.00893
UID_16_38_1_all-18,34564.5,-0.5788,0.0543252
UID_16_39_1_all-8,38360,-0.718239,-0.25261
UID_16_3_1_all-9,35348,-0.605365,-0.0202257
UID_16_3_2_all-12,38272.4,-0.67003,-0.375057
UID_16_3_3_all-20,38322.9,-0.692096,-0.293822
UID_16_3_4_all-13,43950.3,-0.849608,-0.772716
UID_16_40_1_all-2,41152.4,-0.78551,-0.506919
UID_16_4_1_all-5,39685.7,-0.776521,-0.279642
UID_16_5_1_all-2,5429.9,2.63399,-2.22328
UID_16_6_1_all-10,20398.8,2.66291,-0.106612
UID_16_6_2_all-13,49702.2,-0.80394,-1.92628
UID_16_6_3_all-17,45538.2,-0.882412,-0.977779
UID_16_6_4_all-12,33737.1,-0.529772,0.0477196
UID_16_8_1_all-5,40476.3,-0.731309,-0.546644
UID_16_8_2_all-9,7664.93,2.73062,-2.09366
UID_23_10_1_all-3,35446.6,-0.606401,-0.0239827
UID_23_10_2_all-20,38073.4,-0.71692,-0.168063
UID_23_11_1_all-15,10032.7,0.973113,2.07425
UID_23_13_1_all-4,36520.8,-0.601125,-0.236634
UID_23_13_2_all-14,49214,-1.0421,-1.04085
UID_23_14_1_all-12,31941.6,-0.491531,0.280206
UID_23_15_1_all-19,39414.2,-0.732667,-0.398097
UID_23_15_2_all-14,37652.9,-0.637329,-0.390144
UID_23_15_3_all-21,48810.7,-0.810192,-1.63704
UID_23_16_1_all-3,30645.7,-0.440078,0.378338
UID_23_16_2_all-15,34985.1,-0.612354,0.0472533
UID_23_16_3_all-16,38212.5,-0.678135,-0.364147
UID_23_16_4_all-24,35577.5,-0.503054,-0.355059
UID_23_17_1_all-2,30981.9,-0.422078,0.233542
UID_23_17_2_all-2,44098.8,-0.892426,-0.738069
UID_23_17_3_all-2,9540.87,2.93364,-2.82387
UID_23_17_4_all,4249.75,2.73939,-1.39546
UID_23_17_5_all-2,33422.3,-0.5701,0.224243
UID_23_18_1_all-6,34335.7,-0.536523,-0.0305872
UID_23_18_2_all-15,38538.6,-0.733089,-0.211872
UID_23_18_3_all-16,41611.5,-0.799321,-0.475455
UID_23_19_1_all-6,42488.1,-0.84132,-0.500199
UID_23_19_2_all-3,28898.3,-0.253142,0.378534
UID_23_19_3_all-12,42248.6,-0.843188,-0.523009
UID_23_1_1_all-9,38689.8,-0.712195,-0.322608
UID_23_20_1_all-18,44597.3,-0.762164,-1.0037
UID_23_20_2_all-16,34838.1,-0.572681,0.0461907
UID_23_20_3_all-11,49080.7,0.469909,-2.91408
UID_23_21_1_all-7,3615.75,2.58155,-1.4503
UID_23_21_2_all-18,7737.27,2.3198,-0.251527
UID_23_23_1_all-2,6994.48,2.97544,-1.69894
UID_23_23_2_all,3541.65,2.73319,-0.533029
UID_23_23_3_all-6,32113.7,-0.488738,0.246853
UID_23_24_1_all-26,42740.8,-0.829198,-0.670281
UID_23_24_2_all-8,31320.7,-0.461696,0.303199
UID_23_25_1_all-2,39357,-0.714087,-0.401986
UID_23_25_2_all-2,42238.7,-0.888397,-0.407496
UID_23_25_3_all-2,37931.3,-0.721825,-0.155643
UID_23_27_1_all-8,35236.3,-0.570292,-0.118076
UID_23_28_1_all-4,35196.4,-0.570572,-0.109816
UID_23_28_2_all-11,34000.1,-0.564843,0.0975946
UID_23_28_3_all-7,37497.7,-0.620152,-0.335991
UID_23_29_1_all-15,24845.9,-0.139887,0.694564
UID_23_29_2_all-8,22973.5,0.0139002,0.66608
UID_23_29_3_all-9,27532.5,-0.287787,0.546587
UID_23_29_4_all-16,28883.3,-0.361041,0.521875
UID_23_2_1_all-3,4643.11,2.20964,-1.51131
UID_23_2_2_all-2,38994.7,-0.749966,-0.269374
UID_23_30_1_all-11,29691.5,-0.393363,0.456475
UID_23_30_2_all-3,27472.2,-0.254132,0.476645
UID_23_30_3_all-15,32222.3,-0.392448,-0.0169948
UID_23_30_4_all-8,28614.1,-0.354163,0.542642
UID_23_31_1_all-11,9682.62,2.46374,-1.46041
UID_23_31_2_all-7,33841.3,-0.543278,0.0582556
UID_23_31_3_all-13,39366.2,-0.586059,-0.577863
UID_23_31_4_all-6,30318.6,-0.395346,0.305075
UID_23_31_5_all-15,30673,-0.447582,0.395681
UID_23_32_1_all,2926.3,2.58805,-0.873411
UID_23_32_2_all-15,41250.8,-0.792865,-0.527597
UID_23_32_3_all-15,38599.3,-0.747739,-0.202204
UID_23_33_1_all-14,37965.4,-0.733804,-0.12685
UID_23_33_2_all-6,30139.3,-0.378766,0.334063
UID_23_34_1_all-11,29197.4,-0.333013,0.374876
UID_23_34_2_all-14,30812.8,-0.430654,0.343659
UID_23_34_3_all-14,35064.7,-0.561252,-0.0937743
UID_23_34_4_all-11,28255.7,-0.338657,0.575047
UID_23_34_5_all-9,27294.8,-0.298959,0.639066
UID_23_35_1_all-9,35264.3,-0.628963,0.0581899
UID_23_35_2_all-14,37051.4,-0.677039,-0.134255
UID_23_35_3_all-14,37919.8,-0.733726,-0.107911
UID_23_35_4_all-8,31082.6,-0.376118,0.166041
UID_23_35_5_all-18,29610.8,2.15203,-0.874587
UID_23_36_1_all-3,32952.5,-0.528314,0.194703
UID_23_36_2_all-6,33689.7,-0.560679,0.15918
UID_23_36_3_all-6,35218.8,-0.608396,0.00593743
UID_23_37_1_all-5,35722.7,-0.639645,-0.00268414
UID_23_37_2_all-4,37815.8,-0.710985,-0.156542
UID_23_37_3_all-11,48123.7,-0.930302,-1.14324
UID_23_38_1_all-15,37721,-0.700148,-0.184874
UID_23_38_2_all-12,37286.7,-0.353044,-0.951386
UID_23_38_3_all-18,44364.5,-0.411402,-1.57714
UID_23_38_4_all-16,41843.7,-0.846283,-0.452533
UID_23_3_1_all-10,18946.8,2.74448,-2.00861
UID_23_4_1_all-4,14207.2,1.87735,-3.26016
UID_23_4_2_all-20,46355.2,-0.87817,-1.06313
UID_23_4_3_all-13,8004.37,1.70763,-0.988206
UID_23_4_4_all-19,10810.1,2.41408,-1.3612
UID_23_5_1_all-6,12583.5,2.89953,-1.57819
UID_23_5_2_all-12,38263.7,-0.728535,-0.185213
UID_23_5_3_all-2,313.402,1.80647,4.63045
UID_23_6_1_all-23,38021.3,-0.646202,-0.355388
UID_23_7_1_all-8,28538,-0.26381,0.316099
UID_23_7_2_all,4891.89,2.70956,-1.45556
UID_23_7_3_all-9,5938.37,2.5868,-1.77303
UID_23_8_1_all-12,49114.7,-1.02355,-1.1376
UID_23_8_2_all-5,16689.3,2.21178,-3.20502
UID_23_9_1_all-12,22841.4,1.77556,-0.608815
UID_2_10_1_all-5,29551,-0.300819,0.16622
