Contour,Normalized Curvature
UID_16_11_1_all-13,35.0234
UID_16_12_1_all-6,21.4825
UID_16_12_2_all-15,21.3789
UID_16_12_3_all-19,29.4675
UID_16_12_4_all-10,58.1296
UID_16_13_1_all-3,1297.68
UID_16_13_2_all-20,31.9592
UID_16_15_1_all-11,83.546
UID_16_16_1_all-2,20.7558
UID_16_17_1_all-2,30.1049
UID_16_17_2_all,41.4089
UID_16_18_1_all-5,92.421
UID_16_19_1_all-6,35.3482
UID_16_1_1_all-19,42.6432
UID_16_1_2_all-20,30.5187
UID_16_1_3_all-11,26.7308
UID_16_20_1_all-10,29.3582
UID_16_21_1_all-12,33.2781
UID_16_22_1_all-16,30.5207
UID_16_23_1_all-21,65.7103
UID_16_23_2_all-28,25.5579
UID_16_24_1_all-15,43.1025
UID_16_26_1_all-10,47.7572
UID_16_27_1_all-18,47.3708
UID_16_27_2_all-12,33.7137
UID_16_28_1_all-13,32.0429
UID_16_28_2_all-7,56.0163
UID_16_29_1_all-14,83.0835
UID_16_2_1_all-19,33.3728
UID_16_2_2_all-7,29.8185
UID_16_30_1_all-15,44.8469
UID_16_30_2_all-8,197.897
UID_16_34_1_all-13,99.8021
UID_16_34_2_all-8,104.843
UID_16_34_3_all-2,153.361
UID_16_34_4_all-5,106.223
UID_16_36_1_all-15,237.293
UID_16_37_1_all-23,30.6739
UID_16_38_1_all-18,22.1416
UID_16_39_1_all-8,36.4962
UID_16_3_1_all-9,24.901
UID_16_3_2_all-12,28.0991
UID_16_3_3_all-20,30.1586
UID_16_3_4_all-13,32.5629
UID_16_40_1_all-2,27.642
UID_16_4_1_all-5,26.7895
UID_16_5_1_all-2,42.3027
UID_16_6_1_all-10,321.741
UID_16_6_2_all-13,46.1196
UID_16_6_3_all-17,28.9418
UID_16_6_4_all-12,30.9821
UID_16_8_1_all-5,30.12
UID_16_8_2_all-9,126.535
UID_23_10_1_all-3,26.1662
UID_23_10_2_all-20,24.566
UID_23_11_1_all-15,191.888
UID_23_13_1_all-4,23.7928
UID_23_13_2_all-14,39.452
UID_23_14_1_all-12,23.3867
UID_23_15_1_all-19,23.9725
UID_23_15_2_all-14,29.2482
UID_23_15_3_all-21,45.3817
UID_23_16_1_all-3,26.3537
UID_23_16_2_all-15,24.0556
UID_23_16_3_all-16,34.2469
UID_23_16_4_all-24,26.4563
UID_23_17_1_all-2,24.8104
UID_23_17_2_all-2,45.5013
UID_23_17_3_all-2,65.7222
UID_23_17_4_all,58.2084
UID_23_17_5_all-2,23.1831
UID_23_18_1_all-6,24.8495
UID_23_18_2_all-15,23.334
UID_23_18_3_all-16,27.5675
UID_23_19_1_all-6,28.8992
UID_23_19_2_all-3,43.553
UID_23_19_3_all-12,25.638
