Contour,Path Length
UID_16_11_1_all-13,756.529
UID_16_12_1_all-6,731.33
UID_16_12_2_all-15,743.325
UID_16_12_3_all-19,706.982
UID_16_12_4_all-10,928.593
UID_16_13_1_all-3,1791.71
UID_16_13_2_all-20,804.632
UID_16_15_1_all-11,1232.86
UID_16_16_1_all-2,694.108
UID_16_17_1_all-2,709.327
UID_16_17_2_all,1165.71
UID_16_18_1_all-5,1236.97
UID_16_19_1_all-6,749.508
UID_16_1_1_all-19,792.048
UID_16_1_2_all-20,786.345
UID_16_1_3_all-11,682.111
UID_16_20_1_all-10,728.928
UID_16_21_1_all-12,785.107
UID_16_22_1_all-16,765.039
UID_16_23_1_all-21,983.113
UID_16_23_2_all-28,697.822
UID_16_24_1_all-15,794.189
UID_16_26_1_all-10,892.358
UID_16_27_1_all-18,814.057
UID_16_27_2_all-12,690.552
UID_16_28_1_all-13,801.911
UID_16_28_2_all-7,820.542
UID_16_29_1_all-14,1034.12
UID_16_2_1_all-19,813.211
UID_16_2_2_all-7,666.919
UID_16_30_1_all-15,786.577
UID_16_30_2_all-8,1569.04
UID_16_34_1_all-13,1064.3
UID_16_34_2_all-8,964.358
UID_16_34_3_all-2,1388.88
UID_16_34_4_all-5,1191.36
UID_16_36_1_all-15,1619.71
UID_16_37_1_all-23,786.661
UID_16_38_1_all-18,666.451
UID_16_39_1_all-8,704.536
UID_16_3_1_all-9,671.1
UID_16_3_2_all-12,706.754
UID_16_3_3_all-20,714.392
UID_16_3_4_all-13,763.219
UID_16_40_1_all-2,731.044
UID_16_4_1_all-5,719.14
UID_16_5_1_all-2,1162.28
UID_16_6_1_all-10,1448.41
UID_16_6_2_all-13,915.754
UID_16_6_3_all-17,774.821
UID_16_6_4_all-12,660.952
UID_16_8_1_all-5,735.028
UID_16_8_2_all-9,1260.29
UID_23_10_1_all-3,677.196
UID_23_10_2_all-20,699.464
UID_23_11_1_all-15,807.734
UID_23_13_1_all-4,689.25
UID_23_13_2_all-14,819.058
UID_23_14_1_all-12,641.263
UID_23_15_1_all-19,715.712
UID_23_15_2_all-14,705.196
UID_23_15_3_all-21,937.663
UID_23_16_1_all-3,625.793
UID_23_16_2_all-15,672.987
UID_23_16_3_all-16,717.354
UID_23_16_4_all-24,690.364
UID_23_17_1_all-2,632.613
UID_23_17_2_all-2,766.81
UID_23_17_3_all-2,1432.78
UID_23_17_4_all,1107.37
UID_23_17_5_all-2,652.889
UID_23_18_1_all-6,668.836
UID_23_18_2_all-15,707.915
UID_23_18_3_all-16,752.443
UID_23_19_1_all-6,761.871
UID_23_19_2_all-3,665.455
UID_23_19_3_all-12,747.232
UID_23_1_1_all-9,721.853
UID_23_20_1_all-18,803.852
UID_23_20_2_all-16,694.829
UID_23_20_3_all-11,1329.96
UID_23_21_1_all-7,1032.32
UID_23_21_2_all-18,1200.56
UID_23_23_1_all-2,1221.85
UID_23_23_2_all,1035.73
UID_23_23_3_all-6,640.362
UID_23_24_1_all-26,745.825
UID_23_24_2_all-8,636.013
UID_23_25_1_all-2,716.306
UID_23_25_2_all-2,732.637
UID_23_25_3_all-2,700.736
UID_23_27_1_all-8,682.069
UID_23_28_1_all-4,681.081
UID_23_28_2_all-11,658.564
UID_23_28_3_all-7,750.463
UID_23_29_1_all-15,570.856
UID_23_29_2_all-8,559.2
UID_23_29_3_all-9,605.587
UID_23_29_4_all-16,609.735
UID_23_2_1_all-3,913.433
UID_23_2_2_all-2,706.352
UID_23_30_1_all-11,617.674
UID_23_30_2_all-3,597.131
UID_23_30_3_all-15,659.524
UID_23_30_4_all-8,607.321
UID_23_31_1_all-11,1329.08
UID_23_31_2_all-7,660.232
UID_23_31_3_all-13,791.393
UID_23_31_4_all-6,624.834
UID_23_31_5_all-15,625.486
UID_23_32_1_all,975.676
UID_23_32_2_all-15,738.497
UID_23_32_3_all-15,705.085
UID_23_33_1_all-14,699.672
UID_23_33_2_all-6,636.142
UID_23_34_1_all-11,622.305
UID_23_34_2_all-14,640.006
UID_23_34_3_all-14,681.733
UID_23_34_4_all-11,604.065
UID_23_34_5_all-9,592.223
UID_23_35_1_all-9,671.559
UID_23_35_2_all-14,689.054
UID_23_35_3_all-14,697.267
UID_23_35_4_all-8,659.556
UID_23_35_5_all-18,1480.98
UID_23_36_1_all-3,654.048
UID_23_36_2_all-6,655.162
UID_23_36_3_all-6,683.008
UID_23_37_1_all-5,686.781
UID_23_37_2_all-4,699.034
UID_23_37_3_all-11,835.236
UID_23_38_1_all-15,695.056
UID_23_38_2_all-12,909.776
UID_23_38_3_all-18,959.828
UID_23_38_4_all-16,739.789
UID_23_3_1_all-10,1352.33
UID_23_4_1_all-4,1446.31
UID_23_4_2_all-20,789.559
UID_23_4_3_all-13,1531.61
UID_23_4_4_all-19,1406.56
UID_23_5_1_all-6,1507.89
UID_23_5_2_all-12,697.499
UID_23_5_3_all-2,72.7419
UID_23_6_1_all-23,708.198
UID_23_7_1_all-8,629.084
UID_23_7_2_all,1123.39
UID_23_7_3_all-9,1197.69
UID_23_8_1_all-12,807.57
UID_23_8_2_all-5,1352.67
UID_23_9_1_all-12,1382.32
UID_2_10_1_all-5,628.325
UID_2_10_2_all-13,795.227
UID_2_11_1_all-5,1371.02
UID_2_11_2_all-9,744.541
UID_2_12_1_all-8,690.954
UID_2_12_2_all-12,745.749
UID_2_12_3_all-2,646.151
UID_2_13_1_all-3,1431.75
UID_2_13_2_all-3,807.69
UID_2_13_3_all-7,948.74
UID_2_13_4_all-3,663.402
UID_2_13_5_all-2,934.863
UID_2_13_6_all,112.239
UID_2_13_7_all-6,691.937
UID_2_13_8_all-12,748.159
UID_2_14_1_all-16,1014.23
UID_2_14_2_all-17,852.76
UID_2_14_3_all-17,779.017
UID_2_15_1_all-19,725.758
UID_2_16_1_all-4,976.478
UID_2_16_2_all-5,629.004
UID_2_16_3_all-11,698.403
UID_2_17_1_all-17,229.946
UID_2_17_2_all-10,1245.47
