Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized)
UID_16_11_1_all-13,-0.827106,-0.635093,-0.195218,-0.265355,-0.189456
UID_16_12_1_all-6,-0.74036,-0.519745,-0.326826,-0.408251,-0.152919
UID_16_12_2_all-15,-0.821088,-0.675686,-0.243833,-0.482975,-0.206584
UID_16_12_3_all-19,-0.665366,-0.255296,-0.301507,-0.291746,-0.16335
UID_16_12_4_all-10,-0.554779,-1.86358,0.374567,3.10957,-0.405091
UID_16_13_1_all-3,2.90668,-2.78301,-0.249992,-4.24548,-1.57632
UID_16_13_2_all-20,-1.02114,-1.1947,-0.350468,0.0247763,-0.803658
UID_16_15_1_all-11,2.53757,-2.07453,-1.3681,-1.3352,-0.387864
UID_16_16_1_all-2,-0.713869,-0.174285,0.0168528,-0.577843,0.121767
UID_16_17_1_all-2,-0.798117,-0.195548,0.0347796,-0.843102,0.500166
UID_16_17_2_all,2.64936,-2.3546,0.778053,-1.34152,-1.8656
UID_16_18_1_all-5,2.75431,-2.28102,1.14471,-2.44427,-2.49174
UID_16_19_1_all-6,-0.803293,-0.606953,-0.218746,-0.391466,-0.0242912
UID_16_1_1_all-19,-0.904378,-1.02504,-0.291224,-0.125602,-0.552737
UID_16_1_2_all-20,-0.788953,-1.07388,-0.514369,-0.272873,-0.290803
UID_16_1_3_all-11,-0.552628,-0.0805629,-0.0164129,-0.409158,0.347076
UID_16_20_1_all-10,-0.78617,-0.46825,-0.205348,-0.478897,-0.050048
UID_16_21_1_all-12,-0.751168,-1.17733,-0.49065,0.109715,-0.691592
UID_16_22_1_all-16,-0.890478,-0.819285,-0.276907,-0.458184,0.0273872
UID_16_23_1_all-21,-0.163781,-1.47765,-0.0744455,4.32459,0.139406
UID_16_23_2_all-28,-0.71447,-0.170541,0.00193548,-0.56802,0.217273
UID_16_24_1_all-15,-0.847391,-0.842211,0.287556,-0.418439,0.99398
UID_16_26_1_all-10,1.59469,-1.97858,-0.403573,2.70198,-5.88781
UID_16_27_1_all-18,-0.480908,-0.930195,0.451671,1.08667,0.332529
UID_16_27_2_all-12,-0.602203,-0.185989,-0.263807,-0.226521,-0.195389
UID_16_28_1_all-13,-0.945834,-0.946187,-0.262691,-0.686413,0.118099
UID_16_28_2_all-7,-0.70373,-1.21447,-0.696542,-0.330494,-1.28826
UID_16_29_1_all-14,-0.558165,-2.0693,0.160255,-0.435917,0.187824
UID_16_2_1_all-19,-0.966072,-1.22267,-0.33832,-0.34383,0.00267887
UID_16_2_2_all-7,-0.554438,0.000727497,-0.113245,-0.276782,-0.163754
UID_16_30_1_all-15,-0.812755,-0.94485,-0.105017,0.0741478,-0.454118
UID_16_30_2_all-8,3.11889,-1.27131,-2.6825,0.470894,1.9569
UID_16_34_1_all-13,-0.683537,-1.51116,-0.407731,-0.235243,-2.98179
UID_16_34_2_all-8,0.0581559,-1.47603,0.672152,2.63096,0.300412
UID_16_34_3_all-2,0.383863,-2.01126,1.86036,-0.026782,-0.1263
UID_16_34_4_all-5,1.04611,-1.63583,3.42755,5.02627,4.06689
UID_16_36_1_all-15,2.31239,-1.29542,-3.77881,0.168587,3.92877
UID_16_37_1_all-23,-0.932045,-1.00893,-0.286371,-0.279423,-0.207449
UID_16_38_1_all-18,-0.578799,0.0543251,-0.0601277,-0.668397,0.279978
UID_16_39_1_all-8,-0.718239,-0.25261,0.0677519,-0.356193,-0.00842909
UID_16_3_1_all-9,-0.605365,-0.0202257,-0.0628296,-0.528262,0.119378
UID_16_3_2_all-12,-0.670031,-0.375057,-0.114249,-0.134025,-0.0983818
UID_16_3_3_all-20,-0.692096,-0.293822,0.157359,-0.472749,0.321954
UID_16_3_4_all-13,-0.849608,-0.772716,-0.135315,-0.54073,-0.0888178
UID_16_40_1_all-2,-0.78551,-0.506919,-0.159844,-0.504364,0.0851575
UID_16_4_1_all-5,-0.776521,-0.279642,0.014304,-0.766044,0.466775
UID_16_5_1_all-2,2.63399,-2.22328,0.628417,-2.43078,-2.02529
UID_16_6_1_all-10,2.6629,-0.106612,-1.90728,-0.133866,0.918318
UID_16_6_2_all-13,-0.80394,-1.92628,-0.0414671,1.38963,-1.5252
UID_16_6_3_all-17,-0.882412,-0.977779,-0.303466,-0.140049,-0.469106
UID_16_6_4_all-12,-0.529772,0.0477196,-0.136535,-0.393852,-0.134613
UID_16_8_1_all-5,-0.731309,-0.546644,-0.261097,-0.353531,-0.0619598
UID_16_8_2_all-9,2.73062,-2.09366,-0.445993,-1.25942,0.629387
UID_23_10_1_all-3,-0.606401,-0.0239827,-0.0407687,-0.603414,0.466996
UID_23_10_2_all-20,-0.71692,-0.168063,-0.0322829,-0.793604,0.413654
UID_23_11_1_all-15,0.973113,2.07425,-0.177925,1.18304,-0.422743
UID_23_13_1_all-4,-0.601125,-0.236634,-0.119883,-0.403332,-0.0234393
UID_23_13_2_all-14,-1.0421,-1.04085,-0.301703,-0.798244,0.436033
UID_23_14_1_all-12,-0.491531,0.280206,-0.0391951,-0.565001,0.0646585
UID_23_15_1_all-19,-0.732668,-0.398097,0.0014988,-0.252291,-0.169854
UID_23_15_2_all-14,-0.637329,-0.390144,-0.181735,0.0861526,-0.639867
UID_23_15_3_all-21,-0.810192,-1.63704,0.343221,-0.789887,-1.35108
UID_23_16_1_all-3,-0.440078,0.378338,0.0324913,-0.418451,0.173266
UID_23_16_2_all-15,-0.612354,0.0472533,0.0402913,-0.425649,0.145494
UID_23_16_3_all-16,-0.678135,-0.364147,-0.177801,-0.0871035,-0.732783
UID_23_16_4_all-24,-0.503054,-0.355059,-0.398444,0.0337947,-0.455337
UID_23_17_1_all-2,-0.422078,0.233542,-0.0834669,-0.0172966,-0.306637
UID_23_17_2_all-2,-0.892426,-0.73807,-0.194934,-0.308743,-0.545441
UID_23_17_3_all-2,2.93364,-2.82387,1.31515,-2.82458,0.0310792
UID_23_17_4_all,2.73939,-1.39546,0.883052,-1.97443,-0.78955
UID_23_17_5_all-2,-0.5701,0.224243,0.0702412,-0.613458,0.435171
UID_23_18_1_all-6,-0.536523,-0.0305873,-0.03756,-0.424121,0.0128232
UID_23_18_2_all-15,-0.733089,-0.211872,0.000943745,-0.70863,0.41322
UID_23_18_3_all-16,-0.799321,-0.475455,0.00952984,-0.838615,0.963947
UID_23_19_1_all-6,-0.84132,-0.500199,0.0311424,-0.822244,1.04276
UID_23_19_2_all-3,-0.253142,0.378534,0.351256,-0.178014,0.193305
UID_23_19_3_all-12,-0.843188,-0.523009,-0.0413556,-0.696481,0.218146
UID_23_1_1_all-9,-0.712195,-0.322608,0.205519,-0.264262,0.13117
UID_23_20_1_all-18,-0.762164,-1.0037,-0.0306742,-0.0516368,0.566824
UID_23_20_2_all-16,-0.572681,0.0461907,0.309145,-0.411074,0.866682
UID_23_20_3_all-11,0.469908,-2.91408,0.866555,5.67695,1.26346
UID_23_21_1_all-7,2.58155,-1.4503,-0.340403,-0.673326,-1.78067
UID_23_21_2_all-18,2.3198,-0.251527,-2.415,0.976445,1.53511
UID_23_23_1_all-2,2.97544,-1.69894,0.356421,-1.47316,0.364993
UID_23_23_2_all,2.73319,-0.533029,1.01702,-2.32745,-0.35769
UID_23_23_3_all-6,-0.488738,0.246853,-0.0496809,-0.527153,0.26595
UID_23_24_1_all-26,-0.829198,-0.670281,-0.291015,-0.291885,-0.245123
UID_23_24_2_all-8,-0.461696,0.303199,-0.010192,-0.341294,0.000393667
UID_23_25_1_all-2,-0.714087,-0.401986,-0.196913,-0.480392,0.117445
UID_23_25_2_all-2,-0.888397,-0.407496,0.0612351,-0.817722,0.304167
UID_23_25_3_all-2,-0.721826,-0.155643,-0.0513184,-0.614941,0.347816
UID_23_27_1_all-8,-0.570292,-0.118076,-0.054758,-0.168101,-0.19876
UID_23_28_1_all-4,-0.570572,-0.109816,-0.0547099,-0.213123,-0.211712
UID_23_28_2_all-11,-0.564843,0.0975946,0.000982274,-0.405806,0.114965
UID_23_28_3_all-7,-0.620152,-0.335991,0.232319,0.325374,0.182522
UID_23_29_1_all-15,-0.139887,0.694564,-0.183015,-0.0384764,-0.422624
UID_23_29_2_all-8,0.0139002,0.66608,-0.283463,0.400053,-0.514165
UID_23_29_3_all-9,-0.287787,0.546587,-0.0615407,-0.0141564,0.025912
UID_23_29_4_all-16,-0.361041,0.521875,0.0015541,-0.620882,0.388299
UID_23_2_1_all-3,2.20964,-1.51131,0.775609,0.0453887,-4.11731
UID_23_2_2_all-2,-0.749966,-0.269374,-0.016607,-0.469899,-0.0606593
UID_23_30_1_all-11,-0.393363,0.456475,-0.00688266,-0.656701,0.402675
UID_23_30_2_all-3,-0.254132,0.476645,-0.129447,-0.106984,-0.248725
UID_23_30_3_all-15,-0.392448,-0.0169948,-0.205395,-0.141688,-0.0105048
UID_23_30_4_all-8,-0.354163,0.542641,-0.0148856,-0.495359,0.387109
UID_23_31_1_all-11,2.46374,-1.46041,-2.06142,-0.681703,3.40055
UID_23_31_2_all-7,-0.543278,0.0582556,-0.0747378,-0.253128,-0.120581
UID_23_31_3_all-13,-0.586059,-0.577863,0.666612,-0.0737195,0.442447
UID_23_31_4_all-6,-0.395346,0.305076,-0.071894,-0.225808,-0.254123
UID_23_31_5_all-15,-0.447582,0.39568,0.0339253,-0.488815,0.173417
UID_23_32_1_all,2.58805,-0.873411,0.821699,-1.49551,-1.53419
