Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
UID_16_11_1_all-13,-237.786,-89.7901,-15.6882,-15.8339,-10.419
UID_16_12_1_all-6,-212.847,-73.482,-26.2646,-24.3607,-8.40966
UID_16_12_2_all-15,-236.056,-95.5292,-19.5951,-28.8195,-11.3609
UID_16_12_3_all-19,-191.287,-36.094,-24.2299,-17.4087,-8.98331
UID_16_12_4_all-10,-159.494,-263.476,30.1012,185.551,-22.2776
UID_16_13_1_all-3,835.646,-393.465,-20.09,-253.331,-86.6884
UID_16_13_2_all-20,-293.568,-168.908,-28.1645,1.47842,-44.1965
UID_16_15_1_all-11,729.529,-293.299,-109.944,-79.6722,-21.3302
UID_16_16_1_all-2,-205.231,-24.6406,1.35434,-34.4803,6.69644
UID_16_17_1_all-2,-229.451,-27.6467,2.79498,-50.3085,27.5062
UID_16_17_2_all,761.667,-332.896,62.5264,-80.0497,-102.597
UID_16_18_1_all-5,791.839,-322.493,91.9918,-145.852,-137.031
UID_16_19_1_all-6,-230.94,-85.8117,-17.579,-23.3591,-1.33587
UID_16_1_1_all-19,-260.001,-144.921,-23.4035,-7.49476,-30.3973
UID_16_1_2_all-20,-226.817,-151.826,-41.3361,-16.2825,-15.9925
UID_16_1_3_all-11,-158.876,-11.3901,-1.31898,-24.4148,19.0871
UID_16_20_1_all-10,-226.017,-66.2017,-16.5023,-28.5761,-2.75235
UID_16_21_1_all-12,-215.954,-166.453,-39.4299,6.5468,-38.0335
UID_16_22_1_all-16,-256.004,-115.831,-22.253,-27.3402,1.50614
UID_16_23_1_all-21,-47.0856,-208.911,-5.98264,258.051,7.66652
UID_16_23_2_all-28,-205.404,-24.1112,0.15554,-33.8942,11.9488
UID_16_24_1_all-15,-243.617,-119.073,23.1088,-24.9686,54.663
UID_16_26_1_all-10,458.459,-279.734,-32.4322,161.229,-323.795
UID_16_27_1_all-18,-138.257,-131.512,36.2975,64.8423,18.2871
UID_16_27_2_all-12,-173.128,-26.2953,-21.2002,-13.5167,-10.7453
UID_16_28_1_all-13,-271.919,-133.773,-21.1105,-40.9588,6.49476
UID_16_28_2_all-7,-202.316,-171.702,-55.9759,-19.7208,-70.8468
UID_16_29_1_all-14,-160.467,-292.56,12.8785,-26.0115,10.3292
UID_16_2_1_all-19,-277.737,-172.862,-27.1883,-20.5166,0.147322
UID_16_2_2_all-7,-159.396,0.102854,-9.10063,-16.5158,-9.00552
UID_16_30_1_all-15,-233.66,-133.584,-8.43947,4.42446,-24.9738
UID_16_30_2_all-8,896.652,-179.739,-215.573,28.0986,107.618
UID_16_34_1_all-13,-196.511,-213.649,-32.7664,-14.0371,-163.981
UID_16_34_2_all-8,16.7193,-208.682,54.0159,156.991,16.5209
UID_16_34_3_all-2,110.357,-284.354,149.503,-1.5981,-6.94574
UID_16_34_4_all-5,300.748,-231.276,275.447,299.922,223.655
UID_16_36_1_all-15,664.792,-183.148,-303.675,10.0597,216.059
UID_16_37_1_all-23,-267.955,-142.644,-23.0136,-16.6734,-11.4085
UID_16_38_1_all-18,-166.4,7.68054,-4.83202,-39.8838,15.3971
UID_16_39_1_all-8,-206.487,-35.7143,5.44472,-21.2543,-0.463551
UID_16_3_1_all-9,-174.037,-2.85953,-5.04915,-31.5218,6.56512
UID_16_3_2_all-12,-192.628,-53.026,-9.18137,-7.99735,-5.41042
UID_16_3_3_all-20,-198.972,-41.5408,12.6458,-28.2093,17.7056
UID_16_3_4_all-13,-244.255,-109.247,-10.8743,-32.2658,-4.88446
UID_16_40_1_all-2,-225.827,-71.6687,-12.8455,-30.0958,4.68316
UID_16_4_1_all-5,-223.243,-39.5361,1.14951,-45.7104,25.6699
UID_16_5_1_all-2,757.249,-314.33,50.5012,-145.047,-111.379
UID_16_6_1_all-10,765.561,-15.073,-153.274,-7.98788,50.5021
UID_16_6_2_all-13,-231.126,-272.34,-3.33241,82.9206,-83.877
UID_16_6_3_all-17,-253.686,-138.239,-24.3873,-8.35685,-25.7981
UID_16_6_4_all-12,-152.305,6.74665,-10.9723,-23.5014,-7.40295
UID_16_8_1_all-5,-210.245,-77.2851,-20.9825,-21.0954,-3.40743
UID_16_8_2_all-9,785.029,-296.004,-35.8412,-75.1503,34.6126
UID_23_10_1_all-3,-174.335,-3.39069,-3.27628,-36.0062,25.682
