Contour,Area,all2Model (normalized mode 1),all2Model (normalized mode 2)
UID_13_1_1_all-26,44223.2,0.786051,0.362868
UID_13_10_2_all-5,34711.9,0.4794,-0.514943
UID_13_11_1_all-8,38042.2,0.523883,-0.0018938
UID_13_12_1_all-7,40994.5,0.597523,0.394896
UID_13_12_2_all-6,38020.3,0.516655,0.00296899
UID_13_12_3_all-10,39120.4,0.549473,0.0640781
UID_13_13_1_all,4040.02,-1.28999,-4.23899
UID_13_13_2_all-9,49427.3,0.601225,1.86452
UID_13_13_3_all-21,49093.1,0.205107,2.51962
UID_13_14_1_all-11,42019.1,0.673234,0.302358
UID_13_14_2_all-11,43533,0.707731,0.37761
UID_13_14_3_all-21,38978.6,0.583873,0.0293204
UID_13_14_4_all-17,46034.3,0.166171,2.83624
UID_13_15_1_all-9,43974.7,0.787878,0.306314
UID_13_17_1_all-8,48438,0.881721,0.823655
UID_13_17_2_all-5,43536.2,0.773527,0.224939
UID_13_18_1_all,3257.15,-2.67148,1.48893
UID_13_19_1_all-14,36762.5,0.495568,-0.182218
UID_13_20_1_all-5,43982.8,0.804301,0.215345
UID_13_20_2_all-9,39044,0.603151,-0.0660972
UID_13_21_1_all-14,47709.7,0.874696,0.676686
UID_13_21_2_all-6,40230.8,0.670061,-0.0286299
UID_13_21_3_all-12,45547.5,0.791003,0.526546
UID_13_22_1_all-11,31417.5,0.299314,-0.674128
UID_13_23_1_all-3,32157.7,0.0554359,-0.13999
UID_13_23_2_all-4,35229.6,0.510284,-0.517267
UID_13_23_3_all-3,35594.9,0.470233,-0.333778
UID_13_23_4_all-3,36274.5,0.494683,-0.257233
UID_13_25_1_all-13,46177.9,-0.0418273,1.56775
UID_13_25_2_all-6,34052.5,0.443178,-0.554743
UID_13_25_3_all-3,39579.7,0.648618,-0.0864294
UID_13_25_4_all-8,33156.9,0.346306,-0.36889
UID_13_26_1_all-22,42328.8,0.559945,0.587061
UID_13_26_2_all-6,38471.5,0.601615,-0.157416
UID_13_26_3_all-21,43611,0.798398,0.179985
UID_13_27_1_all-24,42463.9,0.746395,0.133738
UID_13_27_2_all-4,39288.8,0.436367,0.403321
UID_13_28_1_all-19,33957.6,0.439312,-0.564736
UID_13_28_2_all-28,31762.4,0.341604,-0.699804
UID_13_28_3_all-14,42662,0.7584,0.132162
UID_13_29_1_all-16,40222.2,0.572165,0.253033
UID_13_29_2_all-20,37444.1,0.523044,-0.137686
UID_13_29_3_all-21,36792.1,0.525769,-0.241149
UID_13_29_4_all,12497.6,-2.85677,1.06849
UID_13_3_1_all-2,43139.8,0.671288,0.504405
UID_13_30_1_all-17,36734.5,0.530031,-0.260669
UID_13_30_2_all-13,34511.4,0.290287,-0.0751647
UID_13_30_3_all-21,36494.9,0.467094,-0.113677
UID_13_30_4_all-6,38867.7,0.521648,0.0860456
UID_13_31_1_all-15,36730.5,0.532322,-0.267631
UID_13_31_2_all-12,34421.3,0.281278,-0.0718064
UID_13_31_3_all-12,36521.5,0.473848,-0.123036
UID_13_31_4_all-17,38855.3,0.518897,0.178467
UID_13_32_1_all-11,36511,0.443516,-0.0519002
UID_13_32_2_all-20,37437.8,0.54395,-0.181981
UID_13_32_3_all-29,47971.3,0.938908,0.522485
UID_13_33_1_all-9,40614.6,0.693965,-0.0370421
UID_13_33_2_all-8,42244.8,0.63431,0.468075
UID_13_33_3_all-11,4777.07,-2.99451,1.50872
UID_13_33_4_all-5,37467.3,0.402448,0.294687
UID_13_34_1_all-21,35300.6,0.392605,-0.113503
UID_13_34_2_all-9,34962.9,0.463332,-0.444371
UID_13_34_3_all-13,42147.4,0.68996,0.28939
UID_13_35_1_all-7,40065.1,0.63636,0.0463338
UID_13_35_2_all-5,29278.4,0.272069,-1.00512
UID_13_35_3_all-9,33802.2,0.441955,-0.564208
UID_13_36_1_all-4,33605.8,0.199473,0.0102985
UID_13_36_2_all-9,38857.9,0.554125,0.0654833
UID_13_37_1_all-3,47215.1,0.912591,0.464115
UID_13_37_2_all-10,45886.2,0.775846,0.651488
UID_13_38_1_all-15,47333.3,0.809564,0.918368
UID_13_38_2_all-3,39572,0.660157,-0.146452
UID_13_38_3_all-14,44406.1,0.563485,0.744835
UID_13_39_1_all-13,29696.9,0.225108,-0.760794
