Contour,Normalized Curvature
UID_13_1_1_all-26,23.638
UID_13_10_2_all-5,19.8512
UID_13_11_1_all-8,30.7817
UID_13_12_1_all-7,25.1053
UID_13_12_2_all-6,31.0173
UID_13_12_3_all-10,25.1133
UID_13_13_1_all,77.9821
UID_13_13_2_all-9,38.6771
UID_13_13_3_all-21,51.1167
UID_13_14_1_all-11,29.9821
UID_13_14_2_all-11,21.7355
UID_13_14_3_all-21,22.3923
UID_13_14_4_all-17,47.442
UID_13_15_1_all-9,19.6556
UID_13_17_1_all-8,29.9278
UID_13_17_2_all-5,27.0826
UID_13_18_1_all,38.1595
UID_13_19_1_all-14,24.9017
UID_13_20_1_all-5,33.8
UID_13_20_2_all-9,30.1062
UID_13_21_1_all-14,33.8523
UID_13_21_2_all-6,25.4878
UID_13_21_3_all-12,32.8774
UID_13_22_1_all-11,30.6095
UID_13_23_1_all-3,67.4315
UID_13_23_2_all-4,25.9517
UID_13_23_3_all-3,30.9986
UID_13_23_4_all-3,28.7176
UID_13_25_1_all-13,55.2265
UID_13_25_2_all-6,23.8111
UID_13_25_3_all-3,21.168
UID_13_25_4_all-8,22.2447
UID_13_26_1_all-22,28.5881
UID_13_26_2_all-6,20.1614
UID_13_26_3_all-21,27.1742
UID_13_27_1_all-24,27.2974
UID_13_27_2_all-4,30.1772
UID_13_28_1_all-19,29.2074
UID_13_28_2_all-28,26.6655
UID_13_28_3_all-14,22.453
UID_13_29_1_all-16,33.966
UID_13_29_2_all-20,26.9351
UID_13_29_3_all-21,39.0561
UID_13_29_4_all,48.2036
UID_13_3_1_all-2,27.0601
UID_13_30_1_all-17,33.8449
UID_13_30_2_all-13,25.6182
UID_13_30_3_all-21,35.4346
UID_13_30_4_all-6,46.5146
UID_13_31_1_all-15,32.7911
UID_13_31_2_all-12,32.4067
UID_13_31_3_all-12,25.4227
UID_13_31_4_all-17,29.0929
UID_13_32_1_all-11,34.3973
UID_13_32_2_all-20,25.43
UID_13_32_3_all-29,30.0544
UID_13_33_1_all-9,23.1891
UID_13_33_2_all-8,49.446
UID_13_33_3_all-11,87.713
UID_13_33_4_all-5,54.3494
UID_13_34_1_all-21,27.7129
UID_13_34_2_all-9,27.3755
UID_13_34_3_all-13,30.3406
UID_13_35_1_all-7,29.7565
UID_13_35_2_all-5,23.6377
UID_13_35_3_all-9,28.7003
UID_13_36_1_all-4,36.7268
UID_13_36_2_all-9,22.6208
UID_13_37_1_all-3,27.4619
UID_13_37_2_all-10,29.6889
UID_13_38_1_all-15,29.0923
UID_13_38_2_all-3,37.0696
UID_13_38_3_all-14,69.6923
UID_13_39_1_all-13,21.9223
UID_13_39_2_all-19,28.2048
UID_13_39_3_all-11,32.7472
UID_13_4_1_all-6,240.855
UID_13_4_3_all-25,46.1456
UID_13_6_1_all-17,22.2768
UID_13_7_1_all-2,70.5566
UID_13_7_2_all,60.7505
UID_13_8_1_all-18,154.959
UID_13_8_2_all-5,21.4355
UID_13_8_3_all-3,59.9414
UID_13_9_1_all-8,98.4311
UID_13_9_2_all-9,22.8052
UID_13_9_3_all-2,29.4665
UID_18_1_1_all-8,99.5404
UID_18_10_1_all-4,30.5135
UID_18_10_2_all-16,43.6151
UID_18_13_1_all-5,24.1824
UID_18_14_1_all-9,33.8401
UID_18_17_1_all,71.3561
UID_18_17_2_all-2,21.485
UID_18_18_1_all-3,91.7574
UID_18_18_2_all-4,25.0226
UID_18_19_1_all-8,23.4641
UID_18_19_2_all-8,42.8908
UID_18_19_3_all-16,29.3294
UID_18_19_4_all-10,47.5209
UID_18_19_5_all-13,37.2297
UID_18_20_1_all-8,32.2259
UID_18_20_2_all-17,23.9479
UID_18_20_3_all-18,113.802
UID_18_20_4_all-12,26.9967
UID_18_20_5_all-18,164.183
UID_18_21_1_all-8,89.8692
UID_18_22_1_all-5,23.1628
UID_18_22_2_all-9,171.152
UID_18_23_1_all-5,154.704
UID_18_23_2_all-6,27.3977
UID_18_24_1_all-4,22.5894
UID_18_24_2_all-4,27.1315
UID_18_24_3_all-14,60.9267
UID_18_25_1_all-5,31.4612
UID_18_26_1_all-5,48.1395
UID_18_26_2_all-2,25.2068
UID_18_28_1_all-7,187.161
UID_18_29_1_all-25,27.2161
UID_18_29_2_all-5,24.9799
UID_18_30_1_all-7,29.0854
UID_18_30_2_all-4,31.9716
UID_18_31_1_all-2,43.3886
UID_18_31_2_all-3,23.5237
UID_18_32_1_all-24,25.3219
UID_18_32_2_all-19,28.4085
UID_18_32_3_all-10,40.1043
UID_18_32_4_all-12,28.509
UID_18_32_5_all-14,112.861
UID_18_33_1_all-9,221.443
UID_18_33_2_all-18,47.0693
UID_18_33_3_all-16,19.5957
UID_18_33_4_all-10,25.732
UID_18_34_1_all-18,33.7947
UID_18_34_2_all-7,136.708
UID_18_35_1_all-4,25.2491
UID_18_35_2_all-5,24.1373
UID_18_35_3_all-4,29.3059
UID_18_35_4_all-17,23.4526
UID_18_35_5_all-13,29.2385
UID_18_35_6_all-16,20.9732
UID_18_36_1_all-3,27.3428
UID_18_36_2_all-10,23.9664
UID_18_36_3_all-10,24.7753
UID_18_37_1_all-3,53.276
UID_18_37_2_all-4,22.635
UID_18_37_3_all-4,30.9358
UID_18_38_1_all-9,27.3784
UID_18_38_2_all-2,48.9027
UID_18_38_3_all-4,29.4187
UID_18_38_4_all-5,23.5327
UID_18_4_1_all-8,241.193
UID_18_4_2_all-9,65.252
UID_18_5_1_all-10,302.936
UID_18_5_2_all-13,25.3228
UID_18_5_3_all-15,150.865
UID_18_6_1_all-18,185.17
UID_18_8_1_all-27,23.4123
UID_18_8_2_all-15,38.013
UID_18_8_3_all-23,20.9961
UID_18_9_1_all-10,52.7424
UID_21_1_1_all-15,148.267
UID_21_1_2_all-10,173.244
UID_21_1_3_all-8,79.6787
UID_21_10_1_all-15,29.7942
UID_21_10_2_all-10,29.495
UID_21_10_3_all-4,25.5518
UID_21_10_4_all-16,24.6746
UID_21_10_5_all-10,31.677
UID_21_10_6_all-7,121.633
UID_21_11_1_all-16,209.559
UID_21_11_2_all-13,33.6041
UID_21_12_1_all-12,225.881
UID_21_12_2_all-11,322.954
UID_21_13_1_all-18,36.2003
UID_21_13_2_all-17,24.6379
UID_21_13_3_all-9,25.0572
UID_21_13_4_all-12,348.365
UID_21_13_5_all-26,30.2403
UID_21_14_1_all-15,33.6801
UID_21_14_2_all-14,34.3763
UID_21_14_3_all-16,29.0875
UID_21_14_4_all-13,29.6051
UID_21_14_5_all-12,26.4308
UID_21_15_1_all-14,21.4316
UID_21_15_2_all-11,26.0426
UID_21_16_1_all-20,128.564
UID_21_16_2_all-15,66.0594
UID_21_16_3_all-15,31.797
UID_21_18_1_all-15,25.6506
UID_21_18_2_all-6,74.3954
UID_21_19_1_all-13,687.943
UID_21_20_1_all-27,21.9724
UID_21_20_2_all-11,28.0488
UID_21_21_1_all-24,25.9227
UID_21_22_1_all-13,57.9017
UID_21_22_2_all-9,28.8518
UID_21_22_3_all-25,32.1247
UID_21_22_4_all-13,37.0527
UID_21_24_1_all-17,118.123
UID_21_25_1_all-3,27.9884
UID_21_28_1_all-24,53.1448
UID_21_29_1_all-15,257.113
UID_21_3_1_all-2,27.6366
UID_21_3_2_all-2,24.6787
UID_21_30_1_all,88.0921
UID_21_32_1_all-19,32.2242
UID_21_32_2_all-4,25.0184
UID_21_32_3_all-10,36.3445
UID_21_33_1_all-17,46.0227
UID_21_34_1_all-5,130.411
UID_21_34_2_all-6,142.439
UID_21_35_1_all-5,54.2047
UID_21_35_2_all-2,35.4961
UID_21_37_1_all-12,29.3441
UID_21_37_2_all-12,26.19
UID_21_37_3_all-13,43.6215
UID_21_37_4_all-16,26.689
UID_21_37_5_all-21,121.237
UID_21_37_6_all-8,24.3182
UID_21_38_1_all-13,25.0918
UID_21_38_2_all-19,24.6735
UID_21_38_3_all-8,25.4592
UID_21_38_4_all-12,28.3224
UID_21_38_5_all-13,24.9581
UID_21_4_1_all-5,21.0067
UID_21_4_2_all-2,34.6239
UID_21_4_3_all-6,24.3424
UID_21_5_1_all,89.2222
UID_21_5_2_all-2,18.9816
UID_21_6_1_all-6,23.8553
UID_21_6_2_all-2,24.0405
UID_21_8_1_all-5,53.1297
UID_21_8_2_all-4,24.4764
UID_21_8_3_all-12,43.8339
UID_21_9_1_all-28,40.6512
UID_21_9_2_all-13,140.324
UID_21_9_3_all-20,184.044
UID_21_9_4_all-14,26.0156
UID_21_9_5_all-21,25.0979
UID_24_1_1_all-2,33.5663
UID_24_1_2_all-9,35.8162
UID_24_1_3_all-11,32.3176
UID_24_1_4_all-4,102.292
UID_24_1_5_all-26,40.7218
UID_24_1_6_all-12,27.959
UID_24_1_7_all-22,25.1765
UID_24_10_1_all-2,32.5911
UID_24_10_2_all-12,42.3671
UID_24_10_3_all-16,33.7429
UID_24_10_4_all-17,33.6304
UID_24_10_5_all-15,36.4902
UID_24_11_1_all-3,34.7931
UID_24_11_2_all-2,28.3479
UID_24_11_3_all-7,22.0059
UID_24_11_4_all-3,26.7116
UID_24_11_5_all-2,30.8553
UID_24_11_6_all-24,24.3578
UID_24_12_1_all-2,78.604
UID_24_12_2_all-11,29.1949
UID_24_13_1_all-6,30.0728
UID_24_13_2_all-3,27.017
UID_24_13_3_all-18,36.2035
UID_24_13_4_all-5,33.026
UID_24_14_1_all-2,52.0929
UID_24_14_2_all-3,26.3057
UID_24_14_3_all-30,125.301
UID_24_15_1_all-3,32.524
UID_24_15_2_all-4,72.8595
UID_24_15_3_all-2,32.5744
UID_24_15_4_all-5,32.7521
UID_24_15_5_all-15,36.6681
UID_24_16_1_all-31,40.1347
UID_24_16_2_all-15,51.1103
UID_24_16_3_all-6,27.0214
UID_24_16_4_all-3,36.9649
UID_24_16_5_all-8,33.9851
UID_24_17_1_all-4,73.901
UID_24_17_2_all-7,26.6038
UID_24_17_3_all-10,42.5766
UID_24_17_4_all-3,34.0741
UID_24_17_5_all-3,31.4485
UID_24_17_6_all-8,36.8043
UID_24_17_7_all-9,25.2668
UID_24_18_1_all-3,42.7163
UID_24_18_2_all-13,31.2714
UID_24_18_3_all-13,33.3079
UID_24_19_1_all-6,36.7381
UID_24_19_2_all-2,31.0717
UID_24_19_3_all-21,40.5141
UID_24_2_1_all-8,27.2406
UID_24_2_2_all-8,35.7578
UID_24_2_3_all-13,23.5944
UID_24_2_4_all-7,33.7422
UID_24_20_1_all-15,44.2744
UID_24_20_2_all-2,28.1215
UID_24_21_1_all-14,37.1614
UID_24_21_2_all-10,33.5567
UID_24_21_3_all-3,21.3853
UID_24_21_4_all-9,160.599
UID_24_22_1_all-2,30.3698
UID_24_22_2_all-4,27.6326
UID_24_23_1_all-2,36.3183
UID_24_23_2_all-4,44.4935
UID_24_23_3_all-6,37.064
UID_24_23_4_all-33,29.404
UID_24_24_1_all-2,36.5706
UID_24_24_2_all-4,42.3927
UID_24_24_3_all-24,40.6671
UID_24_24_4_all-28,29.7712
UID_24_24_5_all-16,84.6502
UID_24_24_6_all-36,29.6131
UID_24_25_1_all-6,26.412
UID_24_25_2_all-36,29.397
UID_24_26_1_all-13,31.5986
UID_24_26_2_all-4,35.5575
UID_24_26_3_all-29,30.1984
UID_24_26_4_all-24,41.8294
UID_24_26_5_all-27,53.0847
UID_24_27_1_all-14,36.4515
UID_24_27_2_all-21,37.7124
UID_24_28_1_all-2,31.73
UID_24_28_2_all-10,27.2866
UID_24_28_3_all-21,36.4071
UID_24_28_4_all-13,35.1275
UID_24_28_5_all-19,34.7681
UID_24_29_1_all-7,26.3357
UID_24_29_2_all-2,38.9242
UID_24_29_3_all-6,32.0391
UID_24_29_4_all-12,29.409
UID_24_29_5_all-15,30.4986
UID_24_3_1_all-14,36.6307
UID_24_3_2_all-12,30.0858
UID_24_3_3_all-7,34.1837
UID_24_3_4_all-6,27.2687
UID_24_30_1_all-8,43.7627
UID_24_30_2_all-2,27.6572
UID_24_30_3_all-20,34.3568
UID_24_30_4_all-3,42.1548
UID_24_30_5_all-15,22.2573
UID_24_31_1_all-24,30.1577
UID_24_31_2_all-18,36.3456
UID_24_31_3_all-30,21.5561
UID_24_31_4_all-23,37.442
UID_24_31_5_all-31,37.3728
UID_24_31_6_all-24,31.062
UID_24_31_7_all-18,38.9595
UID_24_32_1_all-3,39.3891
UID_24_32_2_all-15,39.0596
UID_24_32_3_all-13,39.9146
UID_24_32_4_all-25,32.698
UID_24_33_1_all-23,41.5889
UID_24_33_2_all-9,45.7462
UID_24_33_3_all-15,34.8075
UID_24_33_4_all-18,95.3538
UID_24_33_5_all-17,27.6054
UID_24_34_1_all-2,40.1663
UID_24_34_2_all-16,36.3224
UID_24_34_3_all-3,28.7288
UID_24_34_4_all-4,36.6108
UID_24_34_5_all-4,46.2118
UID_24_34_6_all-39,30.9954
UID_24_34_7_all-8,42.541
UID_24_34_8_all-2,71.3515
UID_24_34_9_all-6,33.3578
UID_24_35_1_all-20,27.7541
UID_24_35_2_all-2,33.3066
UID_24_35_3_all-16,37.8337
UID_24_4_1_all-4,31.4391
UID_24_4_2_all-17,28.6485
UID_24_4_3_all-10,36.5686
UID_24_5_1_all-10,21.8688
UID_24_5_2_all-2,43.3728
UID_24_5_3_all-5,28.3585
UID_24_5_4_all-8,46.7793
UID_24_5_5_all-3,33.6049
UID_24_5_6_all-24,25.0922
UID_24_6_1_all-15,28.8216
UID_24_6_2_all-2,66.5456
UID_24_6_3_all-6,35.083
UID_24_6_4_all-10,115.108
UID_24_7_1_all-3,33.0385
UID_24_8_1_all-13,35.3781
UID_24_8_10_all-18,30.5638
UID_24_8_11_all-6,102.195
UID_24_8_12_all-26,47.7519
UID_24_8_13_all-24,23.7443
UID_24_8_2_all-3,37.6093
UID_24_8_3_all-3,28.0358
UID_24_8_4_all-17,37.9827
UID_24_8_5_all-23,33.3029
UID_24_8_6_all-20,33.7934
UID_24_8_7_all-13,31.828
UID_24_8_8_all-19,33.0769
UID_24_8_9_all-21,36.1808
UID_24_9_1_all-13,31.4398
UID_24_9_2_all-2,34.0101
UID_24_9_3_all-3,36.2808
UID_24_9_4_all-6,30.9949
UID_24_9_5_all-20,52.6157
UID_24_9_6_all-25,48.3306
UID_25_1_1_all-13,119.169
UID_25_1_2_all-9,132.871
UID_25_1_3_all-21,30.8917
UID_25_1_4_all-19,98.4694
UID_25_1_5_all-14,25.9832
UID_25_10_1_all-7,33.0711
UID_25_10_2_all-36,48.1811
UID_25_10_3_all-4,34.9601
UID_25_10_4_all-2,28.5529
UID_25_10_5_all-13,34.3432
UID_25_10_6_all-21,26.9629
UID_25_10_7_all-15,35.0235
UID_25_10_8_all-6,33.4206
UID_25_11_1_all-6,32.2927
UID_25_11_2_all-24,39.4094
UID_25_11_3_all-21,32.7379
UID_25_11_4_all-35,51.3403
UID_25_11_5_all-2,32.8211
UID_25_12_1_all-2,31.9356
UID_25_12_2_all-23,22.5147
UID_25_12_3_all-2,29.6626
UID_25_12_4_all-10,27.6615
UID_25_12_5_all-24,26.081
UID_25_12_6_all-20,27.4704
UID_25_12_7_all-15,34.1829
UID_25_13_1_all-17,35.3805
UID_25_13_2_all-23,49.0896
UID_25_13_3_all-20,28.2272
UID_25_14_1_all-4,42.6099
UID_25_14_2_all-26,27.833
UID_25_14_3_all-5,35.6453
UID_25_14_5_all-16,55.9713
UID_25_14_6_all-26,40.8081
UID_25_14_7_all-7,33.7306
UID_25_15_1_all-37,26.919
UID_25_15_2_all-15,36.3349
UID_25_15_3_all-9,28.842
UID_25_15_4_all-10,25.1303
UID_25_15_5_all-20,32.4802
UID_25_15_6_all-9,27.8097
UID_25_15_7_all-22,35.5328
UID_25_16_1_all-16,41.1204
UID_25_16_2_all-15,155.45
UID_25_16_3_all-11,30.2187
UID_25_16_4_all-11,36.4865
UID_25_16_5_all-26,33.5063
UID_25_17_1_all-17,33.3658
UID_25_17_2_all-13,28.5011
UID_25_17_3_all-8,26.7883
UID_25_17_4_all-6,27.5632
UID_25_18_1_all-7,68.0619
UID_25_18_2_all-13,149.759
UID_25_18_3_all-13,25.501
UID_25_18_4_all-13,32.0192
UID_25_19_1_all-5,36.1738
UID_25_19_2_all-17,25.3951
UID_25_19_3_all-8,89.6411
UID_25_2_1_all-4,102.006
UID_25_2_2_all-18,67.3916
UID_25_2_3_all-20,197.933
UID_25_2_4_all-13,473.069
UID_25_20_1_all-8,33.1522
UID_25_20_2_all-11,38.0789
UID_25_20_3_all-20,23.5505
UID_25_20_4_all-13,28.3685
UID_25_20_5_all-17,26.0637
UID_25_20_6_all-24,37.5701
UID_25_20_7_all-18,35.6109
UID_25_21_1_all-11,28.3572
UID_25_21_2_all-2,107.582
UID_25_21_3_all-11,21.7836
UID_25_21_4_all-16,29.3743
UID_25_21_5_all-7,28.518
UID_25_21_6_all-22,32.3252
UID_25_21_7_all-8,31.2318
UID_25_22_1_all-14,70.5406
UID_25_22_2_all-17,21.5761
UID_25_23_1_all-15,29.0391
UID_25_23_2_all-3,42.3416
UID_25_23_3_all-10,27.9896
UID_25_23_4_all-18,27.0198
UID_25_23_5_all-8,29.6384
UID_25_23_6_all-8,31.9312
UID_25_24_1_all-15,44.3878
UID_25_24_2_all-21,35.947
UID_25_25_1_all-3,25.0367
UID_25_25_2_all-19,68.4865
UID_25_26_1_all-13,104.452
UID_25_26_2_all-2,106.116
UID_25_26_3_all-14,105.241
UID_25_26_4_all-18,124.533
UID_25_26_5_all-6,84.7006
UID_25_26_6_all-19,30.3384
UID_25_27_1_all-5,45.7137
UID_25_28_1_all-13,36.8866
UID_25_29_1_all-4,29.4879
UID_25_29_2_all-25,30.7758
UID_25_3_1_all-13,26.7094
UID_25_3_2_all-7,69.3141
UID_25_3_3_all-10,20.0605
UID_25_3_4_all-13,23.984
UID_25_30_1_all-17,28.2898
UID_25_30_2_all-18,27.8745
UID_25_30_3_all-16,105.609
UID_25_30_4_all-13,118.304
UID_25_31_1_all-7,33.7001
UID_25_31_2_all-3,112.61
UID_25_31_3_all-11,115.229
UID_25_31_4_all-12,36.6798
UID_25_32_1_all-4,29.2347
UID_25_32_2_all-5,22.739
UID_25_32_3_all-3,25.0765
UID_25_33_1_all-8,54.4794
UID_25_33_2_all-2,54.9684
UID_25_33_3_all-11,25.6804
UID_25_33_4_all-8,29.9746
UID_25_33_5_all-19,22.4581
UID_25_34_1_all-26,32.6358
UID_25_34_2_all-22,150.638
UID_25_34_3_all-19,42.7964
UID_25_34_4_all-21,40.2717
UID_25_35_1_all-2,77.5801
UID_25_35_2_all-24,40.7233
UID_25_35_3_all-10,34.2642
UID_25_35_4_all-28,47.3929
UID_25_36_2_all-6,92.9069
UID_25_36_3_all-3,31.5771
UID_25_37_1_all-25,272.166
UID_25_37_2_all-6,62.7446
UID_25_37_3_all-12,50.0403
UID_25_37_4_all-12,34.4906
UID_25_4_1_all,136.047
UID_25_4_2_all-4,26.1438
UID_25_4_3_all-3,36.6902
UID_25_4_4_all-9,37.0972
UID_25_4_5_all-5,30.6865
UID_25_4_6_all,63.8703
UID_25_4_7_all-9,76.8418
UID_25_4_8_all-16,162.505
UID_25_5_1_all-6,29.5298
UID_25_5_10_all-2,140.654
UID_25_5_2_all-2,29.6122
UID_25_5_3_all-8,27.8688
UID_25_5_4_all-7,27.5847
UID_25_5_5_all-11,38.5227
UID_25_5_6_all-8,37.0062
UID_25_5_7_all-6,26.4918
UID_25_5_8_all-3,28.8285
UID_25_5_9_all-2,33.9656
UID_25_6_1_all-5,23.6395
UID_25_6_2_all-8,38.3994
UID_25_6_3_all-13,34.0721
UID_25_6_4_all-4,38.8816
UID_25_6_5_all-9,28.0878
UID_25_6_6_all-13,41.1181
UID_25_6_7_all-7,39.0886
UID_25_6_8_all-30,42.225
UID_25_7_1_all-5,38.2522
UID_25_7_2_all-30,110.982
UID_25_7_3_all-4,27.9519
UID_25_7_4_all-2,22.226
UID_25_7_5_all-10,42.6545
UID_25_7_6_all-3,28.9424
UID_25_7_7_all-21,27.7898
UID_25_8_1_all-16,33.7177
UID_25_8_2_all-3,29.4928
UID_25_8_3_all-23,27.6116
UID_25_8_4_all-21,35.1469
UID_25_8_5_all-2,37.992
UID_25_9_1_all-7,29.924
UID_25_9_2_all-14,68.8116
UID_25_9_3_all-17,296.417
UID_25_9_4_all-29,37.6298
UID_25_9_5_all-6,33.6728
UID_25_9_6_all-8,33.4585
UID_25_9_7_all-12,28.5425
UID_27_1_1_all-17,33.4439
UID_27_1_2_all-7,138.416
UID_27_1_3_all-17,45.7766
UID_27_1_4_all-3,30.7326
UID_27_1_5_all-16,28.624
UID_27_1_6_all-21,31.4782
UID_27_1_7_all-3,28.523
UID_27_1_8_all-14,24.8166
UID_27_10_1_all-16,28.1365
UID_27_10_2_all-5,55.0154
UID_27_10_3_all-8,23.5046
UID_27_10_4_all-18,25.0477
UID_27_10_5_all-24,33.5088
UID_27_10_6_all-13,34.791
UID_27_10_7_all-5,25.9053
UID_27_11_1_all-24,28.3113
UID_27_12_1_all-2,23.2919
UID_27_12_2_all-16,46.8125
UID_27_12_3_all-7,28.8596
UID_27_13_1_all-16,30.5101
UID_27_13_2_all-10,32.213
UID_27_13_3_all-2,25.7808
UID_27_13_4_all-4,28.3651
UID_27_13_5_all-3,34.957
UID_27_14_1_all-13,31.388
UID_27_14_2_all-19,26.1098
UID_27_14_3_all-5,27.0226
UID_27_14_4_all-5,31.1903
UID_27_14_5_all-14,24.8509
UID_27_14_6_all-7,27.3699
UID_27_14_7_all-21,58.4113
UID_27_14_8_all-2,33.6822
UID_27_15_1_all-27,33.9763
UID_27_15_2_all-18,49.5613
UID_27_15_3_all-18,44.9373
UID_27_16_1_all-16,33.9693
UID_27_16_2_all-16,34.5249
UID_27_16_3_all-22,28.4224
UID_27_16_4_all-29,21.9885
UID_27_16_5_all-7,28.5176
UID_27_16_6_all-15,44.3722
UID_27_16_7_all-19,29.6827
UID_27_16_8_all-27,34.4071
UID_27_17_1_all-14,29.0588
UID_27_17_2_all-16,22.8875
UID_27_17_3_all-28,32.7315
UID_27_18_1_all-4,34.4114
UID_27_18_2_all-7,27.4107
UID_27_18_3_all-31,42.7283
UID_27_19_1_all-2,28.7391
UID_27_19_2_all-3,31.549
UID_27_19_3_all-4,31.8156
UID_27_19_4_all-26,32.8455
UID_27_2_1_all-2,27.6746
UID_27_2_2_all-9,27.0537
UID_27_2_3_all-5,29.5109
