Contour,Path Length
UID_13_1_1_all-26,759.533
UID_13_10_2_all-5,666.644
UID_13_11_1_all-8,720.226
UID_13_12_1_all-7,738.715
UID_13_12_2_all-6,712.101
UID_13_12_3_all-10,723.766
UID_13_13_1_all,232.554
UID_13_13_2_all-9,928.181
UID_13_13_3_all-21,1072.27
UID_13_14_1_all-11,749.396
UID_13_14_2_all-11,758.299
UID_13_14_3_all-21,710.932
UID_13_14_4_all-17,1239.07
UID_13_15_1_all-9,749.12
UID_13_17_1_all-8,798.331
UID_13_17_2_all-5,747.054
UID_13_18_1_all,999.377
UID_13_19_1_all-14,694.646
UID_13_20_1_all-5,757.228
UID_13_20_2_all-9,713.353
UID_13_21_1_all-14,800.969
UID_13_21_2_all-6,721.289
UID_13_21_3_all-12,774.855
UID_13_22_1_all-11,641.391
UID_13_23_1_all-3,748.667
UID_13_23_2_all-4,671.918
UID_13_23_3_all-3,683.349
UID_13_23_4_all-3,690.724
UID_13_25_1_all-13,998.818
UID_13_25_2_all-6,661.41
UID_13_25_3_all-3,709.436
UID_13_25_4_all-8,662.545
UID_13_26_1_all-22,770.68
UID_13_26_2_all-6,699.786
UID_13_26_3_all-21,748.765
UID_13_27_1_all-24,741.831
UID_13_27_2_all-4,742.077
UID_13_28_1_all-19,661.695
UID_13_28_2_all-28,637.171
UID_13_28_3_all-14,742.838
UID_13_29_1_all-16,736.019
UID_13_29_2_all-20,697.792
UID_13_29_3_all-21,695.782
UID_13_29_4_all,1651.06
UID_13_3_1_all-2,756.794
UID_13_30_1_all-17,707.112
UID_13_30_2_all-13,702.772
UID_13_30_3_all-21,702.051
UID_13_30_4_all-6,747.423
UID_13_31_1_all-15,704.751
UID_13_31_2_all-12,702.139
UID_13_31_3_all-12,700.707
UID_13_31_4_all-17,724.39
UID_13_32_1_all-11,709.825
UID_13_32_2_all-20,698.972
UID_13_32_3_all-29,795.599
UID_13_33_1_all-9,718.99
UID_13_33_2_all-8,762.76
UID_13_33_3_all-11,1163.96
UID_13_33_4_all-5,766.017
UID_13_34_1_all-21,681.501
UID_13_34_2_all-9,676.599
UID_13_34_3_all-13,737.997
UID_13_35_1_all-7,722.144
UID_13_35_2_all-5,609.825
UID_13_35_3_all-9,657.37
UID_13_36_1_all-4,706.993
UID_13_36_2_all-9,714.373
UID_13_37_1_all-3,775.171
UID_13_37_2_all-10,782.096
UID_13_38_1_all-15,795.522
UID_13_38_2_all-3,720.975
UID_13_38_3_all-14,862.323
UID_13_39_1_all-13,620.965
UID_13_39_2_all-19,702.309
UID_13_39_3_all-11,690.379
UID_13_4_1_all-6,1379.81
UID_13_4_3_all-25,837.349
UID_13_6_1_all-17,667.833
UID_13_7_1_all-2,1177.79
UID_13_7_2_all,1157.63
UID_13_8_1_all-18,1513.92
UID_13_8_2_all-5,731.305
UID_13_8_3_all-3,1296.95
