Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized)
UID_13_10_1_all-8,-3.00344,1.49232,-0.523094,-2.11659,-0.470145,0.690708,1.17275,-1.31877,1.05889
UID_13_10_2_all-5,0.4794,-0.514943,0.0560188,-0.50244,-0.390024,0.0261476,0.0504579,0.0720369,-0.112076
UID_13_11_1_all-8,0.523883,-0.0018938,-0.0584553,-0.197561,-0.297138,0.101288,0.17333,0.323926,-0.293912
UID_13_12_1_all-7,0.597523,0.394896,-0.26775,-0.0973518,0.610622,0.0221231,-0.270572,0.211116,-0.230756
UID_13_12_2_all-6,0.516655,0.002969,-0.202389,-0.456767,-0.239018,0.498746,-0.0849511,0.489508,0.184298
UID_13_12_3_all-10,0.549473,0.0640781,-0.231819,-0.625916,-0.263226,-0.225988,0.342178,-0.194237,-0.439889
UID_13_13_1_all,-1.28999,-4.23899,0.616449,1.06784,-0.0150659,-0.558781,0.241681,-0.430778,0.271077
UID_13_13_2_all-9,0.601225,1.86452,-0.0419713,1.07335,-0.0374542,0.392697,-0.687997,0.916981,-0.0389763
UID_13_13_3_all-21,0.205107,2.51962,0.0559951,2.49502,-0.896723,0.203788,-1.25145,-1.10109,-1.22785
UID_13_14_1_all-11,0.673234,0.302358,-0.21723,-0.47988,0.181566,-0.105674,-0.00442825,0.568962,-0.231228
UID_13_14_2_all-11,0.707731,0.37761,-0.251437,-1.05003,-0.435298,0.762607,-0.269436,-0.0741254,-0.197104
UID_13_14_3_all-21,0.583873,0.0293204,-0.00349126,-0.36111,0.250081,0.346328,-0.173098,-0.0138545,0.414895
UID_13_14_4_all-17,0.166171,2.83623,0.869059,5.50143,1.9192,-0.832838,3.14721,-2.1347,4.00554
UID_13_15_1_all-9,0.787879,0.306314,-0.0770805,-0.600602,-0.000491307,0.206043,-0.120712,0.0842833,0.103849
UID_13_17_1_all-8,0.88172,0.823654,-0.32756,-0.393795,0.251721,0.149855,-0.00464191,0.357438,0.193117
UID_13_17_2_all-5,0.773527,0.224939,-0.0656488,-0.907791,-0.312601,0.249521,0.10131,-0.123724,0.130482
UID_13_18_1_all,-2.67148,1.48893,0.568274,-1.40919,2.06826,-0.747597,0.405529,-0.481141,0.778717
UID_13_19_1_all-14,0.495568,-0.182218,-0.0743586,-0.468413,-0.24323,-0.132556,0.137212,-0.0101912,-0.339655
UID_13_1_1_all-26,0.786051,0.362868,-0.0408963,-0.494638,0.0376398,0.345166,-0.386367,-0.0419779,-0.011278
UID_13_20_1_all-5,0.804301,0.215345,-0.163812,-0.84126,-0.368597,0.329812,0.10567,0.0269721,0.0151313
UID_13_20_2_all-9,0.60315,-0.0660971,-0.0264147,-0.636897,-0.223559,-0.129481,0.168094,-0.233339,-0.347663
UID_13_21_1_all-14,0.874696,0.676686,-0.0974393,-0.627648,-0.048753,0.334857,0.282452,0.456876,0.423115
UID_13_21_2_all-6,0.670062,-0.0286299,-0.00289615,-0.609608,-0.122239,0.324774,-0.149465,-0.198989,0.190691
UID_13_21_3_all-12,0.791003,0.526546,-0.253429,-0.761539,0.056652,0.127618,0.430287,0.149365,0.30676
UID_13_22_1_all-11,0.299314,-0.674128,0.0847437,-0.52014,-0.401692,0.463037,-0.542622,-0.0525495,0.0645419
UID_13_23_1_all-3,0.0554359,-0.13999,0.864512,0.212072,-1.31858,-0.589146,0.14169,-1.89443,-0.834499
UID_13_23_2_all-4,0.510284,-0.517267,0.123914,-0.692819,-0.32208,0.338493,-0.0437054,-0.226513,0.206162
UID_13_23_3_all-3,0.470233,-0.333778,-0.0258306,-0.544502,-0.275198,0.258062,-0.104059,-0.450263,-0.177918
UID_13_23_4_all-3,0.494683,-0.257233,-0.132525,-0.476393,0.0682841,0.30568,-0.245128,0.131506,0.0255536
UID_13_25_1_all-13,-0.0418272,1.56775,1.90859,1.19015,-3.58983,-2.16898,-1.54454,-2.36579,-1.26882
UID_13_25_2_all-6,0.443178,-0.554743,0.0827969,-0.610821,-0.353441,0.221683,-0.169975,0.0700398,0.190935
UID_13_25_3_all-3,0.648618,-0.0864294,0.00587383,-0.60448,-0.202707,0.283028,-0.0448657,0.185627,0.243093
UID_13_25_4_all-8,0.346307,-0.36889,-0.0742111,0.000536219,0.5051,0.01645,-0.0859861,0.163597,0.0974865
