Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9
UID_13_10_1_all-8,-852.824,185.062,-45.0024,-134.589,-27.328,30.2388,48.5136,-51.061,30.7723
UID_13_10_2_all-5,136.125,-63.858,4.81937,-31.949,-22.6709,1.14472,2.08732,2.78918,-3.25702
UID_13_11_1_all-8,148.756,-0.23485,-5.02898,-12.5624,-17.2717,4.43431,7.17025,12.542,-8.54132
UID_13_12_1_all-7,169.666,48.9709,-23.0349,-6.19037,35.4935,0.968534,-11.1929,8.17416,-6.70597
UID_13_12_2_all-6,146.704,0.368185,-17.4117,-29.0447,-13.8934,21.8348,-3.51422,18.9531,5.35587
UID_13_12_3_all-10,156.022,7.94631,-19.9437,-39.8005,-15.3005,-9.89361,14.1551,-7.5206,-12.7836
UID_13_13_1_all,-366.291,-525.676,53.0338,67.9012,-0.875734,-24.4631,9.99776,-16.6792,7.87773
UID_13_13_2_all-9,170.717,231.218,-3.61084,68.2517,-2.17709,17.192,-28.4607,35.5043,-1.13269
UID_13_13_3_all-21,58.2399,312.457,4.81732,158.652,-52.1236,8.92171,-51.7695,-42.6328,-35.6823
UID_13_14_1_all-11,191.164,37.4954,-18.6886,-30.5144,10.5538,-4.62632,-0.183186,22.0295,-6.71968
UID_13_14_2_all-11,200.96,46.8273,-21.6314,-66.7692,-25.3024,33.3864,-11.1459,-2.87004,-5.72801
UID_13_14_3_all-21,165.79,3.63601,-0.300357,-22.9621,14.5364,15.162,-7.16063,-0.53643,12.0572
UID_13_14_4_all-17,47.184,351.721,74.7661,349.823,111.557,-36.4611,130.192,-82.6527,116.404
UID_13_15_1_all-9,223.717,37.9859,-6.63133,-38.1909,-0.0285581,9.02045,-4.99355,3.26334,3.01794
UID_13_17_1_all-8,250.364,102.141,-28.1804,-25.0405,14.6317,6.56056,-0.192024,13.8395,5.61213
UID_13_17_2_all-5,219.642,27.8946,-5.64784,-57.7243,-18.1705,10.9239,4.19093,-4.79043,3.79193
UID_13_18_1_all,-758.565,184.642,48.8893,-89.6068,120.221,-32.7293,16.7757,-18.6292,22.6302
UID_13_19_1_all-14,140.716,-22.5968,-6.39716,-29.7853,-14.1382,-5.80323,5.67611,-0.394591,-9.87068
UID_13_1_1_all-26,223.198,44.9991,-3.51836,-31.4528,2.18788,15.1111,-15.9831,-1.62533,-0.327749
UID_13_20_1_all-5,228.381,26.7049,-14.0929,-53.4937,-21.4254,14.439,4.3713,1.04432,0.439728
UID_13_20_2_all-9,171.264,-8.19669,-2.27249,-40.4987,-12.9947,-5.66859,6.95361,-9.0346,-10.1034
UID_13_21_1_all-14,248.369,83.9156,-8.38281,-39.9107,-2.83386,14.6598,11.6843,17.6897,12.2961
UID_13_21_2_all-6,190.263,-3.55039,-0.249159,-38.7635,-7.10539,14.2184,-6.183,-7.7046,5.54165
UID_13_21_3_all-12,224.605,65.2968,-21.8028,-48.4245,3.293,5.58705,17.7999,5.78323,8.91472
UID_13_22_1_all-11,84.9901,-83.5984,7.2906,-33.0745,-23.3491,20.2715,-22.4469,-2.03465,1.87564
UID_13_23_1_all-3,15.741,-17.3601,74.3749,13.4851,-76.6451,-25.7924,5.86137,-73.3498,-24.2513
UID_13_23_2_all-4,144.895,-64.1461,10.6604,-44.0547,-18.7215,14.819,-1.80799,-8.77028,5.99124
UID_13_23_3_all-3,133.522,-41.3917,-2.22223,-34.6236,-15.9964,11.2978,-4.30465,-17.4336,-5.17044
UID_13_23_4_all-3,140.465,-31.8994,-11.4013,-30.2927,3.96914,13.3825,-10.1403,5.09175,0.74261
UID_13_25_1_all-13,-11.8768,194.416,164.198,75.6786,-208.665,-94.9565,-63.8937,-91.6003,-36.8729
UID_13_25_2_all-6,125.84,-68.7935,7.12311,-38.8407,-20.5444,9.70516,-7.03145,2.71185,5.54873
UID_13_25_3_all-3,184.175,-10.7181,0.505333,-38.4375,-11.7827,12.3908,-1.85598,7.18724,7.06449
UID_13_25_4_all-8,98.3334,-45.7459,-6.38447,0.0340969,29.3598,0.72017,-3.55703,6.33428,2.83304
UID_13_26_1_all-22,158.996,72.8013,-49.5175,-40.5707,-10.0907,-9.1956,13.0464,-1.35161,-19.9507
UID_13_26_2_all-6,170.828,-19.5211,-0.844016,-36.6176,-10.175,12.8142,-2.36336,5.25507,5.45069
UID_13_26_3_all-21,226.704,22.32,-1.08838,-56.1465,-14.9586,11.1074,-13.4277,-12.9676,-5.70383
UID_13_27_1_all-24,211.938,16.5848,-6.72163,-50.4389,-6.14451,10.0558,2.9375,1.83885,4.25268
UID_13_27_2_all-4,123.906,50.0158,-43.4734,-36.9776,-6.62743,-11.1724,11.2755,-6.04638,-24.4285
UID_13_28_1_all-19,124.742,-70.0328,6.94833,-39.5684,-15.7523,14.3986,-4.2435,-12.8231,2.70105
UID_13_28_2_all-28,96.998,-86.7825,0.559295,-24.2451,-3.83231,4.09858,10.1204,-5.27193,2.8427
UID_13_28_3_all-14,215.347,16.3893,-6.86198,-51.3222,-7.56787,12.3478,1.06415,-0.0560265,3.32705
UID_13_29_1_all-16,162.466,31.3785,-25.4641,-19.9353,12.6725,10.1131,17.293,5.31622,2.90455
UID_13_29_2_all-20,148.518,-17.0744,-15.0984,-36.3408,-8.8575,9.95157,8.26851,3.65343,1.78027
UID_13_29_3_all-21,149.292,-29.9048,12.8488,-31.1205,-15.2349,-2.40802,3.3792,-12.0324,3.1223
UID_13_29_4_all,-811.176,132.504,44.4034,-116.37,84.643,30.7727,26.0672,-15.2667,-39.0602
UID_13_30_1_all-17,150.502,-32.3255,6.35061,-24.8582,-9.49842,5.08801,17.6943,-14.457,5.02173
UID_13_30_2_all-13,82.4268,-9.32115,-27.0404,-14.7738,1.14697,-34.7054,30.7698,-1.81422,-9.50728
UID_13_30_3_all-21,132.631,-14.097,-32.6748,-5.18525,3.3451,6.62375,23.0723,10.9882,-3.49685
UID_13_30_4_all-6,148.122,10.6705,-10.7207,-17.2258,0.138227,-19.9091,42.7397,41.3052,33.3118
UID_13_31_1_all-15,151.152,-33.1889,4.72568,-27.9629,-7.62734,1.66196,17.7796,-14.3686,4.04583
UID_13_31_2_all-12,79.8687,-8.90469,-26.4576,-15.037,2.6969,-35.8633,34.4381,-1.56446,-8.37731
UID_13_31_3_all-12,134.549,-15.2577,-29.6277,-4.31157,-0.0637471,-0.867673,14.5388,14.0168,-3.89223
