Contour,Aspect Ratio,allModel (normalized mode 1),allModel (normalized mode 2)
UID_11_10_1_all-10,1.08247,-0.471542,0.515683
UID_11_11_1_all-10,1.20238,0.14721,2.81896
UID_11_11_2_all-14,1.24215,2.52835,-1.32301
UID_11_11_3_all-11,1.57021,-0.50452,2.22408
UID_11_12_1_all-7,1.12979,-0.29569,-0.391268
UID_11_12_2_all-8,1.36617,0.535804,1.24801
UID_11_12_3_all-11,1.23577,-0.292386,0.617489
UID_11_14_1_all-7,1.04886,-0.363427,-0.631158
UID_11_15_1_all-15,1.47071,2.09685,2.13473
UID_11_15_2_all-12,1.03711,-0.614232,-0.226836
UID_11_15_3_all-13,1.34154,-0.572147,1.40629
UID_11_15_4_all-8,1.06281,-0.0949212,-0.830929
UID_11_15_5_all-9,1.59913,0.121332,0.793956
UID_11_16_1_all-12,1.19611,1.54331,-1.37813
UID_11_16_2_all-22,1.12006,-0.486806,-0.14499
UID_11_16_3_all,0.87006,1.86964,-4.7178
UID_11_17_1_all-7,1.52683,-0.100248,2.38358
UID_11_17_2_all-14,1.12889,-0.766054,0.476883
UID_11_18_1_all-6,1.28002,2.10258,-5.47058
UID_11_19_1_all-11,1.16107,-0.181186,0.599616
UID_11_1_1_all-15,1.02381,-0.199242,-0.919197
UID_11_1_2_all-3,1.23645,2.22719,0.597809
UID_11_21_1_all-11,1.24102,-0.0613154,2.00411
UID_11_21_2_all-15,1.20183,2.04038,-5.30937
UID_11_21_3_all-18,1.3436,-0.587874,0.61173
UID_11_22_1_all-15,1.36948,-0.61756,0.66785
UID_11_22_2_all-22,1.23721,-0.26674,-0.398157
UID_11_23_1_all-15,1.12199,-0.366144,-0.339257
UID_11_23_2_all-10,1.48202,-0.00122246,1.48744
UID_11_24_1_all-13,1.1008,-0.60098,0.428787
UID_11_24_2_all-5,1.17552,-0.143323,-0.841611
UID_11_25_1_all-13,1.91916,1.91521,-4.71608
UID_11_25_2_all-9,1.11049,-0.340038,0.532157
UID_11_27_1_all-14,1.58583,-0.572322,2.41488
UID_11_27_2_all-9,1.58466,0.233857,2.3061
UID_11_28_1_all-6,1.08702,-0.421553,-0.30253
UID_11_28_2_all-4,1.45505,-0.363698,2.11342
UID_11_28_3_all,1.18389,-0.618915,0.482208
UID_11_28_4_all-2,1.42419,-0.638661,1.63168
UID_11_29_1_all-10,1.24798,-0.529801,0.488654
UID_11_29_2_all-2,1.02887,0.212624,-0.0819935
UID_11_29_3_all-3,1.38628,0.328882,-1.22242
UID_11_29_4_all-5,1.19216,0.892347,0.879126
UID_11_29_5_all-4,1.28771,-0.326999,0.695285
UID_11_2_1_all-17,1.15571,-0.112042,-0.915165
UID_11_2_2_all-9,0.913781,0.314992,1.21205
UID_11_2_3_all-17,1.13045,-0.151146,-0.157265
UID_11_2_4_all-5,1.14686,-0.412603,-0.308849
UID_11_30_1_all-6,1.07557,2.21154,0.993302
UID_11_30_2_all-8,0.931537,0.883213,0.456598
UID_11_31_1_all-7,1.35908,-0.0838841,1.56101
UID_11_31_2_all-14,1.06358,-0.486393,0.074589
UID_11_31_3_all-11,1.09875,-0.635725,-0.0410545
UID_11_31_4_all-7,1.09514,2.47211,1.33263
UID_11_32_1_all-6,1.36497,-0.0194474,2.72846
UID_11_32_2_all-2,1.0984,-0.844076,0.411414
UID_11_32_3_all-18,1.51622,2.65217,2.05518
UID_11_32_4_all-5,1.07652,-0.0732681,-0.933526
UID_11_32_5_all-4,0.995968,-0.264688,-0.308752
UID_11_32_6_all-12,1.56996,1.80163,-4.66384
UID_11_32_7_all-10,1.55249,-0.169948,0.258026
UID_11_33_1_all-11,1.32011,-0.890083,1.05801
UID_11_33_2_all-4,1.55683,-0.0335018,2.37536
UID_11_33_3_all-3,1.12502,-0.4479,1.6183
UID_11_33_4_all-4,1.37285,-0.16146,1.29003
UID_11_33_5_all-6,1.33006,-0.0467669,2.8726
UID_11_33_6_all-7,1.15526,-0.689433,0.480313
UID_11_34_1_all-10,1.0262,2.36908,-3.5988
UID_11_36_1_all-16,1.04091,-0.870118,0.398001
UID_11_36_2_all-5,1.11848,-0.946219,1.20258
UID_11_36_3_all-9,1.2796,-0.824246,1.43154
UID_11_36_4_all-6,1.08342,-0.244552,0.231812
UID_11_37_1_all-7,1.13855,-0.743095,1.51621
UID_11_37_2_all-5,1.03717,-0.154031,2.12213
UID_11_37_3_all-14,1.17816,-0.737966,0.590263
UID_11_37_4_all-3,1.37185,-0.684259,0.872105
UID_11_37_5_all-9,1.1308,2.92707,0.51441
UID_11_3_1_all-19,1.14303,-0.523122,-0.00195699
UID_11_4_1_all-12,1.18901,-0.161209,-0.727736
UID_11_5_1_all-11,1.22175,-0.567526,0.582198
UID_11_5_2_all-11,1.17262,-0.330401,0.102738
UID_11_5_3_all-8,1.16191,-0.410384,-0.350617
UID_11_5_4_all-12,1.18929,-0.121146,-0.80401
UID_11_6_1_all-14,1.0789,-0.306522,-0.437304
UID_11_6_2_all-8,1.20014,-0.428838,0.436148
UID_11_6_3_all-2,1.46654,-0.35514,1.39934
UID_11_6_4_all-7,1.2997,-0.439875,0.47889
UID_11_6_5_all-9,1.21353,-0.520602,0.44686
UID_11_6_6_all-12,1.1875,-0.3043,0.059821
UID_11_7_1_all-11,1.07475,-0.867847,0.354179
UID_11_7_2_all-9,1.05207,-0.402924,-0.513308
UID_11_7_3_all-10,1.54995,-0.385286,2.44004
UID_14_11_1_all-27,1.06393,1.73539,0.783033
UID_14_11_2_all-18,1.01308,2.36329,0.331648
UID_14_12_1_all-28,1.07037,-0.919599,0.486563
UID_14_12_2_all-7,1.40916,-0.175153,-0.334433
UID_14_12_3_all-10,1.37073,2.94145,0.359194
UID_14_12_4_all-14,1.41653,-0.573311,0.620735
UID_14_13_1_all-13,1.15127,-0.602779,0.087619
UID_14_13_2_all-26,1.15333,-0.886424,0.933385
UID_14_13_3_all-16,1.1712,-0.726309,0.441955
UID_14_14_1_all-20,1.04574,-0.719415,0.0405616
UID_14_14_2_all-25,1.09292,-0.342367,-0.573504
UID_14_14_3_all-22,1.15426,2.39038,-1.18975
UID_14_14_4_all-18,0.964821,2.44504,-0.474781
UID_14_15_1_all-22,1.1068,-0.449592,-0.124906
UID_14_15_2_all-19,1.05173,-0.896548,0.44663
UID_14_15_3_all-26,1.07536,-0.537469,0.0741905
UID_14_16_1_all-32,1.18482,-0.742002,0.914159
UID_14_16_2_all-37,1.07361,-0.942113,1.15901
UID_14_16_3_all-18,1.07541,-0.513536,0.155639
