Contour,Area,allModel (normalized mode 1),allModel (normalized mode 2)
UID_1_1_1_all-18,38488.8,-0.505696,0.536779
UID_1_10_1_all-12,36408.4,-0.299184,0.345949
UID_1_10_2_all-19,34142,-0.388448,-0.0443722
UID_1_10_3_all-2,29565.7,-0.244657,-0.635534
UID_1_10_4_all-2,26723.7,-0.132949,-0.95623
UID_1_11_1_all-8,38292.2,-0.502422,0.400797
UID_1_2_1_all-20,24078.7,2.33483,2.30478
UID_1_2_2_all-14,37502.8,-0.600995,-0.00500797
UID_1_3_1_all-3,47561.3,-0.838127,1.22294
UID_1_4_1_all-7,34321.5,-0.455232,-0.288926
UID_1_4_2_all-12,37939.7,-0.566158,0.15752
UID_1_5_1_all-2,38827.4,-0.571187,0.147957
UID_1_6_1_all-6,41421.5,-0.633483,0.635629
UID_1_7_1_all-2,40643.4,-0.706177,0.313843
UID_1_7_2_all-6,35010.2,-0.524156,-0.326958
UID_1_8_1_all-10,39270.7,-0.561441,0.388712
UID_1_8_2_all-3,36090.9,-0.55235,-0.153492
UID_1_9_1_all-3,27536.1,-0.187774,-0.987566
UID_1_9_2_all-19,7208.34,2.91902,1.84104
UID_11_1_1_all-15,27937.1,-0.199242,-0.919197
UID_11_1_2_all-3,38003.7,2.22719,0.597809
UID_11_10_1_all-10,39646.1,-0.471542,0.515683
UID_11_11_1_all-10,45138.8,0.14721,2.81896
UID_11_11_2_all-14,4239.29,2.52835,-1.32301
UID_11_11_3_all-11,47095.3,-0.50452,2.22408
UID_11_12_1_all-7,31415.1,-0.29569,-0.391268
UID_11_12_2_all-8,38462.3,0.535804,1.24801
UID_11_12_3_all-11,33770.9,-0.292386,0.617489
UID_11_14_1_all-7,31421.1,-0.363427,-0.631158
UID_11_15_1_all-15,27840.1,2.09685,2.13473
UID_11_15_2_all-12,37006,-0.614232,-0.226836
UID_11_15_3_all-13,42127.6,-0.572147,1.40629
UID_11_15_4_all-8,27168.9,-0.0949212,-0.830929
UID_11_15_5_all-9,35675.6,0.121332,0.793956
UID_11_16_1_all-12,18332.5,1.54331,-1.37813
UID_11_16_2_all-22,35551.4,-0.486806,-0.14499
UID_11_16_3_all,1635.96,1.86964,-4.7178
UID_11_17_1_all-7,45549.6,-0.100248,2.38358
UID_11_17_2_all-14,42499.7,-0.766054,0.476883
UID_11_18_1_all-6,426.038,2.10258,-5.47058
UID_11_19_1_all-11,36086.8,-0.181186,0.599616
UID_11_2_1_all-17,26668.9,-0.112042,-0.915165
UID_11_2_2_all-9,41655.6,0.314992,1.21205
UID_11_2_3_all-17,31140.6,-0.151146,-0.157265
UID_11_2_4_all-5,33352.5,-0.412603,-0.308849
UID_11_21_1_all-11,43952.4,-0.0613154,2.00411
UID_11_21_2_all-15,633.501,2.04038,-5.30937
UID_11_21_3_all-18,39898.5,-0.587874,0.61173
UID_11_22_1_all-15,40469.9,-0.61756,0.66785
UID_11_22_2_all-22,30926.9,-0.26674,-0.398157
UID_11_23_1_all-15,32718,-0.366144,-0.339257
UID_11_23_2_all-10,35652.4,-0.00122246,1.48744
UID_11_24_1_all-13,40279.1,-0.60098,0.428787
UID_11_24_2_all-5,27327.5,-0.143323,-0.841611
UID_11_25_1_all-13,1351.17,1.91521,-4.71608
UID_11_25_2_all-9,36854.8,-0.340038,0.532157
UID_11_27_1_all-14,49047.6,-0.572322,2.41488
UID_11_27_2_all-9,34480.9,0.233857,2.3061
UID_11_28_1_all-6,33757.9,-0.421553,-0.30253
UID_11_28_2_all-4,45406.7,-0.363698,2.11342
UID_11_28_3_all,40549.3,-0.618915,0.482208
UID_11_28_4_all-2,45495,-0.638661,1.63168
UID_11_29_1_all-10,38576.1,-0.529801,0.488654
UID_11_29_2_all-2,33063.3,0.212624,-0.0819935
UID_11_29_3_all-3,20168.1,0.328882,-1.22242
UID_11_29_4_all-5,32888,0.892347,0.879126
UID_11_29_5_all-4,37758.9,-0.326999,0.695285
UID_11_3_1_all-19,36777.9,-0.523122,-0.00195699
UID_11_30_1_all-6,30361.9,2.21154,0.993302
UID_11_30_2_all-8,32893.2,0.883213,0.456598
UID_11_31_1_all-7,41890.1,-0.0838841,1.56101
UID_11_31_2_all-14,36670.7,-0.486393,0.074589
UID_11_31_3_all-11,37981.5,-0.635725,-0.0410545
UID_11_31_4_all-7,18260.4,2.47211,1.33263
UID_11_32_1_all-6,48736.2,-0.0194474,2.72846
UID_11_32_2_all-2,43424.6,-0.844076,0.411414
UID_11_32_3_all-18,19220.3,2.65217,2.05518
UID_11_32_4_all-5,26337.7,-0.0732681,-0.933526
UID_11_32_5_all-4,32511.4,-0.264688,-0.308752
UID_11_32_6_all-12,1730.44,1.80163,-4.66384
UID_11_32_7_all-10,31919.8,-0.169948,0.258026
UID_11_33_1_all-11,47175.6,-0.890083,1.05801
UID_11_33_2_all-4,43440.6,-0.0335018,2.37536
UID_11_33_3_all-3,45240.8,-0.4479,1.6183
UID_11_33_4_all-4,36926.9,-0.16146,1.29003
UID_11_33_5_all-6,49333,-0.0467669,2.8726
UID_11_33_6_all-7,42020.7,-0.689433,0.480313
UID_11_36_1_all-16,43981.1,-0.870118,0.398001
UID_11_36_2_all-5,49566.1,-0.946219,1.20258
UID_11_36_3_all-9,49226.9,-0.824246,1.43154
UID_11_36_4_all-6,35272.7,-0.244552,0.231812
UID_11_37_1_all-7,48431.4,-0.743095,1.51621
UID_11_37_2_all-5,43702.2,-0.154031,2.12213
UID_11_37_3_all-14,42871.3,-0.737966,0.590263
UID_11_37_4_all-3,42795.6,-0.684259,0.872105
UID_11_37_5_all-9,6881.52,2.92707,0.51441
UID_11_4_1_all-12,28088.9,-0.161209,-0.727736
UID_11_5_1_all-11,39945.2,-0.567526,0.582198
UID_11_5_2_all-11,34070.6,-0.330401,0.102738
UID_11_5_3_all-8,33030,-0.410384,-0.350617
UID_11_5_4_all-12,27241.9,-0.121146,-0.80401
UID_11_6_1_all-14,31557.5,-0.306522,-0.437304
UID_11_6_2_all-8,36941.1,-0.428838,0.436148
UID_11_6_3_all-2,40974.8,-0.35514,1.39934
UID_11_6_4_all-7,37458.1,-0.439875,0.47889
UID_11_6_5_all-9,38481.1,-0.520602,0.44686
UID_11_6_6_all-12,33527.3,-0.3043,0.059821
UID_11_7_1_all-11,43700.9,-0.867847,0.354179
UID_11_7_2_all-9,32589.8,-0.402924,-0.513308
UID_11_7_3_all-10,48445.4,-0.385286,2.44004
UID_14_1_1_all-2,26427.8,-0.118109,-0.985493
UID_14_1_2_all-10,33752.9,-0.441349,-0.405905
UID_14_1_3_all-7,32070.7,-0.0963476,-0.0174174
UID_14_1_4_all-17,31882,-0.0753751,0.175512
UID_14_1_5_all-31,31636.9,-0.335314,-0.473102
UID_14_11_1_all-27,40187.7,1.73539,0.783033
UID_14_11_2_all-18,10795.9,2.36329,0.331648
UID_14_12_1_all-28,45126.5,-0.919599,0.486563
UID_14_12_2_all-7,29551.1,-0.175153,-0.334433
UID_14_12_3_all-10,22086,2.94145,0.359194
UID_14_12_4_all-14,39450.3,-0.573311,0.620735
UID_14_13_1_all-13,38130.7,-0.602779,0.087619
UID_14_13_2_all-26,46501.4,-0.886424,0.933385
UID_14_13_3_all-16,41920,-0.726309,0.441955
UID_14_14_1_all-20,39678.7,-0.719415,0.0405616
UID_14_14_2_all-25,31362.6,-0.342367,-0.573504
UID_14_14_3_all-22,18262.1,2.39038,-1.18975
UID_14_14_4_all-18,12001.4,2.44504,-0.474781
UID_14_15_1_all-22,34829.6,-0.449592,-0.124906
UID_14_15_2_all-19,44912.4,-0.896548,0.44663
UID_14_15_3_all-26,37615.1,-0.537469,0.0741905
UID_14_16_1_all-32,44999.2,-0.742002,0.914159
UID_14_16_2_all-37,49829.9,-0.942113,1.15901
UID_14_16_3_all-18,38609.4,-0.513536,0.155639
UID_14_16_4_all-18,36123.4,-0.538391,-0.11238
