Contour,Normalized Curvature
UID_1_1_1_all-18,52.9442
UID_1_10_1_all-12,47.7259
UID_1_10_2_all-19,32.8093
UID_1_10_3_all-2,22.6307
UID_1_10_4_all-2,24.8833
UID_1_11_1_all-8,47.5521
UID_1_2_1_all-20,234
UID_1_2_2_all-14,27.6551
UID_1_3_1_all-3,33.3148
UID_1_4_1_all-7,29.4656
UID_1_4_2_all-12,27.5866
UID_1_5_1_all-2,56.507
UID_1_6_1_all-6,31.5726
UID_1_7_1_all-2,40.1321
UID_1_7_2_all-6,29.3573
UID_1_8_1_all-10,38.0259
UID_1_8_2_all-3,30.9611
UID_1_9_1_all-3,21.2082
UID_1_9_2_all-19,253.067
UID_11_1_1_all-15,47.8207
UID_11_1_2_all-3,175.903
UID_11_10_1_all-10,47.1044
UID_11_11_1_all-10,97.5825
UID_11_11_2_all-14,194.772
UID_11_11_3_all-11,88.6098
UID_11_12_1_all-7,35.0122
UID_11_12_2_all-8,331.645
UID_11_12_3_all-11,61.6422
UID_11_14_1_all-7,34.5123
UID_11_15_1_all-15,161.124
UID_11_15_2_all-12,28.2627
UID_11_15_3_all-13,118.935
UID_11_15_4_all-8,41.3745
UID_11_15_5_all-9,92.9344
UID_11_16_1_all-12,106.742
UID_11_16_2_all-22,42.3403
UID_11_16_3_all,47.1837
UID_11_17_1_all-7,96.8998
UID_11_17_2_all-14,42.721
UID_11_18_1_all-6,17.9365
UID_11_19_1_all-11,69.8063
UID_11_2_1_all-17,20.3297
UID_11_2_2_all-9,93.3371
UID_11_2_3_all-17,67.8063
UID_11_2_4_all-5,37.541
UID_11_21_1_all-11,68.3611
UID_11_21_2_all-15,25.7015
UID_11_21_3_all-18,24.8654
UID_11_22_1_all-15,23.0772
UID_11_22_2_all-22,22.2551
UID_11_23_1_all-15,33.6914
UID_11_23_2_all-10,58.4254
UID_11_24_1_all-13,118.357
UID_11_24_2_all-5,42.6578
UID_11_25_1_all-13,39.409
UID_11_25_2_all-9,44.9008
UID_11_27_1_all-14,102.955
UID_11_27_2_all-9,72.1821
UID_11_28_1_all-6,31.2557
UID_11_28_2_all-4,46.3572
UID_11_28_3_all,46.2167
UID_11_28_4_all-2,64.4306
UID_11_29_1_all-10,56.7216
UID_11_29_2_all-2,293.848
UID_11_29_3_all-3,53.5359
UID_11_29_4_all-5,151.932
UID_11_29_5_all-4,64.6345
UID_11_3_1_all-19,39.3551
UID_11_30_1_all-6,95.6913
UID_11_30_2_all-8,136.255
UID_11_31_1_all-7,52.104
UID_11_31_2_all-14,39.8766
UID_11_31_3_all-11,33.963
UID_11_31_4_all-7,243.996
UID_11_32_1_all-6,93.5392
UID_11_32_2_all-2,53.4581
UID_11_32_3_all-18,520.059
UID_11_32_4_all-5,29.0593
