Contour,Path Length,
UID_1_1_1_all-18,751.881,
UID_1_10_1_all-12,766.719,
UID_1_10_2_all-19,682.486,
UID_1_10_3_all-2,618.576,
UID_1_10_4_all-2,587.432,
UID_1_11_1_all-8,738.954,
UID_1_2_1_all-20,1949.33,
UID_1_2_2_all-14,693.721,
UID_1_3_1_all-3,803.366,
UID_1_4_1_all-7,668.631,
UID_1_4_2_all-12,714.926,
UID_1_5_1_all-2,750.408,
UID_1_6_1_all-6,746.384,
UID_1_7_1_all-2,736.439,
UID_1_7_2_all-6,678.577,
UID_1_8_1_all-10,729.246,
UID_1_8_2_all-3,686.032,
UID_1_9_1_all-3,593.268,
UID_1_9_2_all-19,1414,
UID_11_1_1_all-15,623.901,
UID_11_1_2_all-3,1543.35,
UID_11_10_1_all-10,802.914,
UID_11_11_1_all-10,1318.95,
UID_11_11_2_all-14,998.569,
UID_11_11_3_all-11,1186.18,
UID_11_12_1_all-7,658.643,
UID_11_12_2_all-8,1216.18,
UID_11_12_3_all-11,917.968,
UID_11_14_1_all-7,641.442,
UID_11_15_1_all-15,1520.61,
UID_11_15_2_all-12,702.593,
UID_11_15_3_all-13,959.98,
UID_11_15_4_all-8,635.555,
UID_11_15_5_all-9,1018.72,
UID_11_16_1_all-12,755.264,
UID_11_16_2_all-22,707.654,
UID_11_16_3_all,209.757,
UID_11_17_1_all-7,1115.62,
UID_11_17_2_all-14,760.431,
UID_11_18_1_all-6,76.348,
UID_11_19_1_all-11,811.514,
UID_11_2_1_all-17,589.227,
UID_11_2_2_all-9,1039.61,
UID_11_2_3_all-17,709.129,
UID_11_2_4_all-5,663.606,
UID_11_21_1_all-11,963.331,
UID_11_21_2_all-15,94.098,
UID_11_21_3_all-18,730.06,
UID_11_22_1_all-15,734.831,
UID_11_22_2_all-22,642.958,
UID_11_23_1_all-15,662.861,
UID_11_23_2_all-10,842.18,
UID_11_24_1_all-13,843.694,
UID_11_24_2_all-5,607.111,
UID_11_25_1_all-13,166.025,
UID_11_25_2_all-9,858.821,
UID_11_27_1_all-14,1126.03,
UID_11_27_2_all-9,962.595,
UID_11_28_1_all-6,672.278,
UID_11_28_2_all-4,937.118,
UID_11_28_3_all,764.592,
UID_11_28_4_all-2,919.56,
UID_11_29_1_all-10,765.434,
UID_11_29_2_all-2,775.155,
UID_11_29_3_all-3,582.708,
UID_11_29_4_all-5,1191.17,
UID_11_29_5_all-4,792.163,
UID_11_3_1_all-19,706.241,
UID_11_30_1_all-6,1329.9,
UID_11_30_2_all-8,934.571,
UID_11_31_1_all-7,976.031,
UID_11_31_2_all-14,729.158,
UID_11_31_3_all-11,702.785,
UID_11_31_4_all-7,1170.74,
UID_11_32_1_all-6,1264.69,
UID_11_32_2_all-2,798.644,
UID_11_32_3_all-18,1504.48,
UID_11_32_4_all-5,595.224,
UID_11_32_5_all-4,718.205,
