Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized),Mode 10 (normalized),Mode 11 (normalized)
UID_11_10_1_all-10,-0.471542,0.515683,-0.686628,0.398519,0.686633,0.744125,0.451394,0.442593,0.503703,-1.44201,-0.0257355
UID_11_11_1_all-10,0.14721,2.81896,-1.60714,0.955927,-0.466477,2.38742,0.0447498,1.01935,5.37763,0.825549,-3.54626
UID_11_11_2_all-14,2.52835,-1.32301,-1.29865,-1.0064,0.33313,-1.47478,-1.93161,-4.0482,1.64751,2.61166,3.29605
UID_11_11_3_all-11,-0.504519,2.22408,0.722758,-1.90439,-0.13583,-2.78258,-0.197356,-1.67678,-4.82374,-0.733634,-0.773193
UID_11_12_1_all-7,-0.29569,-0.391268,0.0535151,0.0881148,0.0201649,-0.0136424,0.417648,-0.0737035,-0.37835,-0.0912877,-0.00557816
UID_11_12_2_all-8,0.535804,1.24801,-2.54049,-1.03386,2.35751,-0.691726,-3.20725,-0.286896,-1.78552,1.41446,-2.06156
UID_11_12_3_all-11,-0.292386,0.617489,1.10437,-0.0540386,0.553596,-1.3189,-0.398166,-2.91213,2.99677,3.14455,-0.138776
UID_11_14_1_all-7,-0.363427,-0.631158,0.0382305,0.412826,0.171602,-0.0874022,0.274604,0.0568413,0.172806,-0.182946,0.244232
UID_11_15_1_all-15,2.09685,2.13473,-0.486052,0.255028,-4.56001,-2.94562,-1.89877,7.04166,0.662102,8.49936,-2.62163
UID_11_15_2_all-12,-0.614232,-0.226836,0.0423323,0.804143,0.407891,-0.487936,-0.0494503,-0.620478,-0.102002,0.503588,-0.350808
UID_11_15_3_all-13,-0.572147,1.40629,-0.243488,-1.02741,-1.48928,1.81644,-0.020661,-3.07518,-2.40901,-1.59201,-0.0707728
UID_11_15_4_all-8,-0.0949211,-0.830929,-0.206208,0.0667851,0.497844,-0.140754,-2.21667,-0.362873,-0.454142,0.447889,0.657678
UID_11_15_5_all-9,0.121332,0.793956,0.0270747,-0.899492,-0.299839,5.13739,-2.53297,2.092,-1.60779,1.14929,0.912137
UID_11_16_1_all-12,1.54331,-1.37813,-3.2194,-1.68555,1.70796,3.85006,-0.706634,1.96692,0.414211,1.72875,0.282761
UID_11_16_2_all-22,-0.486806,-0.14499,0.0494217,0.51973,0.211065,-0.0381382,-0.247314,-0.33431,0.0714879,1.24731,-0.143102
UID_11_16_3_all,1.86964,-4.7178,0.196221,-1.90713,0.10055,0.545631,-0.180159,0.816119,1.05169,-0.618298,1.02603
UID_11_17_1_all-7,-0.100248,2.38358,-1.47989,-2.61694,-0.2273,0.00199472,-1.01673,2.70276,1.6037,-0.566869,-2.00656
UID_11_17_2_all-14,-0.766054,0.476883,-0.000926225,0.49394,0.16401,0.117989,0.575101,0.509162,-0.188139,-0.499911,-0.028471
UID_11_18_1_all-6,2.10258,-5.47058,-0.133017,-2.35017,-0.434826,0.90333,-0.601707,-0.0593358,0.578634,-0.582109,0.334291
UID_11_19_1_all-11,-0.181186,0.599616,-0.89393,-0.014998,0.551747,0.775819,-1.59046,-0.40191,-0.19762,-0.0806086,-0.344531
UID_11_1_1_all-15,-0.199242,-0.919197,-0.342743,0.100129,0.18446,0.0171559,-0.358091,-0.524963,0.198431,-0.318054,-0.211487
UID_11_1_2_all-3,2.22718,0.597809,-5.90765,1.17549,2.2852,0.580072,-5.52483,-1.06864,-2.38989,3.27054,-5.09971
UID_11_21_1_all-11,-0.0613154,2.00411,-1.16101,-1.77706,1.57074,0.835847,-1.66864,-0.893065,-0.288399,-2.34864,1.82089
UID_11_21_2_all-15,2.04038,-5.30937,-0.11663,-2.26278,-0.366124,0.876865,-0.6852,-0.0715942,0.523218,-0.618369,0.366929
UID_11_21_3_all-18,-0.587874,0.61173,0.523401,-0.0549195,-0.734324,0.0914045,-0.144977,0.261465,-0.218873,0.313853,-0.440601
UID_11_22_1_all-15,-0.61756,0.66785,0.544996,-0.107632,-0.922091,0.0806223,-0.240424,0.543831,-0.0988458,0.0524254,-0.449498
UID_11_22_2_all-22,-0.26674,-0.398157,0.217978,0.0061652,-0.316577,0.220518,-0.459029,0.0308057,-0.136435,0.754852,-0.229503
UID_11_23_1_all-15,-0.366144,-0.339257,-0.0977326,0.284747,0.171978,-0.0584743,-0.113945,-0.267771,-0.140276,-0.381735,-0.201444
UID_11_23_2_all-10,-0.00122241,1.48744,-0.534397,-2.03966,0.271833,1.27621,2.05844,-0.620067,0.517464,-1.81247,0.492619
UID_11_24_1_all-13,-0.600979,0.428787,-0.416781,0.295416,0.437935,-0.703047,-1.03827,-0.033042,-0.153684,-0.258565,0.494564
UID_11_24_2_all-5,-0.143323,-0.841611,0.0333415,-0.185592,-0.32649,0.162381,-0.242708,0.457097,0.319267,0.15312,-0.226033
UID_11_25_1_all-13,1.91521,-4.71608,0.276362,-2.60852,-0.685279,0.919979,-0.848801,0.419657,0.470829,-0.502757,0.147627
UID_11_25_2_all-9,-0.340038,0.532157,-0.160852,0.177435,1.98797,-1.87344,-2.43946,-3.16451,-1.31405,1.49741,0.223298
UID_11_27_1_all-14,-0.572322,2.41488,1.44737,-1.38898,-0.775879,2.07925,1.84729,0.716783,0.0848809,1.47351,1.68422
UID_11_27_2_all-9,0.233857,2.3061,-0.177222,-3.18996,0.342704,0.834232,3.31908,-0.995741,2.32099,-1.47362,-0.0340592
UID_11_28_1_all-6,-0.421553,-0.30253,-0.00780197,0.349085,0.144852,0.313906,-0.011205,0.385989,-0.0882642,0.603169,0.120811
UID_11_28_2_all-4,-0.363698,2.11342,-0.114844,-1.43153,0.15591,-0.0398604,2.14386,-0.33066,2.37818,-0.0173814,1.09674
UID_11_28_3_all,-0.618915,0.482208,-0.111288,0.148462,0.176682,0.335969,-0.619397,0.669285,0.580474,0.0403906,0.417604
UID_11_28_4_all-2,-0.638661,1.63168,0.520943,-1.26059,0.040745,-0.808974,1.09115,-0.474122,-1.21001,-2.0727,-0.161819
