Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11
UID_11_10_1_all-10,-121.026,62.4748,-55.3762,25.8061,39.163,34.8518,17.5503,15.8426,15.7588,-41.0013,-0.662561
UID_11_11_1_all-10,37.7829,341.516,-129.615,61.901,-26.6061,111.817,1.73988,36.4876,168.244,23.4732,-91.2987
UID_11_11_2_all-14,648.925,-160.282,-104.735,-65.1695,19.0005,-69.0728,-75.1017,-144.905,51.5438,74.2584,84.8569
UID_11_11_3_all-11,-129.49,269.446,58.29,-123.319,-7.74722,-130.325,-7.67324,-60.0203,-150.915,-20.8597,-19.9059
UID_11_12_1_all-7,-75.8917,-47.4019,4.31596,5.70587,1.15013,-0.638952,16.2383,-2.63821,-11.837,-2.59562,-0.14361
UID_11_12_2_all-8,137.519,151.196,-204.889,-66.9473,134.463,-32.3976,-124.699,-10.2694,-55.8616,40.2178,-53.0751
UID_11_12_3_all-11,-75.0436,74.8084,89.0671,-3.49927,31.575,-61.772,-15.4808,-104.24,93.7564,89.4105,-3.57279
UID_11_14_1_all-7,-93.277,-76.4645,3.08327,26.7325,9.78755,-4.09356,10.6767,2.03463,5.40637,-5.20178,6.28776
UID_11_15_1_all-15,538.177,258.621,-39.1999,16.5143,-260.086,-137.961,-73.8245,252.056,20.7144,241.666,-67.4941
UID_11_15_2_all-12,-157.649,-27.481,3.41408,52.0722,23.2646,-22.8529,-1.92264,-22.21,-3.19121,14.3188,-9.03156
UID_11_15_3_all-13,-146.847,170.372,-19.6372,-66.5299,-84.9428,85.0748,-0.803306,-110.076,-75.3679,-45.2664,-1.82205
UID_11_15_4_all-8,-24.3624,-100.667,-16.6306,4.32467,28.3952,-6.59233,-86.1847,-12.989,-14.2082,12.735,16.9319
UID_11_15_5_all-9,31.1411,96.1874,2.18356,-58.2466,-17.1017,240.614,-98.4824,74.8829,-50.301,32.6782,23.483
UID_11_16_1_all-12,396.105,-166.96,-259.643,-109.147,97.4159,180.321,-27.4741,70.4059,12.959,49.1543,7.2797
UID_11_16_2_all-22,-124.943,-17.5655,3.98584,33.6551,12.0384,-1.78623,-9.61564,-11.9666,2.23656,35.4652,-3.68416
UID_11_16_3_all,479.86,-571.559,15.8251,-123.496,5.73498,25.5551,-7.00464,29.213,32.9029,-17.5803,26.4151
UID_11_17_1_all-7,-25.7295,288.77,-119.352,-169.46,-12.9643,0.0934247,-39.5308,96.7451,50.173,-16.118,-51.6589
UID_11_17_2_all-14,-196.615,57.7741,-0.0746996,31.9851,9.35451,5.5261,22.3601,18.2254,-5.88608,-14.2142,-0.732987
UID_11_18_1_all-6,539.648,-662.758,-10.7277,-152.185,-24.8009,42.3082,-23.3945,-2.12392,18.1031,-16.5514,8.60633
UID_11_19_1_all-11,-46.503,72.6431,-72.095,-0.971196,31.4696,36.3362,-61.8376,-14.3864,-6.18273,-2.29198,-8.86998
UID_11_1_1_all-15,-51.1374,-111.36,-27.642,6.48388,10.5209,0.80351,-13.9227,-18.791,6.20808,-9.04336,-5.44473
UID_11_1_2_all-3,571.628,72.4242,-476.449,76.119,130.339,27.1682,-214.807,-38.2521,-74.7699,92.9928,-131.292
UID_11_21_1_all-11,-15.7372,242.797,-93.6345,-115.073,89.5889,39.1476,-64.877,-31.9672,-9.02282,-66.7799,46.8788
UID_11_21_2_all-15,523.683,-643.227,-9.40613,-146.526,-20.8824,41.0687,-26.6408,-2.56271,16.3693,-17.5823,9.44659
UID_11_21_3_all-18,-150.883,74.1108,42.212,-3.55631,-41.8831,4.28101,-5.63674,9.35911,-6.84764,8.92393,-11.3433
