Contour,Area,hem2Model (normalized mode 1),hem2Model (normalized mode 2)
UID_H1_1_1_hem-15,20285.8,0.167588,-0.735453
UID_H1_10_1_hem-19,6644.77,2.44498,-0.680205
UID_H1_11_1_hem-13,16740.2,0.30731,-1.33871
UID_H1_15_1_hem-4,15339.3,0.360389,-1.63688
UID_H1_16_1_hem-7,2157.42,2.55214,0.11599
UID_H1_16_2_hem-10,6550.33,2.29052,2.56078
UID_H1_19_1_hem-4,19242.5,0.0808426,-1.23205
UID_H1_2_1_hem-5,19009.7,0.100077,-1.26827
UID_H1_20_1_hem-25,20032.7,0.0301577,-1.16962
UID_H1_21_1_hem-3,18177.1,0.189106,-1.29778
UID_H1_22_1_hem-2,16691.2,0.252711,-1.53013
UID_H1_23_1_hem-14,27408.7,0.229096,1.24746
UID_H1_25_1_hem-14,17778.1,0.209724,-1.28293
UID_H1_27_1_hem-11,37010.6,-0.824472,0.516057
UID_H1_29_1_hem-2,20416.1,0.0172975,-1.05972
UID_H1_3_1_hem-3,27477.2,-0.334655,-0.186212
UID_H1_30_1_hem-36,42670.9,-1.16018,0.67219
UID_H1_31_1_hem-4,21332.7,-0.0635498,-1.06007
UID_H1_32_1_hem-27,31353.3,-0.601924,-0.111543
UID_H1_33_1_hem-17,10058.9,2.36192,-1.04206
UID_H1_34_1_hem-26,23272.2,-0.131597,-0.668177
UID_H1_35_1_hem-35,29245,-0.315798,0.0899918
UID_H1_36_1_hem-27,31455.1,-0.394101,0.356574
UID_H1_38_1_hem-5,19017.3,0.21151,-0.877215
UID_H1_39_1_hem-6,26557.5,-0.0871801,0.32843
UID_H1_40_1_hem-14,19787.9,0.143401,-0.79377
UID_H1_44_1_hem-15,29183.4,-0.490091,-0.302824
UID_H1_5_1_hem-2,23111.6,0.338347,0.362107
UID_H1_6_1_hem-2,23065,0.335393,0.327516
UID_H1_7_1_hem-19,21937,-0.0571571,-0.878161
UID_H1_8_1_hem-8,3268.22,3.09147,2.044
UID_H1_9_1_hem-25,19937.6,0.0785932,-1.03074
UID_H13_1_1_hem-11,22786.1,-0.0461388,-0.439258
UID_H13_1_2_hem-11,15985.5,0.336806,-1.43149
UID_H13_1_3_hem-7,7548.64,2.5083,-0.921708
UID_H13_1_4_hem-18,24481.3,-0.205848,-0.634674
UID_H13_10_1_hem-11,20899.2,-0.00497401,-0.996637
UID_H13_10_2_hem-10,18581.5,0.144667,-1.21112
UID_H13_11_1_hem-12,20518.3,0.0163472,-1.05107
UID_H13_11_2_hem-14,33258.2,-0.673331,0.177283
UID_H13_11_3_hem-14,39890.2,-0.931409,0.623111
UID_H13_11_4_hem-9,21070.4,-0.011591,-0.95892
UID_H13_11_5_hem-12,27375,-0.294203,0.0245223
UID_H13_12_1_hem-17,39001.6,-0.915293,0.673598
UID_H13_12_2_hem-16,39421.5,-0.85809,0.763042
UID_H13_12_3_hem-9,25489.3,-0.255185,-0.488373
UID_H13_12_4_hem-15,23398.7,-0.124305,-0.595758
UID_H13_13_1_hem-15,43147.8,-1.03917,0.933368
UID_H13_13_2_hem-3,36540.5,-0.563631,0.8905
UID_H13_13_3_hem-19,43358.4,-1.10129,1.00106
UID_H13_13_4_hem-3,33495.5,-0.670256,0.229669
UID_H13_14_1_hem-8,17155,0.291918,-1.22551
UID_H13_14_2_hem-27,37955.9,-0.827304,0.621716
UID_H13_15_1_hem-15,22831.1,-0.119816,-0.787184
UID_H13_15_2_hem-11,24469.8,0.0734485,0.0941242
UID_H13_15_3_hem-20,31229.4,-0.582156,-0.0871431
UID_H13_15_4_hem-10,27265.9,-0.328842,-0.292304
UID_H13_15_5_hem-4,30897.8,-0.613842,-0.266443
UID_H13_16_1_hem-22,36162.5,-0.688108,0.604476
UID_H13_16_2_hem-18,46964.6,-1.29172,1.0612
UID_H13_17_1_hem-8,24437,-0.0578253,-0.257064
UID_H13_17_2_hem-6,29312.8,-0.289049,0.427957
UID_H13_17_3_hem-3,21713.8,-0.0355769,-0.832225
UID_H13_17_4_hem-14,31686.8,-0.483616,0.4624
UID_H13_17_5_hem-11,20542.3,0.141215,-0.411841
UID_H13_17_6_hem-14,29913.3,-0.532276,-0.2171
UID_H13_17_7_hem-15,21160,-0.00939033,-0.918199
UID_H13_17_8_hem-16,22593.9,-0.0585892,-0.640649
UID_H13_18_1_hem-11,32628.9,-0.563778,0.344412
UID_H13_18_2_hem-30,45911.6,-1.26749,0.895474
UID_H13_19_1_hem-5,22583.7,-0.0623773,-0.637003
UID_H13_19_2_hem-9,19191.4,0.146909,-1.05645
UID_H13_19_3_hem-7,20786.9,0.0298495,-0.89368
UID_H13_19_4_hem-2,17579.6,0.228616,-1.30993
UID_H13_19_5_hem-25,48637,-1.4113,1.073
UID_H13_19_6_hem-7,19562,0.0631267,-1.20494
UID_H13_2_1_hem-12,29240.6,-0.505496,-0.370762
UID_H13_2_2_hem-11,24930.9,-0.210387,-0.523679
