Contour,Normalized Curvature
UID_H1_1_1_hem-15,48.0794
UID_H1_10_1_hem-19,292.296
UID_H1_11_1_hem-13,44.9328
UID_H1_15_1_hem-4,27.1749
UID_H1_16_1_hem-7,139.119
UID_H1_16_2_hem-10,186.101
UID_H1_19_1_hem-4,37.3443
UID_H1_2_1_hem-5,33.0526
UID_H1_20_1_hem-25,46.6942
UID_H1_21_1_hem-3,25.8559
UID_H1_22_1_hem-2,37.3388
UID_H1_23_1_hem-14,64.9367
UID_H1_25_1_hem-14,39.2034
UID_H1_27_1_hem-11,23.1749
UID_H1_29_1_hem-2,25.8205
UID_H1_3_1_hem-3,32.3458
UID_H1_30_1_hem-36,41.227
UID_H1_31_1_hem-4,34.8954
UID_H1_32_1_hem-27,31.3829
UID_H1_33_1_hem-17,345.776
UID_H1_34_1_hem-26,57.8059
UID_H1_35_1_hem-35,60.6046
UID_H1_36_1_hem-27,89.2626
UID_H1_38_1_hem-5,34.1781
UID_H1_39_1_hem-6,47.1231
UID_H1_40_1_hem-14,34.8533
UID_H1_44_1_hem-15,63.5342
UID_H1_5_1_hem-2,50.8886
UID_H1_6_1_hem-2,52.5106
UID_H1_7_1_hem-19,30.1695
UID_H1_8_1_hem-8,110.483
UID_H1_9_1_hem-25,49.5722
UID_H13_1_1_hem-11,36.5846
UID_H13_1_2_hem-11,25.8994
UID_H13_1_3_hem-7,152.888
UID_H13_1_4_hem-18,23.0895
UID_H13_10_1_hem-11,25.2826
UID_H13_10_2_hem-10,26.5755
UID_H13_11_1_hem-12,30.5858
UID_H13_11_2_hem-14,29.8648
UID_H13_11_3_hem-14,45.2534
UID_H13_11_4_hem-9,30.0909
UID_H13_11_5_hem-12,31.0362
UID_H13_12_1_hem-17,29.7384
UID_H13_12_2_hem-16,44.5736
UID_H13_12_3_hem-9,23.8661
UID_H13_12_4_hem-15,30.8286
UID_H13_13_1_hem-15,55.9984
UID_H13_13_2_hem-3,53.9464
UID_H13_13_3_hem-19,26.3014
UID_H13_13_4_hem-3,23.3888
UID_H13_14_1_hem-8,28.4294
UID_H13_14_2_hem-27,43.2753
UID_H13_15_1_hem-15,26.554
UID_H13_15_2_hem-11,50.9411
UID_H13_15_3_hem-20,29.2057
UID_H13_15_4_hem-10,33.1553
UID_H13_15_5_hem-4,25.517
UID_H13_16_1_hem-22,41.2659
UID_H13_16_2_hem-18,47.0106
UID_H13_17_1_hem-8,43.7313
UID_H13_17_2_hem-6,50.7583
UID_H13_17_3_hem-3,38.7869
UID_H13_17_4_hem-14,40.8252
UID_H13_17_5_hem-11,29.2727
UID_H13_17_6_hem-14,26.1701
UID_H13_17_7_hem-15,31.1945
UID_H13_17_8_hem-16,29.6957
UID_H13_18_1_hem-11,36.2612
UID_H13_18_2_hem-30,25.3105
UID_H13_19_1_hem-5,34.7366
UID_H13_19_2_hem-9,28.43
UID_H13_19_3_hem-7,25.1148
UID_H13_19_4_hem-2,29.7139
UID_H13_19_5_hem-25,34.3164
UID_H13_19_6_hem-7,30.8196
UID_H13_2_1_hem-12,26.7021
UID_H13_2_2_hem-11,30.9808
UID_H13_2_3_hem-6,45.8676
UID_H13_2_4_hem-4,28.4275
UID_H13_2_5_hem-6,30.678
UID_H13_2_6_hem-12,31.4263
UID_H13_2_7_hem-17,32.4027
UID_H13_2_8_hem-9,27.8294
UID_H13_20_1_hem-14,28.2468
UID_H13_20_2_hem-8,32.2735
