Contour,Path Length
UID_H1_1_1_hem-15,553.648
UID_H1_10_1_hem-19,891.209
UID_H1_11_1_hem-13,482.42
UID_H1_15_1_hem-4,443.794
UID_H1_16_1_hem-7,736.895
UID_H1_16_2_hem-10,1319.83
UID_H1_19_1_hem-4,499.878
UID_H1_2_1_hem-5,495.883
UID_H1_20_1_hem-25,514.511
UID_H1_21_1_hem-3,500.733
UID_H1_22_1_hem-2,465.1
UID_H1_23_1_hem-14,774.151
UID_H1_25_1_hem-14,487.391
UID_H1_27_1_hem-11,700.639
UID_H1_29_1_hem-2,510.061
UID_H1_3_1_hem-3,600.87
UID_H1_30_1_hem-36,741.782
UID_H1_31_1_hem-4,523.573
UID_H1_32_1_hem-27,649.364
UID_H1_33_1_hem-17,1082.18
UID_H1_34_1_hem-26,566.505
UID_H1_35_1_hem-35,672.259
UID_H1_36_1_hem-27,707.399
UID_H1_38_1_hem-5,509.262
UID_H1_39_1_hem-6,655.517
UID_H1_40_1_hem-14,516.221
UID_H1_44_1_hem-15,640.815
UID_H1_5_1_hem-2,676.601
UID_H1_6_1_hem-2,672.11
UID_H1_7_1_hem-19,536.925
UID_H1_8_1_hem-8,1049.43
UID_H1_9_1_hem-25,525.717
UID_H13_1_1_hem-11,559.144
UID_H13_1_2_hem-11,455.177
UID_H13_1_3_hem-7,939.829
UID_H13_1_4_hem-18,565.627
UID_H13_10_1_hem-11,519.899
UID_H13_10_2_hem-10,488.991
UID_H13_11_1_hem-12,516.559
UID_H13_11_2_hem-14,658.226
UID_H13_11_3_hem-14,750.553
UID_H13_11_4_hem-9,523.371
UID_H13_11_5_hem-12,621.251
UID_H13_12_1_hem-17,720.517
UID_H13_12_2_hem-16,745.069
UID_H13_12_3_hem-9,577.414
UID_H13_12_4_hem-15,557.638
UID_H13_13_1_hem-15,801.329
UID_H13_13_2_hem-3,760.363
UID_H13_13_3_hem-19,752.855
UID_H13_13_4_hem-3,661.212
UID_H13_14_1_hem-8,476.453
UID_H13_14_2_hem-27,740.418
UID_H13_15_1_hem-15,540.262
UID_H13_15_2_hem-11,656.308
UID_H13_15_3_hem-20,640.332
UID_H13_15_4_hem-10,598.568
UID_H13_15_5_hem-4,627.008
UID_H13_16_1_hem-22,728.222
UID_H13_16_2_hem-18,800.219
UID_H13_17_1_hem-8,623.241
UID_H13_17_2_hem-6,659.248
UID_H13_17_3_hem-3,537.1
UID_H13_17_4_hem-14,702.096
UID_H13_17_5_hem-11,540.451
UID_H13_17_6_hem-14,624.427
UID_H13_17_7_hem-15,523.021
UID_H13_17_8_hem-16,549.561
UID_H13_18_1_hem-11,664.432
UID_H13_18_2_hem-30,779.191
UID_H13_19_1_hem-5,559.492
UID_H13_19_2_hem-9,502.49
UID_H13_19_3_hem-7,522.894
UID_H13_19_4_hem-2,479.087
UID_H13_19_5_hem-25,796.006
UID_H13_19_6_hem-7,505.993
UID_H13_2_1_hem-12,613.456
UID_H13_2_2_hem-11,594.55
UID_H13_2_3_hem-6,648.317
UID_H13_2_4_hem-4,495.109
UID_H13_2_5_hem-6,588.222
UID_H13_2_6_hem-12,644.964
UID_H13_2_7_hem-17,609.732
UID_H13_2_8_hem-9,539.366
UID_H13_20_1_hem-14,569.268
UID_H13_20_2_hem-8,517.437
UID_H13_20_3_hem-4,501.842
UID_H13_20_4_hem-3,807.58
UID_H13_21_1_hem-19,728.575
UID_H13_21_2_hem-18,604.246
UID_H13_21_3_hem-20,730.297
UID_H13_21_4_hem-15,654.965
UID_H13_22_1_hem-5,581.426
