Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized)
UID_H13_10_1_hem-11,-0.00497399,-0.996637,0.010922,0.124009,0.0131411,0.0391113,-0.205762,-0.198857,-0.141788
UID_H13_10_2_hem-10,0.144667,-1.21112,0.208747,0.274687,0.188492,0.0196654,0.112466,-0.210054,-0.176719
UID_H13_11_1_hem-12,0.0163472,-1.05107,0.0598806,-0.000711413,-0.0760837,-0.351397,0.296346,-0.223687,0.107437
UID_H13_11_2_hem-14,-0.673331,0.177283,-0.111823,-0.383832,0.120674,0.434381,-0.0540564,-0.00101558,0.153608
UID_H13_11_3_hem-14,-0.931409,0.623111,-1.26079,-0.0322619,-0.382155,-1.00625,0.2336,-0.120056,-0.748732
UID_H13_11_4_hem-9,-0.011591,-0.95892,0.0568265,0.139826,0.0133892,0.0482393,-0.226067,-0.191789,-0.15536
UID_H13_11_5_hem-12,-0.294203,0.0245223,0.504681,0.0867157,0.474145,0.698344,-1.07882,0.0319661,0.409334
UID_H13_12_1_hem-17,-0.915293,0.673598,-0.414716,-0.840608,0.0271374,0.0888526,0.0737635,-0.020959,0.480669
UID_H13_12_2_hem-16,-0.85809,0.763042,-0.673189,-0.569907,-0.334056,-0.3612,1.0286,0.165261,-0.828048
UID_H13_12_3_hem-9,-0.255185,-0.488373,-0.101032,-0.153058,0.0786475,-0.108587,-0.420509,-0.214166,0.0754468
UID_H13_12_4_hem-15,-0.124305,-0.595758,0.250329,0.089483,0.296708,0.278602,0.0564381,0.0196873,0.14844
UID_H13_13_1_hem-15,-1.03917,0.933368,-1.17346,0.484018,-0.0668446,-0.769253,1.00438,-0.0228531,-1.79261
UID_H13_13_2_hem-3,-0.563631,0.8905,-0.270585,-0.122854,-0.185123,-0.146436,1.36409,0.621119,-2.89719
UID_H13_13_3_hem-19,-1.10129,1.00106,-0.51106,-0.884664,-0.115677,0.401051,-0.350094,-0.238093,0.234775
UID_H13_13_4_hem-3,-0.670256,0.229669,-0.0859031,-0.545522,0.0355213,0.0624051,-0.196859,-0.498804,0.256049
UID_H13_14_1_hem-8,0.291918,-1.22551,0.465083,0.0980735,0.147107,0.0543211,0.010608,0.122101,-0.274658
UID_H13_14_2_hem-27,-0.827304,0.621716,-1.16592,0.289932,-0.636518,-0.584982,-0.253372,0.464572,0.498255
UID_H13_15_1_hem-15,-0.119816,-0.787184,0.0609185,0.0105503,0.0382488,0.101946,0.148535,0.00707618,0.0589313
UID_H13_15_2_hem-11,0.0734485,0.0941243,0.437648,1.28017,-0.57312,-0.213731,0.865588,0.646619,-1.29152
UID_H13_15_3_hem-20,-0.582156,-0.0871431,-0.335176,-0.639539,-0.222775,0.00237639,-0.145024,-0.590599,-0.06656
UID_H13_15_4_hem-10,-0.328842,-0.292304,-0.151267,-0.482505,-0.0555499,0.17483,-0.497991,-0.21452,-0.0368644
UID_H13_15_5_hem-4,-0.613842,-0.266443,-0.605256,-0.356705,-0.236057,0.124806,0.42186,-0.100092,0.123805
UID_H13_16_1_hem-22,-0.688108,0.604476,-0.887259,-0.831578,-0.606141,-0.168652,-1.25548,-0.0567719,-0.880978
UID_H13_16_2_hem-18,-1.29172,1.0612,-1.15323,-0.61128,-0.391109,0.261907,0.138779,0.0148347,-0.406107
UID_H13_17_1_hem-8,-0.0578253,-0.257064,-0.113924,0.435981,-1.16147,0.465944,1.32497,1.17129,-0.723806
UID_H13_17_2_hem-6,-0.289049,0.427957,0.340558,-0.237888,0.15435,0.142519,0.112252,0.70328,-0.553878
UID_H13_17_3_hem-3,-0.0355769,-0.832225,0.230829,-0.0441006,0.249144,-0.0796532,-0.051659,-0.202874,0.123234
UID_H13_17_4_hem-14,-0.483617,0.4624,0.893707,-1.14428,0.895794,0.480004,0.530181,-0.312077,0.77858
UID_H13_17_5_hem-11,0.141216,-0.411842,1.20209,0.373963,0.898438,0.391519,-0.202929,0.0656289,0.332907
UID_H13_17_6_hem-14,-0.532276,-0.2171,-0.369258,-0.251353,-0.056744,-0.0477919,-0.490456,-0.271785,0.252017
UID_H13_17_7_hem-15,-0.00939032,-0.918199,0.18725,0.0806335,0.138251,0.192452,0.284654,-0.074681,-0.0767774
UID_H13_17_8_hem-16,-0.0585892,-0.640648,0.316299,0.0575805,0.165834,0.184107,0.277281,0.128,-0.119463
UID_H13_18_1_hem-11,-0.563778,0.344412,0.132886,-0.695104,0.253261,0.622318,0.0433874,0.0563536,-0.187884
UID_H13_18_2_hem-30,-1.26749,0.895474,-1.45201,-1.00152,-0.677022,0.629139,-0.887913,0.14926,-0.000519663
UID_H13_19_1_hem-5,-0.0623773,-0.637003,0.384313,-0.0422735,0.182752,0.353937,-0.67934,-0.241453,-0.566582
UID_H13_19_2_hem-9,0.146909,-1.05645,0.177475,0.102505,-0.111253,0.209057,-0.082647,0.286948,-0.145624
UID_H13_19_3_hem-7,0.0298495,-0.89368,0.297114,0.0353322,0.133785,-0.162953,0.0655987,-0.420125,0.075696
UID_H13_19_4_hem-2,0.228616,-1.30993,0.191478,0.0732008,-0.0556919,-0.12064,-0.183577,-0.213824,-0.338307
UID_H13_19_5_hem-25,-1.4113,1.073,-0.914133,-1.03093,-0.230391,0.463391,0.296414,-0.227495,0.114305
UID_H13_19_6_hem-7,0.0631267,-1.20494,-0.140887,0.188398,-0.122278,-0.512033,0.194611,-0.0918561,0.0531729
UID_H13_1_1_hem-11,-0.0461388,-0.439258,0.892502,0.13774,0.533191,0.348746,-0.0382297,-0.236462,0.113419
