Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9
UID_H13_10_1_hem-11,-1.16585,-125.262,0.67059,6.70604,0.587555,1.56383,-7.17674,-6.27456,-4.24891
UID_H13_10_2_hem-10,33.9083,-152.219,12.8166,14.8543,8.42774,0.786303,3.92268,-6.62785,-5.29569
UID_H13_11_1_hem-12,3.8316,-132.103,3.67656,-0.0384711,-3.4018,-14.0503,10.3362,-7.05803,3.21952
UID_H13_11_2_hem-14,-157.822,22.2817,-6.86572,-20.7565,5.39547,17.3683,-1.88542,-0.0320448,4.60313
UID_H13_11_3_hem-14,-218.312,78.3154,-77.4101,-1.74463,-17.0866,-40.234,8.14769,-3.78813,-22.437
UID_H13_11_4_hem-9,-2.7168,-120.521,3.48904,7.56137,0.598649,1.92881,-7.88494,-6.05155,-4.65562
UID_H13_11_5_hem-12,-68.9581,3.08208,30.9865,4.68933,21.1996,27.9227,-37.6278,1.00863,12.2664
UID_H13_12_1_hem-17,-214.535,84.6608,-25.4628,-45.4576,1.21335,3.55269,2.57278,-0.661323,14.4041
UID_H13_12_2_hem-16,-201.127,95.9025,-41.3326,-30.8189,-14.9361,-14.4423,35.8762,5.2145,-24.8138
UID_H13_12_3_hem-9,-59.8127,-61.381,-6.20319,-8.27695,3.51643,-4.34174,-14.6668,-6.7576,2.26089
UID_H13_12_4_hem-15,-29.1357,-74.8776,15.3698,4.83897,13.2662,11.1397,1.96849,0.621195,4.44824
UID_H13_13_1_hem-15,-243.571,117.31,-72.0484,26.1742,-2.98871,-30.7579,35.0316,-0.721087,-53.7187
UID_H13_13_2_hem-3,-132.109,111.922,-16.6134,-6.64358,-8.2771,-5.85511,47.5779,19.5982,-86.8192
UID_H13_13_3_hem-19,-258.13,125.818,-31.3781,-47.84,-5.17208,16.0357,-12.2108,-7.51258,7.03543
UID_H13_13_4_hem-3,-157.101,28.8659,-5.27429,-29.5002,1.5882,2.49521,-6.86621,-15.7388,7.67294
UID_H13_14_1_hem-8,68.4226,-154.028,28.5552,5.30353,6.57736,2.17198,0.369994,3.85268,-8.23059
UID_H13_14_2_hem-27,-193.911,78.1401,-71.5853,15.6786,-28.4595,-23.39,-8.8373,14.6587,14.931
UID_H13_15_1_hem-15,-28.0837,-98.9368,3.74028,0.570528,1.71015,4.07622,5.18072,0.223275,1.76597
UID_H13_15_2_hem-11,17.2156,11.83,26.8707,69.2281,-25.6249,-8.54584,30.1906,20.4028,-38.7026
UID_H13_15_3_hem-20,-136.451,-10.9525,-20.5792,-34.5844,-9.96055,0.095018,-5.05826,-18.6352,-1.99458
UID_H13_15_4_hem-10,-77.077,-36.7381,-9.28751,-26.0924,-2.48371,6.99041,-17.3693,-6.76878,-1.1047
UID_H13_15_5_hem-4,-143.878,-33.4878,-37.1616,-19.2896,-10.5544,4.99026,14.714,-3.15822,3.71002
UID_H13_16_1_hem-22,-161.285,75.9733,-54.476,-44.9693,-27.1013,-6.7434,-43.7897,-1.79133,-26.4
UID_H13_16_2_hem-18,-302.765,133.377,-70.8059,-33.0562,-17.487,10.4721,4.84046,0.468081,-12.1697
UID_H13_17_1_hem-8,-13.5536,-32.3089,-6.99474,23.5765,-51.9309,18.6304,46.2132,36.9578,-21.6901
UID_H13_17_2_hem-6,-67.75,53.7875,20.9096,-12.8643,6.90117,5.69851,3.9152,22.1907,-16.5979
UID_H13_17_3_hem-3,-8.33885,-104.598,14.1724,-2.38483,11.1396,-3.18487,-1.8018,-6.4013,3.69291
UID_H13_17_4_hem-14,-113.355,58.1165,54.8719,-61.8791,40.0521,19.1926,18.4921,-9.84698,23.3314
UID_H13_17_5_hem-11,33.0994,-51.7621,73.806,20.2228,40.1703,15.6545,-7.07792,2.0708,9.9761
UID_H13_17_6_hem-14,-124.76,-27.2861,-22.6717,-13.5924,-2.5371,-1.91092,-17.1065,-8.57564,7.55211
UID_H13_17_7_hem-15,-2.20099,-115.403,11.4968,4.36042,6.18139,7.69502,9.9284,-2.35642,-2.30076
UID_H13_17_8_hem-16,-13.7327,-80.5196,19.4202,3.11379,7.41464,7.36136,9.67123,4.03879,-3.57992
UID_H13_18_1_hem-11,-132.144,43.2872,8.15894,-37.5892,11.3236,24.8829,1.5133,1.77813,-5.63027
UID_H13_18_2_hem-30,-297.085,112.547,-89.1505,-54.1591,-30.2705,25.1556,-30.9693,4.70963,-0.0155726
UID_H13_19_1_hem-5,-14.6206,-80.0614,23.5961,-2.28603,8.17107,14.1519,-23.6945,-7.61858,-16.9786
UID_H13_19_2_hem-9,34.4338,-132.779,10.8966,5.54314,-4.97424,8.35898,-2.88263,9.0541,-4.36388
UID_H13_19_3_hem-7,6.99641,-112.322,18.2422,1.91066,5.9817,-6.51552,2.288,-13.2562,2.26836
UID_H13_19_4_hem-2,53.5851,-164.638,11.7564,3.95848,-2.49006,-4.82368,-6.40293,-6.74682,-10.1379
UID_H13_19_5_hem-25,-330.795,134.859,-56.1261,-55.7499,-10.3011,18.5283,10.3386,-7.17818,3.42534
UID_H13_19_6_hem-7,14.7962,-151.442,-8.65021,10.188,-5.46723,-20.4732,6.78781,-2.89835,1.59341
UID_H13_1_1_hem-11,-10.8144,-55.2079,54.7979,7.44857,23.8397,13.9443,-1.33341,-7.46112,3.39879
UID_H13_1_2_hem-11,78.9436,-179.917,33.335,20.7158,8.73661,-1.87009,8.37598,-0.239355,0.461377
UID_H13_1_3_hem-7,587.919,-115.844,263.192,-89.0726,-135.959,-105.498,-35.1246,14.4463,0.324068
UID_H13_1_4_hem-18,-48.2486,-79.7687,-9.01265,-11.8255,-7.62388,-8.23856,-1.88602,1.80113,5.84226
UID_H13_20_1_hem-14,-58.3739,-84.5498,-18.8178,-15.6839,-12.1562,-16.3835,-7.10079,-11.4868,5.2192
UID_H13_20_2_hem-8,37.9758,-110.006,14.9096,13.0655,1.19246,11.9714,5.49755,16.3624,-3.81375
UID_H13_20_3_hem-4,44.2193,-130.045,21.1087,13.925,3.16492,-15.2627,1.52126,5.47029,1.8686
UID_H13_20_4_hem-3,-37.4294,102.452,224.832,-30.7215,72.7581,17.9434,72.7171,0.859196,-29.8655
UID_H13_21_1_hem-19,-241.383,74.0602,-57.3382,-34.5022,-10.322,-1.4082,-13.7522,-6.55088,9.13294
UID_H13_21_2_hem-18,-68.7054,-44.4525,-14.6453,-5.16274,-1.56896,-18.616,3.52402,-8.3495,-4.95764
UID_H13_21_3_hem-20,-203.608,52.3934,-47.7998,-29.3791,-19.6354,1.00084,-31.5819,-24.5918,10.1032
UID_H13_21_4_hem-15,-160.535,6.46521,-20.2167,-15.689,3.42821,12.6834,11.3384,-2.91938,2.65285
UID_H13_22_1_hem-5,-80.0113,-63.4683,-4.04342,-6.21937,2.31713,0.987214,14.1245,-2.83429,6.28893
UID_H13_22_2_hem-13,-41.8672,-99.3231,-8.62856,-4.87754,-5.20257,-3.84353,1.67797,-6.34346,0.968319
UID_H13_23_1_hem-3,39.8731,-145.486,14.0164,4.48633,4.63888,-14.6633,-6.51577,-7.42622,5.72852
UID_H13_23_2_hem-5,8.20451,-93.924,20.2144,2.12445,6.52735,11.1293,-4.13546,6.13485,0.730917
UID_H13_23_3_hem-9,-39.8906,-94.9323,-7.59471,-1.12799,4.30248,1.30019,8.17098,-0.133755,-3.70788
UID_H13_23_4_hem-9,-264.851,59.4283,-62.228,-45.5557,-13.492,6.85597,16.0176,-10.2412,8.60102
UID_H13_23_5_hem-5,49.4191,-180.501,6.59452,11.0257,-0.845452,-4.62557,5.20409,-4.91158,-1.60537
UID_H13_24_1_hem-18,-269.842,115.558,-24.1555,-31.5909,9.03581,35.5268,16.1143,8.2868,2.75615
UID_H13_24_2_hem-11,637.634,6.00663,42.1806,-61.4799,56.5535,-214.434,-53.1063,115.949,167.456
UID_H13_24_3_hem-31,-258.936,220.548,-100.909,-7.8589,-56.6222,30.4049,37.2999,22.5129,-21.9682
UID_H13_25_1_hem-26,-304.415,182.861,-54.6949,-27.6368,16.7658,20.5265,5.02563,19.3706,18.8823
UID_H13_25_2_hem-13,-90.2851,7.87542,-4.84871,0.538745,-16.309,19.8018,-11.9542,5.90347,22.2637
UID_H13_25_3_hem-16,-187.98,51.6023,-26.5364,-5.79546,5.65222,16.2544,8.88441,4.6738,-4.23518
UID_H13_26_1_hem-11,-117.408,47.1914,6.93148,1.05314,15.469,17.2,16.0612,6.95989,-14.5479
UID_H13_26_2_hem-7,65.9938,-114.885,55.6396,25.327,29.6702,8.22277,0.981201,7.25147,3.01361
UID_H13_26_3_hem-5,60.0742,-154.888,38.2809,16.9571,12.8513,5.08997,13.3443,2.26883,-1.69428
UID_H13_26_4_hem-13,-68.5489,-45.2418,-5.78967,-13.884,-4.27687,3.69456,5.79731,4.29753,-3.1081
UID_H13_26_5_hem-6,31.0465,-148.265,6.81774,10.387,-1.53152,2.18115,7.28696,2.45521,-2.52344
UID_H13_26_6_hem-8,-6.32516,-130.709,-8.91576,3.12769,-3.31246,-8.86762,0.539275,-8.48119,-3.47674
UID_H13_27_1_hem-7,61.9626,-175.787,13.4797,17.3757,8.3277,-0.123795,-4.28097,-5.88677,-5.0602
UID_H13_27_2_hem-2,97.3587,-207.088,15.2487,19.7516,1.14405,-10.0496,-7.64991,1.38249,-1.79244
UID_H13_28_1_hem-7,6.1822,-128.472,-8.94339,-8.0176,-11.2666,-5.61245,-6.14605,-5.89637,-2.15554
UID_H13_28_2_hem-4,-91.5467,53.6366,26.9398,-28.6984,17.9718,-86.0813,-1.44828,-65.0496,44.0844
UID_H13_29_1_hem-6,-31.8985,-111.405,-9.36839,9.76778,-3.78228,-1.38935,6.50396,-2.02697,2.41329
UID_H13_29_2_hem-5,-26.3793,-104.998,-5.29332,2.17227,-0.694887,6.29208,1.59157,-2.37408,-7.59449
UID_H13_29_3_hem-15,-102.893,49.7707,40.7291,-19.7505,26.6136,19.0963,-6.91492,-24.0502,-1.03579
UID_H13_29_4_hem-3,50.5584,-123.381,27.1074,12.2117,1.53496,1.54918,-12.9791,0.978638,2.847
UID_H13_2_1_hem-12,-118.483,-46.5991,-40.5909,-25.1127,-16.4895,-3.63779,-2.77358,-5.65119,1.31006
UID_H13_2_2_hem-11,-49.3124,-65.8184,-22.5285,12.2744,-21.1206,21.7468,-37.9245,13.5631,12.1942
UID_H13_2_3_hem-6,-51.8986,-11.9601,-32.2815,-4.92063,-13.3701,-27.0487,10.918,-9.18305,-59.3198
UID_H13_2_4_hem-4,53.6821,-124.503,22.5583,2.16885,6.68047,6.34566,-9.96892,4.53474,-8.68484
UID_H13_2_5_hem-6,-77.3373,-59.1023,-12.4128,-11.5474,-9.47503,-8.70703,5.88214,-5.39911,2.52484
UID_H13_2_6_hem-12,-122.786,15.6326,7.0055,-24.4571,14.04,25.8622,6.54089,5.4566,2.14979
UID_H13_2_7_hem-17,-27.4401,-24.5502,2.98699,-0.372718,-0.597706,-4.2431,22.6559,-0.39492,-49.495
UID_H13_2_8_hem-9,-32.1943,-113.844,-14.2215,-0.256067,-7.87447,3.83319,5.38242,-0.597942,-2.9227
UID_H13_30_1_hem-3,26.7193,-126.61,20.0125,6.57678,8.64052,2.65213,7.69135,1.02769,-0.13606
UID_H13_30_2_hem-4,3.1672,-127.977,-7.46791,3.59646,-12.5907,12.0519,-9.90575,-1.24155,-7.7406
UID_H13_30_3_hem-2,7.74423,-127.682,2.66995,22.4995,-0.126194,14.1757,11.1234,4.34202,0.410132
UID_H13_30_4_hem-2,65.4988,-189.03,10.1804,12.0378,-0.397504,-7.36724,0.188923,-2.82456,-1.5714
UID_H13_31_1_hem-9,-68.462,20.4756,-32.0922,2.06973,-14.141,-40.6132,-29.4807,-1.96043,-15.985
UID_H13_31_2_hem-8,-30.4849,-67.7353,12.8699,22.4617,10.6678,27.6106,13.9534,14.0707,-4.99178
UID_H13_31_3_hem-7,-27.3306,-50.6188,18.3649,18.1561,20.6723,1.94255,5.35773,19.6792,12.0547
UID_H13_33_1_hem-9,-123.912,44.4204,-50.7119,3.45722,-18.7353,46.6683,12.2505,24.039,-14.2906
UID_H13_33_2_hem-8,34.5077,-102.037,10.7172,-20.2364,-5.04143,-10.5899,-6.31906,-13.7751,-11.3856
UID_H13_33_3_hem-14,25.6649,-126.754,8.33778,-1.8166,-3.25776,-5.61647,12.5401,0.505577,0.27703
UID_H13_33_4_hem-11,74.0736,-141.832,56.6315,32.4287,30.8837,6.64755,-9.16721,-2.57277,4.83326
UID_H13_33_5_hem-12,38.6664,-91.7822,43.3137,-2.8457,16.4563,16.6401,-0.155812,1.13491,-8.98466
UID_H13_33_6_hem-9,17.6032,-145.658,4.05934,13.7681,5.90756,2.98751,1.62905,-2.21477,-2.40473
UID_H13_34_1_hem-6,-120.885,19.1046,30.0551,-17.8806,11.7705,22.9386,21.6074,-3.06141,-2.19521
UID_H13_34_2_hem-2,88.1721,-190.308,28.0455,21.7876,7.76159,-4.27522,-0.473801,-1.6048,-1.64651
UID_H13_35_1_hem-11,-59.5461,-57.1657,13.8938,-6.45353,7.62522,7.81558,15.0692,0.66666,4.08325
UID_H13_35_2_hem-6,73.9072,-181.808,18.0432,21.2901,6.02367,-7.61082,2.89369,-5.93366,-4.61267
UID_H13_3_1_hem-20,-51.9447,-63.9371,-21.7886,9.34847,-21.6236,21.9477,-42.6924,9.53725,10.8865
UID_H13_3_2_hem-8,-49.4736,-6.63495,-35.0944,0.106004,-15.5139,-33.3372,14.5282,-9.82082,-64.2692
UID_H13_3_3_hem-12,731.091,323.357,-165.362,-9.96663,-102.545,127.289,-41.6659,64.6333,-34.2564
UID_H13_3_4_hem-7,8.47842,253.703,-214.868,212.376,-36.616,-138.132,103.34,3.43744,-140.305
UID_H13_3_5_hem-8,-122.148,15.6683,5.88886,-23.4893,13.8347,25.9042,6.94006,6.44479,-1.31894
