Contour,Aspect Ratio
UID_H11_10_1_hem-6,1.11296
UID_H11_10_2_hem-14,1.04707
UID_H11_10_3_hem-3,1.04679
UID_H11_11_1_hem-19,1.3475
UID_H11_11_2_hem-18,1.082
UID_H11_12_1_hem-8,1.16568
UID_H11_12_2_hem-4,1.02036
UID_H11_12_3_hem-10,1.09984
UID_H11_12_4_hem-12,1.0545
UID_H11_13_1_hem-2,1.164
UID_H11_13_2_hem-11,1.07798
UID_H11_13_3_hem-6,1.11781
UID_H11_13_4_hem-12,1.10516
UID_H11_13_5_hem-10,1.04814
UID_H11_14_1_hem-5,1.49877
UID_H11_14_2_hem-29,1.13858
UID_H11_14_3_hem-18,1.21897
UID_H11_14_4_hem-18,1.21526
UID_H11_15_1_hem-14,1.21216
UID_H11_15_2_hem-14,1.38986
UID_H11_15_3_hem-16,1.14496
UID_H11_15_4_hem-6,1.04739
UID_H11_16_1_hem-14,1.37519
UID_H11_16_2_hem-16,1.15404
UID_H11_17_1_hem-28,1.17503
UID_H11_17_2_hem-11,1.40128
UID_H11_18_1_hem-14,1.13583
UID_H11_18_2_hem-14,1.07595
UID_H11_19_1_hem-16,1.20951
UID_H11_19_2_hem-15,1.39679
UID_H11_19_3_hem-22,1.14054
UID_H11_19_4_hem-18,1.05326
UID_H11_1_1_hem-13,1.11138
UID_H11_20_1_hem-8,1.17882
UID_H11_20_2_hem-14,1.27237
UID_H11_21_1_hem-14,1.11753
UID_H11_21_2_hem-15,1.10479
UID_H11_3_1_hem-8,1.12095
UID_H11_4_1_hem-23,1.13347
UID_H11_5_1_hem-20,1.47743
UID_H11_6_1_hem-5,1.10294
UID_H11_6_2_hem-9,1.48384
UID_H11_7_1_hem-29,1.12492
UID_H11_8_1_hem-9,1.34783
UID_H11_8_2_hem-12,1.09814
UID_H11_9_1_hem-8,1.12702
UID_H11_9_2_hem-22,1.17878
UID_H12_10_1_hem-32,1.04263
UID_H12_10_2_hem-10,1.30909
UID_H12_11_1_hem-11,1.28876
UID_H12_11_2_hem-16,1.13819
UID_H12_11_3_hem-11,1.03781
UID_H12_12_1_hem-8,1.02161
UID_H12_12_2_hem-10,1.0866
UID_H12_12_3_hem-19,1.27377
UID_H12_12_4_hem-11,1.25603
UID_H12_12_5_hem-7,1.17652
UID_H12_12_6_hem-6,1.19783
UID_H12_12_7_hem-12,1.0517
UID_H12_13_1_hem-9,1.16586
UID_H12_13_2_hem-9,1.09984
UID_H12_13_3_hem-9,1.08423
UID_H12_13_4_hem-7,1.11999
UID_H12_13_5_hem-6,1.18861
UID_H12_13_6_hem-11,1.16213
UID_H12_13_7_hem-3,1.05492
UID_H12_14_1_hem-8,1.17486
UID_H12_14_2_hem-7,1.05603
UID_H12_14_3_hem-4,1.24481
UID_H12_15_1_hem-13,1.05653
UID_H12_15_2_hem-12,1.07578
UID_H12_15_3_hem-7,1.19704
UID_H12_15_4_hem-6,1.13765
UID_H12_15_5_hem-4,0.976741
UID_H12_15_6_hem-3,1.11207
UID_H12_15_7_hem-28,1.29581
UID_H12_16_1_hem-9,1.06574
UID_H12_16_2_hem-9,0.994039
UID_H12_17_1_hem-9,1.196
UID_H12_17_2_hem-7,1.21256
UID_H12_18_1_hem-4,1.12559
UID_H12_18_2_hem-9,1.11325
UID_H12_18_3_hem-9,1.18011
UID_H12_18_4_hem-16,1.1082
UID_H12_18_5_hem-9,1.17267
UID_H12_19_1_hem-10,1.0912
UID_H12_19_2_hem-15,1.16423
UID_H12_19_3_hem-5,1.15925
UID_H12_19_4_hem-12,1.03358
UID_H12_19_5_hem-8,1.04643
UID_H12_19_6_hem-5,1.15184
UID_H12_1_1_hem-7,1.26498
UID_H12_1_2_hem-7,1.10378
UID_H12_1_3_hem-8,1.17113
UID_H12_1_4_hem-3,1.95843
UID_H12_1_5_hem-4,1.167
UID_H12_1_6_hem-9,1.12976
UID_H12_20_1_hem-10,1.08985
UID_H12_20_2_hem-13,1.1637
UID_H12_20_3_hem-10,1.15848
UID_H12_20_4_hem-11,1.04075
UID_H12_20_5_hem-4,1.2193
UID_H12_21_1_hem-5,1.5311
UID_H12_22_1_hem-9,1.68222
UID_H12_22_2_hem-6,1.30003
UID_H12_22_3_hem-9,1.10318
UID_H12_22_4_hem-18,2.06591
UID_H12_22_5_hem-9,1.35428
UID_H12_22_6_hem-8,1.03987
