Contour,Area,hemModel (normalized mode 1),hemModel (normalized mode 2)
UID_H11_1_1_hem-13,27985.1,0.524944,-0.206738
UID_H11_10_1_hem-6,22508.6,0.227228,0.460277
UID_H11_10_2_hem-14,28077.2,0.60453,-0.0134283
UID_H11_10_3_hem-3,17380,-0.0514034,1.25245
UID_H11_11_1_hem-19,23044.4,0.0999188,-0.154289
UID_H11_11_2_hem-18,32711,0.790117,-0.616922
UID_H11_12_1_hem-8,34589,0.762471,-1.08445
UID_H11_12_2_hem-4,4618.47,-3.33192,-0.767527
UID_H11_12_3_hem-10,32536.2,0.765301,-0.618384
UID_H11_12_4_hem-12,25718.7,0.428937,0.164999
UID_H11_13_1_hem-2,20725.7,0.106069,0.604199
UID_H11_13_2_hem-11,32102.4,0.740164,-0.590799
UID_H11_13_3_hem-6,19200.7,0.0399492,0.90124
UID_H11_13_4_hem-12,27070.4,0.488558,-0.0467277
UID_H11_13_5_hem-10,25823.8,0.430984,0.159364
UID_H11_14_1_hem-5,23210.2,-0.0732195,-0.726583
UID_H11_14_2_hem-29,35955.7,0.989513,-0.867917
UID_H11_14_3_hem-18,21310.6,0.114621,0.449446
UID_H11_14_4_hem-18,28322.4,0.441966,-0.527998
UID_H11_15_1_hem-14,34735.2,0.849869,-0.959091
UID_H11_15_2_hem-14,28209.2,0.408257,-0.729573
UID_H11_15_3_hem-16,34328.8,0.735337,-1.13766
UID_H11_15_4_hem-6,33644.6,0.880223,-0.574743
UID_H11_16_1_hem-14,32952.5,0.693326,-1.08872
UID_H11_16_2_hem-16,28268.4,0.546727,-0.243744
UID_H11_17_1_hem-28,36706.3,0.941764,-1.08027
UID_H11_17_2_hem-11,30710.8,0.606351,-0.825125
UID_H11_18_1_hem-14,31279.6,0.717894,-0.508024
UID_H11_18_2_hem-14,27495.2,0.549046,-0.00995882
UID_H11_19_1_hem-16,34930,0.870003,-0.944663
UID_H11_19_2_hem-15,28913.4,0.442793,-0.817706
UID_H11_19_3_hem-22,34574,0.765526,-1.11989
UID_H11_19_4_hem-18,34011.7,0.912077,-0.584845
UID_H11_20_1_hem-8,23317.7,0.249653,0.262082
UID_H11_20_2_hem-14,40447.3,0.807153,-2.1737
UID_H11_21_1_hem-14,32904.6,0.646207,-1.03313
UID_H11_21_2_hem-15,26826.4,0.531292,0.0903859
UID_H11_3_1_hem-8,42267.1,1.20257,-1.6112
UID_H11_4_1_hem-23,16269,-2.72098,-0.372484
UID_H11_5_1_hem-20,29149.7,0.456195,-0.840151
UID_H11_6_1_hem-5,42197.4,1.19423,-1.57099
UID_H11_6_2_hem-9,37829,0.828836,-1.82679
UID_H11_7_1_hem-29,38407.6,0.944344,-1.38993
UID_H11_8_1_hem-9,36899.5,0.878595,-1.52618
UID_H11_8_2_hem-12,28811.9,0.5922,-0.228559
UID_H11_9_1_hem-8,30600,0.692789,-0.425234
UID_H11_9_2_hem-22,29195.4,0.568713,-0.382942
UID_H12_1_1_hem-7,28943.2,0.506221,-0.525765
UID_H12_1_2_hem-7,21337.9,0.153684,0.593589
UID_H12_1_3_hem-8,22084.7,0.208482,0.468801
UID_H12_1_4_hem-3,18544.3,-2.42644,-5.31753
UID_H12_1_5_hem-4,29572.2,0.615235,-0.385622
UID_H12_1_6_hem-9,21097.6,0.156489,0.624906
UID_H12_10_1_hem-32,44406.7,1.35886,-1.54044
UID_H12_10_2_hem-10,26807.6,0.430744,-0.261302
UID_H12_11_1_hem-11,36138.2,0.270104,-2.26945
UID_H12_11_2_hem-16,33007.4,0.819921,-0.659163
