Contour,Normalized Curvature
UID_H11_1_1_hem-13,46.702
UID_H11_10_1_hem-6,25.4323
UID_H11_10_2_hem-14,27.6931
UID_H11_10_3_hem-3,28.1228
UID_H11_11_1_hem-19,32.9334
UID_H11_11_2_hem-18,46.5115
UID_H11_12_1_hem-8,31.7956
UID_H11_12_2_hem-4,58.9456
UID_H11_12_3_hem-10,27.9932
UID_H11_12_4_hem-12,27.3195
UID_H11_13_1_hem-2,26.9395
UID_H11_13_2_hem-11,24.9199
UID_H11_13_3_hem-6,31.4143
UID_H11_13_4_hem-12,36.5347
UID_H11_13_5_hem-10,35.1799
UID_H11_14_1_hem-5,44.4444
UID_H11_14_2_hem-29,38.5644
UID_H11_14_3_hem-18,29.1129
UID_H11_14_4_hem-18,45.1655
UID_H11_15_1_hem-14,40.886
UID_H11_15_2_hem-14,61.2004
UID_H11_15_3_hem-16,41.6144
UID_H11_15_4_hem-6,30.5899
UID_H11_16_1_hem-14,35.2398
UID_H11_16_2_hem-16,27.3474
UID_H11_17_1_hem-28,30.3815
UID_H11_17_2_hem-11,35.8554
UID_H11_18_1_hem-14,39.2334
UID_H11_18_2_hem-14,35.9755
UID_H11_19_1_hem-16,38.135
UID_H11_19_2_hem-15,68.0282
UID_H11_19_3_hem-22,41.8287
UID_H11_19_4_hem-18,35.687
UID_H11_20_1_hem-8,26.9211
UID_H11_20_2_hem-14,66.7308
UID_H11_21_1_hem-14,33.4766
UID_H11_21_2_hem-15,25.7841
UID_H11_3_1_hem-8,34.8444
UID_H11_4_1_hem-23,121.534
UID_H11_5_1_hem-20,38.5018
UID_H11_6_1_hem-5,54.5612
UID_H11_6_2_hem-9,48.0939
UID_H11_7_1_hem-29,80.2532
UID_H11_8_1_hem-9,32.362
UID_H11_8_2_hem-12,32.7006
UID_H11_9_1_hem-8,28.036
UID_H11_9_2_hem-22,35.5737
UID_H12_1_1_hem-7,28.2894
UID_H12_1_2_hem-7,26.168
UID_H12_1_3_hem-8,31.7215
UID_H12_1_4_hem-3,160.513
UID_H12_1_5_hem-4,20.9044
UID_H12_1_6_hem-9,30.0534
UID_H12_10_1_hem-32,27.0335
UID_H12_10_2_hem-10,26.0648
UID_H12_11_1_hem-11,50.1181
UID_H12_11_2_hem-16,23.2385
UID_H12_11_3_hem-11,54.1
UID_H12_12_1_hem-8,30.9086
UID_H12_12_2_hem-10,34.5723
UID_H12_12_3_hem-19,31.816
UID_H12_12_4_hem-11,21.2339
UID_H12_12_5_hem-7,26.5287
UID_H12_12_6_hem-6,22.2
UID_H12_12_7_hem-12,24.3073
UID_H12_13_1_hem-9,28.0339
UID_H12_13_2_hem-9,51.1891
UID_H12_13_3_hem-9,22.834
UID_H12_13_4_hem-7,24.3439
UID_H12_13_5_hem-6,26.7992
UID_H12_13_6_hem-11,35.6033
UID_H12_13_7_hem-3,30.9237
UID_H12_14_1_hem-8,29.6152
UID_H12_14_2_hem-7,23.2034
UID_H12_14_3_hem-4,27.5628
UID_H12_15_1_hem-13,23.4243
UID_H12_15_2_hem-12,121.329
UID_H12_15_3_hem-7,30.6197
UID_H12_15_4_hem-6,23.7978
UID_H12_15_5_hem-4,210.441
UID_H12_15_6_hem-3,31.707
UID_H12_15_7_hem-28,35.5077
UID_H12_16_1_hem-9,26.4599
UID_H12_16_2_hem-9,26.4456
UID_H12_17_1_hem-9,25.2237
UID_H12_17_2_hem-7,36.4296
UID_H12_18_1_hem-4,29.5122
UID_H12_18_2_hem-9,28.835
UID_H12_18_3_hem-9,26.0995
UID_H12_18_4_hem-16,37.8662
UID_H12_18_5_hem-9,27.8635
UID_H12_19_1_hem-10,27.6794
UID_H12_19_2_hem-15,27.2886
UID_H12_19_3_hem-5,27.9651
UID_H12_19_4_hem-12,31.139
UID_H12_19_5_hem-8,35.0034
UID_H12_19_6_hem-5,27.8212
UID_H12_2_1_hem-3,28.344
UID_H12_2_2_hem-12,23.248
UID_H12_2_3_hem-11,32.0413
UID_H12_2_4_hem-3,104
UID_H12_2_5_hem-10,22.4083
UID_H12_2_6_hem-12,26.2994
UID_H12_20_1_hem-10,28.4891
UID_H12_20_2_hem-13,26.0592
UID_H12_20_3_hem-10,28.8473
UID_H12_20_4_hem-11,28.6149
UID_H12_20_5_hem-4,27.8903
UID_H12_21_1_hem-5,47.5946
UID_H12_22_1_hem-9,65.0895
UID_H12_22_2_hem-6,30.0497
UID_H12_22_3_hem-9,25.7822
UID_H12_22_4_hem-18,31.7897
UID_H12_22_5_hem-9,82.4077
UID_H12_22_6_hem-8,33.6437
UID_H12_22_7_hem-3,34.9552
UID_H12_22_8_hem-10,35.5344
UID_H12_23_1_hem-20,216.615
UID_H12_23_2_hem-18,32.8342
UID_H12_23_3_hem-3,34.5848
UID_H12_23_4_hem-17,28.643
UID_H12_24_1_hem-9,34.1861
UID_H12_24_2_hem-9,28.8027
UID_H12_24_3_hem-8,32.4006
