Contour,Path Length
UID_H11_1_1_hem-13,627.409
UID_H11_10_1_hem-6,540.24
UID_H11_10_2_hem-14,599.33
UID_H11_10_3_hem-3,474.493
UID_H11_11_1_hem-19,593.252
UID_H11_11_2_hem-18,663.192
UID_H11_12_1_hem-8,685.89
UID_H11_12_2_hem-4,983.939
UID_H11_12_3_hem-10,659.84
UID_H11_12_4_hem-12,583.41
UID_H11_13_1_hem-2,526.766
UID_H11_13_2_hem-11,651.834
UID_H11_13_3_hem-6,497.579
UID_H11_13_4_hem-12,610.285
UID_H11_13_5_hem-10,593.842
UID_H11_14_1_hem-5,647.042
UID_H11_14_2_hem-29,688.339
UID_H11_14_3_hem-18,535.308
UID_H11_14_4_hem-18,648.463
UID_H11_15_1_hem-14,694.509
UID_H11_15_2_hem-14,662.247
UID_H11_15_3_hem-16,710.117
UID_H11_15_4_hem-6,660.427
UID_H11_16_1_hem-14,671.79
UID_H11_16_2_hem-16,606.134
UID_H11_17_1_hem-28,710.221
UID_H11_17_2_hem-11,654.225
UID_H11_18_1_hem-14,645.922
UID_H11_18_2_hem-14,599.612
UID_H11_19_1_hem-16,693.735
UID_H11_19_2_hem-15,670.645
UID_H11_19_3_hem-22,706.786
UID_H11_19_4_hem-18,662.636
UID_H11_20_1_hem-8,553.439
UID_H11_20_2_hem-14,905.62
UID_H11_21_1_hem-14,692.417
UID_H11_21_2_hem-15,590.11
UID_H11_3_1_hem-8,766.048
UID_H11_4_1_hem-23,1194.35
UID_H11_5_1_hem-20,648.244
UID_H11_6_1_hem-5,795.29
UID_H11_6_2_hem-9,742.302
UID_H11_7_1_hem-29,760.161
UID_H11_8_1_hem-9,714.291
UID_H11_8_2_hem-12,615.805
UID_H11_9_1_hem-8,629.893
UID_H11_9_2_hem-22,636.757
UID_H12_1_1_hem-7,620.572
UID_H12_1_2_hem-7,528.852
UID_H12_1_3_hem-8,539.156
UID_H12_1_4_hem-3,1465.73
UID_H12_1_5_hem-4,619.052
UID_H12_1_6_hem-9,524.163
UID_H12_10_1_hem-32,760.827
UID_H12_10_2_hem-10,602.401
UID_H12_11_1_hem-11,850.102
UID_H12_11_2_hem-16,649.649
UID_H12_11_3_hem-11,852.037
UID_H12_12_1_hem-8,497.242
UID_H12_12_2_hem-10,507.399
UID_H12_12_3_hem-19,647.066
UID_H12_12_4_hem-11,567.077
UID_H12_12_5_hem-7,521.76
UID_H12_12_6_hem-6,496.134
UID_H12_12_7_hem-12,516.863
UID_H12_13_1_hem-9,577.61
UID_H12_13_2_hem-9,762.585
UID_H12_13_3_hem-9,610.95
UID_H12_13_4_hem-7,493.294
UID_H12_13_5_hem-6,542.575
UID_H12_13_6_hem-11,540.846
UID_H12_13_7_hem-3,521.282
UID_H12_14_1_hem-8,578.398
UID_H12_14_2_hem-7,518.904
UID_H12_14_3_hem-4,515.177
UID_H12_15_1_hem-13,697.746
UID_H12_15_2_hem-12,903.384
UID_H12_15_3_hem-7,507.504
UID_H12_15_4_hem-6,532.352
UID_H12_15_5_hem-4,1269.48
UID_H12_15_6_hem-3,474.023
UID_H12_15_7_hem-28,612.058
UID_H12_16_1_hem-9,520.122
UID_H12_16_2_hem-9,538.92
UID_H12_17_1_hem-9,540.387
UID_H12_17_2_hem-7,680.321
UID_H12_18_1_hem-4,566.45
UID_H12_18_2_hem-9,538.928
UID_H12_18_3_hem-9,573.896
UID_H12_18_4_hem-16,725.725
UID_H12_18_5_hem-9,506.549
UID_H12_19_1_hem-10,567.685
UID_H12_19_2_hem-15,561.321
UID_H12_19_3_hem-5,506.141
UID_H12_19_4_hem-12,547.325
