Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized)
UID_H11_10_1_hem-6,0.227228,0.460277,-0.0556518,0.209753,-0.0511251,0.120473,0.0187178,0.00899735,0.48965
UID_H11_10_2_hem-14,0.60453,-0.0134283,-0.103958,0.528165,-0.301896,0.00251099,-0.188826,0.129289,-0.262676
UID_H11_10_3_hem-3,-0.0514034,1.25245,-0.0948683,0.102574,-0.081643,-0.213209,-0.350586,-0.166472,-0.245208
UID_H11_11_1_hem-19,0.0999188,-0.154289,0.661767,-0.316938,0.777947,0.093655,-0.851194,0.25266,-0.682141
UID_H11_11_2_hem-18,0.790117,-0.616922,0.00660604,0.607275,-0.389925,-0.0807263,-0.084587,-0.338183,0.0604196
UID_H11_12_1_hem-8,0.762471,-1.08445,0.298359,0.837242,-0.409387,0.0885927,-0.0590521,0.231971,0.599148
UID_H11_12_2_hem-4,-3.33192,-0.767527,-1.37552,2.23975,-1.05471,0.72337,-0.931788,0.758049,-0.646147
UID_H11_12_3_hem-10,0.765301,-0.618385,0.0587115,0.864193,-0.285794,0.175622,0.380911,0.0955198,0.155396
UID_H11_12_4_hem-12,0.428937,0.164999,-0.0753373,0.402862,-0.49336,0.0476142,-0.0233353,0.378156,0.198543
UID_H11_13_1_hem-2,0.106069,0.604199,0.0127867,-0.242366,0.213537,-0.249755,-0.168904,-0.00442101,-0.329109
UID_H11_13_2_hem-11,0.740163,-0.5908,0.0398,0.702305,-0.397607,0.0270174,0.268383,0.0385972,0.0293929
UID_H11_13_3_hem-6,0.0399492,0.901241,-0.0452834,-0.039032,0.141728,-0.113753,-0.168366,-0.243868,-0.30305
UID_H11_13_4_hem-12,0.488559,-0.0467277,0.0717901,0.501484,-0.498002,0.266984,0.143457,0.558785,0.850394
UID_H11_13_5_hem-10,0.430984,0.159364,-0.11779,0.294551,-0.651698,0.0485014,-0.0795263,0.333252,0.253522
UID_H11_14_1_hem-5,-0.0732195,-0.726583,-0.424686,-0.958505,0.230684,0.344542,0.772019,0.627846,2.10794
UID_H11_14_2_hem-29,0.989513,-0.867917,-0.0138749,0.690885,-0.115009,0.229536,0.020331,-0.0435932,-0.706004
UID_H11_14_3_hem-18,0.114621,0.449446,-0.000561857,-0.237271,0.229842,-0.0178996,-0.0199406,0.434121,-0.0660754
UID_H11_14_4_hem-18,0.441966,-0.527998,-0.287056,-0.0776322,-0.297443,-0.436903,-0.482279,1.38378,0.208216
UID_H11_15_1_hem-14,0.849869,-0.95909,0.318426,0.63989,0.0144043,0.536846,0.549024,-0.352098,0.506882
UID_H11_15_2_hem-14,0.408257,-0.729573,0.148845,-0.527561,0.929037,0.0524555,-0.0658026,-0.422285,-0.0715753
UID_H11_15_3_hem-16,0.735337,-1.13766,-0.43135,0.145614,-0.995956,-0.615481,0.619477,0.668064,-0.0760956
UID_H11_15_4_hem-6,0.880224,-0.574743,-0.0675584,0.918352,-0.541176,0.0260483,0.286262,0.102454,-0.290927
UID_H11_16_1_hem-14,0.693326,-1.08872,0.238564,-0.219484,0.627912,0.749024,0.464088,0.119791,0.0844953
UID_H11_16_2_hem-16,0.546727,-0.243744,-0.0588106,0.151078,-0.0503865,0.104345,0.403925,0.173137,0.13029
UID_H11_17_1_hem-28,0.941764,-1.08027,0.038131,0.505941,-0.738094,0.648128,0.149696,1.81319,0.34099
UID_H11_17_2_hem-11,0.606351,-0.825125,0.453497,-0.270096,0.991646,0.640549,-0.248953,0.575039,0.241135
UID_H11_18_1_hem-14,0.717894,-0.508024,0.145705,0.652632,0.0862413,0.319114,-0.3885,0.119562,-0.510819
UID_H11_18_2_hem-14,0.549046,-0.00995881,-0.047126,0.462615,-0.230239,0.0399738,0.388646,-0.00178114,0.182513
UID_H11_19_1_hem-16,0.870002,-0.944664,0.389849,0.63588,-0.0719772,0.540407,0.47802,-0.324479,0.355345
UID_H11_19_2_hem-15,0.442792,-0.817706,0.135606,-0.556857,0.963986,0.0860027,-0.313124,-0.323041,-0.0781878
UID_H11_19_3_hem-22,0.765526,-1.11989,-0.41191,0.202378,-0.933615,-0.539868,0.617745,0.592385,-0.12553
UID_H11_19_4_hem-18,0.912077,-0.584845,-0.0890316,0.872826,-0.529392,0.0598596,0.265464,0.139346,-0.332501
UID_H11_1_1_hem-13,0.524944,-0.206738,-0.0954705,0.281504,-0.112108,-0.308545,-0.0223596,-0.508893,-0.264635
UID_H11_20_1_hem-8,0.249653,0.262082,0.0350568,0.0271759,0.153773,-0.00732113,-0.0259405,-0.119916,-0.185274
UID_H11_20_2_hem-14,0.807153,-2.1737,-0.182715,0.307095,-0.0644353,1.96282,0.141525,1.07646,-1.71668
UID_H11_21_1_hem-14,0.646207,-1.03313,-0.212439,0.170044,-0.642105,-0.768019,0.108902,0.660066,0.0929492
UID_H11_21_2_hem-15,0.531292,0.090386,-0.114537,0.346027,-0.105781,0.0666494,0.160878,-0.121018,-0.00066975
UID_H11_3_1_hem-8,1.20257,-1.6112,0.23611,0.873516,-0.437677,-0.0480114,0.386969,-0.183877,-1.48752
UID_H11_4_1_hem-23,-2.72098,-0.372484,-5.07582,-4.13843,-0.763284,-1.2096,4.07582,4.24319,-1.90739
UID_H11_5_1_hem-20,0.456195,-0.840151,0.585757,-0.402696,1.01037,0.427515,-0.521914,0.438382,-0.510608
UID_H11_6_1_hem-5,1.19423,-1.57099,0.40862,1.42038,-0.201151,0.937992,1.04914,-1.49851,-0.889053
UID_H11_6_2_hem-9,0.828837,-1.82679,0.669844,-0.00569754,0.962585,1.10095,-0.720812,-0.166049,0.532441
UID_H11_7_1_hem-29,0.944344,-1.38993,-0.437259,0.833925,-1.04941,-0.157014,-0.191304,0.206842,-0.0816006
UID_H11_8_1_hem-9,0.878594,-1.52618,0.149598,-0.36038,0.604497,0.426922,0.525556,0.223568,-0.1079
UID_H11_8_2_hem-12,0.5922,-0.228559,-0.0470138,0.308214,-0.333265,-0.111744,0.246592,0.210582,-0.550538
UID_H11_9_1_hem-8,0.692789,-0.425234,0.122051,0.33062,-0.152518,0.293837,-0.122841,0.0279956,-0.350879
UID_H11_9_2_hem-22,0.568713,-0.382942,-0.0787226,0.16471,-0.327991,0.438638,0.907302,0.500727,0.633236
UID_H12_10_1_hem-32,1.35886,-1.54044,-0.0711446,1.38491,-1.2324,0.214526,0.601579,1.08067,0.101022
UID_H12_10_2_hem-10,0.430744,-0.261302,0.290826,-0.16366,0.709895,0.442679,-0.257627,0.346429,0.499144
UID_H12_11_1_hem-11,0.270103,-2.26945,-0.296038,-2.57324,-1.24526,-2.5927,2.48174,-1.43922,0.601092
UID_H12_11_2_hem-16,0.819921,-0.659163,0.0361002,0.451829,-0.0734167,0.194423,-0.0904631,0.17401,-0.262921
UID_H12_11_3_hem-11,1.18754,-2.2591,-0.4508,0.624696,-1.94269,-2.19632,0.196514,0.00894076,-0.60099
UID_H12_12_1_hem-8,0.0150767,1.01175,-0.0508151,0.151401,-0.158221,-0.259224,-0.372574,-0.39123,-0.200982
UID_H12_12_2_hem-10,0.00547408,0.884169,0.0395954,0.0549076,-0.141734,-0.0606678,0.400811,-0.526899,0.246082
UID_H12_12_3_hem-19,0.696981,-0.767793,0.283051,0.164313,0.400918,0.57889,-0.532611,0.21276,0.0154091
UID_H12_12_4_hem-11,0.323578,0.0386633,0.141318,-0.00362953,0.438134,0.282048,-0.508261,0.213013,0.111925
UID_H12_12_5_hem-7,0.0666184,0.616664,0.0913519,-0.249901,0.324387,0.179296,0.389871,-0.328079,0.395702
UID_H12_12_6_hem-6,-0.0136289,0.80092,0.0420274,-0.151914,0.34226,0.135421,-0.443004,-0.0340001,0.255304
UID_H12_12_7_hem-12,0.171234,0.791001,-0.126083,0.138369,-0.0735345,-0.0747279,-0.210543,-0.152458,0.000950627
UID_H12_13_1_hem-9,0.268667,0.0381778,0.00345016,-0.0599621,-0.147216,0.120428,1.03595,0.0585819,0.961101
UID_H12_13_2_hem-9,1.17375,-1.53934,-0.0491513,0.878762,-0.693774,-0.0513924,-0.308008,1.44328,-0.28893
UID_H12_13_3_hem-9,0.5903,-0.134381,0.0129148,0.630838,-0.412126,0.102877,0.0500647,-0.0885315,-0.119684
UID_H12_13_4_hem-7,0.0146406,0.938887,-0.0882363,-0.110943,0.136051,-0.0213755,-0.0768778,-0.218506,0.106984
UID_H12_13_5_hem-6,0.0673062,0.410272,-0.167879,-0.00441802,-0.197642,-0.333937,0.192596,0.53619,0.730381
UID_H12_13_6_hem-11,0.163286,0.540903,-0.0587142,-0.141714,0.0975605,0.206579,-0.144932,-0.136154,0.148846
UID_H12_13_7_hem-3,0.189891,0.719715,-0.138682,0.195383,-0.0625542,-0.019496,-0.287003,-0.232966,0.119972
UID_H12_14_1_hem-8,0.245405,0.0195937,0.0138972,-0.0957397,-0.134043,0.0386872,0.977643,0.146325,0.992383
UID_H12_14_2_hem-7,0.162648,0.734686,-0.0219995,0.251728,-0.200227,-0.0747371,0.157675,-0.411178,0.0703272
UID_H12_14_3_hem-4,0.0319284,0.571545,0.115692,-0.155878,0.432681,0.127741,-0.471985,0.0979033,0.272015
UID_H12_15_1_hem-13,1.04604,-0.999817,-0.0328735,1.04699,-0.879118,0.148072,0.682462,0.526905,0.121267
UID_H12_15_2_hem-12,-2.10259,-0.566027,-2.92701,-1.4389,-3.57545,-2.08164,-0.566669,-2.42935,-2.88397
UID_H12_15_3_hem-7,0.0249981,0.752474,-0.10636,-0.129121,0.285389,-0.00582639,-0.327333,0.229434,0.244953
UID_H12_15_4_hem-6,0.181613,0.530342,-0.0100405,-0.159158,0.235866,-0.0852426,0.143911,-0.208163,-0.282331
UID_H12_15_5_hem-4,-3.53539,-2.4703,-0.159759,3.15535,-0.735569,1.58446,-1.22065,-0.495899,1.3449
UID_H12_15_6_hem-3,-0.0780977,1.14994,-0.0896431,-0.101878,0.129408,0.0536225,-0.288166,-0.250653,0.281685
UID_H12_15_7_hem-28,0.459952,-0.400703,0.130178,-0.259119,0.485567,0.400986,-0.194045,0.266868,-0.00584042
UID_H12_16_1_hem-9,0.175794,0.737295,-0.0853876,0.201934,-0.167396,-0.0181645,-0.0026376,-0.189275,0.051651
UID_H12_16_2_hem-9,0.27356,0.606908,-0.135523,0.440963,-0.4397,-0.185331,-0.159282,-0.0499893,-0.0977717
UID_H12_17_1_hem-9,0.0658124,0.333047,0.219545,-0.068593,0.0326224,-0.133155,0.10084,-0.178573,0.168099
UID_H12_17_2_hem-7,0.704883,-1.04447,0.0451431,0.303566,-0.171274,-0.10917,0.336539,0.281421,0.356375
UID_H12_18_1_hem-4,0.308353,0.242113,-0.215023,-0.112236,0.101536,-0.139628,-0.0221936,-0.299385,0.106947
UID_H12_18_2_hem-9,0.244929,0.47645,-0.00726904,-0.0263332,0.0440806,0.0959865,0.0159588,-0.211488,-0.126567
UID_H12_18_3_hem-9,0.365647,0.0649737,0.043781,-0.0379465,0.132402,0.262278,0.211737,-0.20338,0.232857
UID_H12_18_4_hem-16,1.06182,-1.33996,0.075606,0.762081,-0.302361,0.0670834,0.490571,-0.135823,-0.314157
UID_H12_18_5_hem-9,0.0514115,0.734182,0.0417508,-0.0731683,0.298152,0.104818,-0.358923,-0.0764332,0.386292
UID_H12_19_1_hem-10,0.396802,0.246052,-0.0560695,0.28501,-0.0810456,-0.0920951,-0.083302,0.0705677,-0.293076
UID_H12_19_2_hem-15,0.31441,0.182979,0.0865647,0.0108393,0.135742,0.0828014,-0.0969103,0.105922,-0.158069
UID_H12_19_3_hem-5,0.0594897,0.748106,-0.0403035,-0.20157,0.36985,0.0629017,-0.395931,-0.269367,-0.0928573
UID_H12_19_4_hem-12,0.268591,0.498901,-0.073768,0.398703,-0.342499,0.046113,0.391945,-0.395881,0.581374
UID_H12_19_5_hem-8,0.0209796,0.986059,-0.119761,0.172668,-0.244163,0.0219761,0.244291,-0.287191,0.397158
UID_H12_19_6_hem-5,0.327658,0.310357,-0.0075271,0.0698504,0.198906,0.183645,0.144802,-0.0918967,-0.126528
UID_H12_1_1_hem-7,0.506221,-0.525765,0.280381,0.325217,0.297238,0.518703,-0.397473,0.171276,0.558531
UID_H12_1_2_hem-7,0.153684,0.593589,-0.0308446,0.109975,-0.0751922,0.10436,0.0244935,0.152811,0.645962
UID_H12_1_3_hem-8,0.208482,0.468801,-0.00638202,-0.0295356,0.349538,0.233842,-0.487581,-0.0556444,-0.0275681
UID_H12_1_4_hem-3,-2.42644,-5.31753,-2.04301,-1.26544,2.15423,-2.00658,-2.21911,4.27298,-8.11221
UID_H12_1_5_hem-4,0.615235,-0.385622,0.118206,0.271396,0.0131839,0.189233,-0.211679,0.260137,-0.359254
UID_H12_1_6_hem-9,0.156489,0.624906,-0.0422925,-0.133251,0.190625,0.0296424,-0.112032,-0.0950183,-0.123535
UID_H12_20_1_hem-10,0.389093,0.277744,-0.0682472,0.280469,-0.0565114,-0.099697,-0.0553098,0.0842719,-0.250798
UID_H12_20_2_hem-13,0.316394,0.206206,0.0673783,0.00650069,0.0926098,0.0716937,-0.117956,0.0808149,-0.124155
UID_H12_20_3_hem-10,0.0606411,0.748834,-0.0281261,-0.201217,0.408265,0.0708081,-0.344909,-0.249553,-0.135239
UID_H12_20_4_hem-11,0.267319,0.482823,-0.0796367,0.369099,-0.308777,0.0696162,0.426685,-0.39601,0.552757
UID_H12_20_5_hem-4,-0.0448216,0.846114,0.037181,-0.170172,0.399009,0.21152,-0.724146,-0.174748,-0.280044
UID_H12_21_1_hem-5,0.409006,-1.22124,0.411758,0.00354074,1.66926,1.33491,-0.731799,-1.87802,-0.509309
UID_H12_22_1_hem-9,0.238233,-1.56128,2.82943,-4.31688,1.39905,1.1422,-0.703598,-2.01226,0.952211
UID_H12_22_2_hem-6,0.022869,0.480503,0.192779,-0.536317,0.615637,0.431417,0.0195781,-0.456772,0.0694602
UID_H12_22_3_hem-9,0.109076,0.739268,-0.0324769,0.143696,0.00776908,-0.115582,0.0225044,-0.111189,0.0778443
UID_H12_22_4_hem-18,0.418573,-2.81159,1.83982,-3.36511,2.52568,1.4775,-0.799319,-0.580659,0.162155
UID_H12_22_5_hem-9,0.319303,-3.12744,1.88895,-3.01993,-1.30305,-2.91662,-3.45564,-1.61704,4.63653
UID_H12_22_6_hem-8,0.336027,0.186612,0.0517226,0.357647,-0.532243,-0.395574,0.236759,-0.260082,-0.215321
UID_H12_22_7_hem-3,0.894664,-0.748617,0.0326508,0.777043,-0.503723,0.0229914,-0.0791971,0.32944,-0.220265
UID_H12_22_8_hem-10,0.173163,0.316618,0.148013,-0.161272,0.550772,0.0840625,-0.24439,-0.295325,-0.524256
UID_H12_23_1_hem-20,-2.07518,-0.271438,-4.0123,-0.136385,0.0710978,2.79118,0.817634,-1.64956,0.546303
UID_H12_23_2_hem-18,1.35978,-1.84687,0.163227,0.971725,-0.458049,0.458321,0.600755,0.300404,0.2113
UID_H12_23_3_hem-3,0.329076,0.126728,-0.0196491,0.186378,-0.495624,-0.544359,0.272755,-0.298507,-0.28309
UID_H12_23_4_hem-17,0.123982,0.474864,-0.347331,-0.0047146,-0.556875,-0.665848,0.675139,0.115354,0.0105947
UID_H12_24_1_hem-9,0.428026,-0.0469116,0.120853,0.252628,0.128228,0.314726,0.063832,-0.306935,0.854135
UID_H12_24_2_hem-9,0.410531,0.316746,-0.131029,0.440117,-0.38725,-0.140085,0.230912,0.0537686,-0.129235
UID_H12_24_3_hem-8,0.240889,0.503856,-0.0314046,0.202738,-0.155267,0.0853832,0.0972522,-0.240823,0.388719
UID_H12_24_4_hem-10,0.240057,0.27269,0.092919,-0.186532,0.414526,-0.0503685,-0.438984,0.194475,-0.357612
UID_H12_24_5_hem-8,0.416414,0.436145,-0.128531,0.519566,-0.350095,-0.0488494,-0.290046,-0.205525,-0.283928
UID_H12_24_6_hem-10,0.271095,0.0733383,0.248155,-0.259574,0.478481,0.424706,-0.03292,0.171362,0.345298
