Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9
UID_H11_10_1_hem-6,49.9819,50.517,-4.02279,10.9646,-2.37003,4.39941,0.598015,0.274515,12.0307
UID_H11_10_2_hem-14,132.975,-1.47381,-7.51459,27.6093,-13.9951,0.0916959,-6.03279,3.94468,-6.45392
UID_H11_10_3_hem-3,-11.3069,137.46,-6.85755,5.36193,-3.78476,-7.78593,-11.2009,-5.07918,-6.02474
UID_H11_11_1_hem-19,21.9785,-16.9338,47.8358,-16.5676,36.0636,3.42008,-27.1948,7.70883,-16.7602
UID_H11_11_2_hem-18,173.797,-67.7093,0.477517,31.7447,-18.0759,-2.94795,-2.70247,-10.3182,1.48451
UID_H11_12_1_hem-8,167.716,-119.022,21.5669,43.7659,-18.9781,3.23522,-1.88666,7.07757,14.721
UID_H11_12_2_hem-4,-732.901,-84.2388,-99.4294,117.081,-48.8935,26.4159,-29.7697,23.1285,-15.8758
UID_H11_12_3_hem-10,168.338,-67.8699,4.24396,45.1748,-13.2487,6.41334,12.1697,2.91437,3.81807
UID_H11_12_4_hem-12,94.3505,18.1092,-5.44575,21.0592,-22.8709,1.73877,-0.745539,11.5378,4.87818
UID_H11_13_1_hem-2,23.3314,66.313,0.924284,-12.6694,9.89904,-9.1205,-5.39631,-0.134888,-8.0862
UID_H11_13_2_hem-11,162.809,-64.8423,2.87694,36.7122,-18.4321,0.986618,8.57457,1.17763,0.722183
UID_H11_13_3_hem-6,8.78736,98.9143,-3.27331,-2.04036,6.57017,-4.15401,-5.37914,-7.44056,-7.44591
UID_H11_13_4_hem-12,107.465,-5.12852,5.18934,26.2146,-23.0861,9.7497,4.58332,17.0489,20.8941
UID_H11_13_5_hem-10,94.8007,17.4908,-8.51447,15.3973,-30.2111,1.77117,-2.54079,10.1677,6.22902
UID_H11_14_1_hem-5,-16.1056,-79.745,-30.6984,-50.1048,10.6939,12.5819,24.6653,19.156,51.7921
UID_H11_14_2_hem-29,217.657,-95.2569,-1.00294,36.1153,-5.33152,8.38218,0.649556,-1.33005,-17.3465
UID_H11_14_3_hem-18,25.2125,49.3283,-0.0406138,-12.4031,10.6549,-0.653654,-0.637082,13.2453,-1.62347
UID_H11_14_4_hem-18,97.2163,-57.9497,-20.7498,-4.05814,-13.7887,-15.9548,-15.4083,42.2201,5.11586
UID_H11_15_1_hem-14,186.94,-105.264,23.0174,33.4496,0.667749,19.6045,17.5408,-10.7427,12.4541
UID_H11_15_2_hem-14,89.8017,-80.0732,10.7593,-27.5777,43.0678,1.91556,-2.10233,-12.8842,-1.7586
UID_H11_15_3_hem-16,161.747,-124.862,-31.1801,7.61183,-46.17,-22.4761,19.7917,20.383,-1.86967
UID_H11_15_4_hem-6,193.617,-63.0801,-4.88346,48.0059,-25.0876,0.951228,9.14577,3.12594,-7.14806
UID_H11_16_1_hem-14,152.506,-119.491,17.2446,-11.4733,29.1084,27.3528,14.8272,3.65489,2.07604
UID_H11_16_2_hem-16,120.26,-26.7518,-4.25112,7.89742,-2.33579,3.81046,12.905,5.28252,3.20122
UID_H11_17_1_hem-28,207.154,-118.564,2.7563,26.4475,-34.2162,23.6683,4.78264,55.3216,8.37809
UID_H11_17_2_hem-11,133.375,-90.5603,32.781,-14.119,45.9702,23.3915,-7.95379,17.5448,5.92467
UID_H11_18_1_hem-14,157.911,-55.7574,10.5323,34.1157,3.99793,11.6534,-12.4122,3.64791,-12.5508
UID_H11_18_2_hem-14,120.77,-1.09301,-3.4065,24.1827,-10.6733,1.45976,12.4168,-0.0543436,4.48432
UID_H11_19_1_hem-16,191.369,-103.68,28.1802,33.24,-3.33668,19.7345,15.2723,-9.90006,8.73081
UID_H11_19_2_hem-15,97.3982,-89.7461,9.80227,-29.1091,44.6879,3.14063,-10.004,-9.85618,-1.92107
UID_H11_19_3_hem-22,168.388,-122.912,-29.7749,10.5791,-43.28,-19.7148,19.7363,18.074,-3.08426
UID_H11_19_4_hem-18,200.624,-64.1888,-6.43565,45.6261,-24.5412,2.18595,8.48132,4.25153,-8.16954
UID_H11_1_1_hem-13,115.469,-22.6902,-6.90108,14.7153,-5.19702,-11.2674,-0.714368,-15.5266,-6.50207
UID_H11_20_1_hem-8,54.9145,28.7644,2.53408,1.42059,7.12851,-0.267352,-0.828774,-3.6587,-4.55217
UID_H11_20_2_hem-14,177.544,-238.571,-13.2075,16.0531,-2.98706,71.678,4.52157,32.8434,-42.1788
UID_H11_21_1_hem-14,142.142,-113.389,-15.3561,8.8889,-29.7663,-28.0464,3.47932,20.139,2.28376
UID_H11_21_2_hem-15,116.865,9.92018,-8.27929,18.0882,-4.90371,2.4339,5.1399,-3.69233,-0.0164557
UID_H11_3_1_hem-8,264.521,-176.835,17.0672,45.6622,-20.2896,-1.75328,12.3633,-5.6102,-36.5482
UID_H11_4_1_hem-23,-598.517,-40.8814,-366.905,-216.332,-35.3839,-44.172,130.218,129.462,-46.8644
UID_H11_5_1_hem-20,100.346,-92.2095,42.3414,-21.0505,46.838,15.6119,-16.6746,13.3753,-12.5456
UID_H11_6_1_hem-5,262.688,-172.422,29.5371,74.2489,-9.32483,34.2535,33.519,-45.7204,-21.844
